description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
item -> added mod 6	1	1		100	16	361	1000		2	thro	wss,qty=1						useitem			100	corrupt	100		31	31	corruptnum	100		1001	1001	extra-pois	100		5	5	cast2	100		10	10																																																																0
	0																																																																																																							0
weapon -> + sockets  (10%)	1	1		100	16	361	350		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		32	32	sock	100		1	1	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (8%)	1	1		100	16	361	430		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		32	32	sock	100		2	2	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (4%)	1	1		100	16	361	470		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		32	32	sock	100		3	3	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (3%)	1	1		100	16	361	500		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		32	32	sock	100		4	4	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
armour -> destroyed (rare) (25%)	1	3		100	16	361	250		2	boot	wss,qty=1						usetype,rar			100																																																																																				0
armour -> destroyed (rare) (25%)	1	3		100	16	361	250		2	glov	wss,qty=1						usetype,rar			100																																																																																				0
armour -> destroyed (rare) (25%)	1	3		100	16	361	250		2	belt	wss,qty=1						usetype,rar			100																																																																																				0
armour -> destroyed (rare) (25%)	1	3		100	16	361	250		2	tors,nos	wss,qty=1						usetype,rar			100																																																																																				0
armour -> destroyed (rare) (25%)	1	3		100	16	361	250		2	helm,nos	wss,qty=1						usetype,rar			100																																																																																				0
armour -> destroyed (rare) (25%)	1	3		100	16	361	250		2	shld,nos	wss,qty=1						usetype,rar			100																																																																																				0
	0																																																																																																							0
armour -> + 1 sockets  (18%)	1	1		100	16	361	430		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		32	32	sock	100		1	1	corruptnum	100		1001	1001																																																																					0
armour -> + 2 sockets  (5%)	1	1		100	16	361	480		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		32	32	sock	100		2	2	corruptnum	100		1001	1001																																																																					0
armour -> + 3 sockets  (2%)	1	1		100	16	361	500		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		32	32	sock	100		3	3	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
armour -> + 1 sockets  (18%)	1	1		100	16	361	430		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		32	32	sock	100		1	1	corruptnum	100		1001	1001																																																																					0
armour -> + 2 sockets  (5%)	1	1		100	16	361	480		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		32	32	sock	100		2	2	corruptnum	100		1001	1001																																																																					0
armour -> + 3 sockets  (2%)	1	1		100	16	361	500		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		32	32	sock	100		3	3	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
armour -> + 1 sockets  (18%)	1	1		100	16	361	430		2	shld,nos	wss,qty=1						useitem			100	corrupt	100		32	32	sock	100		1	1	corruptnum	100		1001	1001																																																																					0
armour -> + 2 sockets  (5%)	1	1		100	16	361	480		2	shld,nos	wss,qty=1						useitem			100	corrupt	100		32	32	sock	100		2	2	corruptnum	100		1001	1001																																																																					0
armour -> + 3 sockets  (2%)	1	1		100	16	361	500		2	shld,nos	wss,qty=1						useitem			100	corrupt	100		32	32	sock	100		3	3	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
ring -> destroyed (rare) (25%)	1	3		100	16	361	250		2	ring	wss,qty=1						usetype,rar			100																																																																																				0
	0																																																																																																							0
amulet -> destroyed (rare) (25%)	1	3		100	16	361	250		2	amul	wss,qty=1						usetype,rar			100																																																																																				0
	0																																																																																																							0
quiver -> destroyed (rare) (25%)	1	3		100	16	361	250		2	misl	wss,qty=1						usetype,rar			100																																																																																				0
																																																																																																								0
anni-> destroyed (rare) (20%)	1	1		100	16	361	200		2	Annihilus	cwss,qty=1						cm1,mag			100	corrupt	100		1	1	corruptnum	100		1001	1001	dye	100		10	10																																																																					0
																																																																																																								0
ANNIHILUS	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	400		2	Annihilus	cwss,qty=1						useitem			100	corrupt	100		27	27	corruptnum	100		1001	1001	allskills	100		1	1	dye	100		10	10																																																																0
item -> added mod 2	1	1		100	16	361	600		2	Annihilus	cwss,qty=1						useitem			100	corrupt	100		90	90	corruptnum	100		1001	1001	vit	100		20	25	enr	100		10	15	dye	100		10	10																																																											0
item -> added mod 3	1	1		100	16	361	800		2	Annihilus	cwss,qty=1						useitem			100	corrupt	100		89	89	corruptnum	100		1001	1001	addxp	100		3	5	dye	100		10	10																																																																0
item -> added mod 4	1	1		100	16	361	1000		2	Annihilus	cwss,qty=1						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		5	10	dye	100		10	10																																																																0
																																																																																																								0
ADD SPECIAL MOD (25%)	0																																																																																																							0
WEAPONS (global) ------------------------	0																																																																																																							0
Tier 1	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	525		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		2	2	corruptnum	100		1001	1001	dmg%	100		40	80																																																																					0
item -> added mod 2	1	1		100	16	361	550		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		3	3	corruptnum	100		1001	1001	att	100		100	250																																																																					0
item -> added mod 3	1	1		100	16	361	575		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		4	4	corruptnum	100		1001	1001	heal-hit	100		3	6																																																																					0
item -> added mod 4	1	1		100	16	361	600		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		5	5	corruptnum	100		1001	1001	att-demon	100		200	200	dmg-demon	100		100	150																																																																0
item -> added mod 5	1	1		100	16	361	625		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		6	6	corruptnum	100		1001	1001	ease	100		-25	-50																																																																					0
item -> added mod 6	1	1		100	16	361	650		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		7	7	corruptnum	100		1001	1001	mag%	100		20	30																																																																					0
item -> added mod 1	1	1		100	16	361	675		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		8	8	corruptnum	100		1001	1001	heal-kill	100		3	5																																																																					0
item -> added mod 2	1	1		100	16	361	700		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		9	9	corruptnum	100		1001	1001	mana-kill	100		3	5																																																																					0
item -> added mod 3	1	1		100	16	361	725		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		16	16	corruptnum	100		1001	1001	cast2	100		10	10																																																																					0
item -> added mod 4	1	1		100	16	361	750		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		77	77	corruptnum	100		1001	1001	att-undead	100		200	200	dmg-undead	100		100	150																																																																0
Tier 2	0																																																																																																							0
item -> added mod 5	1	1		100	16	361	765		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		12	12	corruptnum	100		1001	1001	pierce-fire	100		5	10																																																																					0
item -> added mod 6	1	1		100	16	361	780		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		13	13	corruptnum	100		1001	1001	pierce-ltng	100		5	10																																																																					0
item -> added mod 1	1	1		100	16	361	795		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		14	14	corruptnum	100		1001	1001	pierce-cold	100		5	10																																																																					0
item -> added mod 2	1	1		100	16	361	810		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		15	15	corruptnum	100		1001	1001	pierce-pois	100		5	10																																																																					0
item -> added mod 3	1	1		100	16	361	825		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		16	16	corruptnum	100		1001	1001	cast2	100		20	20																																																																					0
item -> added mod 4	1	1		100	16	361	840		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		17	17	corruptnum	100		1001	1001	lifesteal	100		5	5	dmg%	100		40	60																																																																0
item -> added mod 5	1	1		100	16	361	855		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		18	18	corruptnum	100		1001	1001	att	100		200	300																																																																					0
item -> added mod 6	1	1		100	16	361	870		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		19	19	corruptnum	100		1001	1001	deadly	100		20	30																																																																					0
item -> added mod 1	1	1		100	16	361	885		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		20	20	corruptnum	100		1001	1001	swing1	100		30	40																																																																					0
item -> added mod 2	1	1		100	16	361	900		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		21	21	corruptnum	100		1001	1001	crush	100		20	30																																																																					0
Tier 3	0																																																																																																							0
item -> added mod 3	1	1		100	16	361	910		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		22	22	corruptnum	100		1001	1001	swing1	100		20	20	dmg%	100		80	120																																																																0
item -> added mod 4	1	1		100	16	361	920		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		23	23	corruptnum	100		1001	1001	swing1	100		30	30	crush	100		20	30																																																																0
item -> added mod 5	1	1		100	16	361	930		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		24	24	corruptnum	100		1001	1001	ignore-ac	100		1	1	dmg%	100		60	80																																																																0
item -> added mod 6	1	1		100	16	361	940		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		25	25	corruptnum	100		1001	1001	deadly	100		25	25	dmg%	100		50	70																																																																0
item -> added mod 1	1	1		100	16	361	950		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		26	26	corruptnum	100		1001	1001	att	100		250	250	dmg%	100		80	120																																																																0
item -> added mod 2	1	1		100	16	361	960		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		27	27	corruptnum	100		1001	1001	allskills	100		1	1																																																																					0
item -> added mod 3	1	1		100	16	361	970		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		28	28	corruptnum	100		1001	1001	extra-fire	100		5	5	cast2	100		10	10																																																																0
item -> added mod 4	1	1		100	16	361	980		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		29	29	corruptnum	100		1001	1001	extra-cold	100		5	5	cast2	100		10	10																																																																0
item -> added mod 5	1	1		100	16	361	990		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		30	30	corruptnum	100		1001	1001	extra-ltng	100		5	5	cast2	100		10	10																																																																0
item -> added mod 6	1	1		100	16	361	1000		2	weap,nos	wss,qty=1						useitem			100	corrupt	100		31	31	corruptnum	100		1001	1001	extra-pois	100		5	5	cast2	100		10	10																																																																0
CHEST --------------------------------	0																																																																																																							0
Tier 1	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	530		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		33	33	corruptnum	100		1001	1001	ac%	100		50	80																																																																					0
item -> added mod 2	1	1		100	16	361	560		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		7	7	corruptnum	100		1001	1001	mag%	100		20	30																																																																					0
item -> added mod 3	1	1		100	16	361	590		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		35	35	corruptnum	100		1001	1001	balance1	100		20	30																																																																					0
item -> added mod 4	1	1		100	16	361	620		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		36	36	corruptnum	100		1001	1001	res-fire	100		30	35																																																																					0
item -> added mod 5	1	1		100	16	361	650		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		37	37	corruptnum	100		1001	1001	res-cold	100		30	35																																																																					0
item -> added mod 6	1	1		100	16	361	680		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		38	38	corruptnum	100		1001	1001	res-ltng	100		30	35																																																																					0
item -> added mod 7	1	1		100	16	361	710		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		39	39	corruptnum	100		1001	1001	res-pois	100		30	35																																																																					0
item -> added mod 8	1	1		100	16	361	740		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		40	40	corruptnum	100		1001	1001	regen-mana	100		15	25																																																																					0
Tier 2	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	760		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		41	41	corruptnum	100		1001	1001	thorns/lvl	100		32	48																																																																					0
item -> added mod 2	1	1		100	16	361	780		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		42	42	corruptnum	100		1001	1001	cast1	100		10	10																																																																					0
item -> added mod 3	1	1		100	16	361	800		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		43	43	corruptnum	100		1001	1001	hp%	100		4	6																																																																					0
item -> added mod 4	1	1		100	16	361	820		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		44	44	corruptnum	100		1001	1001	move1	100		20	20																																																																					0
item -> added mod 5	1	1		100	16	361	840		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		45	45	corruptnum	100		1001	1001	nofreeze	100		1	1																																																																					0
item -> added mod 6	1	1		100	16	361	860		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		46	46	corruptnum	100		1001	1001	red-dmg	100		6	10																																																																					0
item -> added mod 7	1	1		100	16	361	880		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		47	47	corruptnum	100		1001	1001	red-mag	100		6	10																																																																					0
item -> added mod 8	1	1		100	16	361	900		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		48	48	corruptnum	100		1001	1001	indestruct	100		1	1	ac%	100		50	80																																																																0
Tier 3	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	912		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		49	49	corruptnum	100		1001	1001	curse-effectiveness	100		10	10																																																																					0
item -> added mod 2	1	1		100	16	361	925		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		50	50	corruptnum	100		1001	1001	allskills	100		1	1																																																																					0
item -> added mod 3	1	1		100	16	361	937		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		15	20																																																																					0
item -> added mod 4	1	1		100	16	361	950		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		52	52	corruptnum	100		1001	1001	red-dmg%	100		6	6																																																																					0
item -> added mod 5	1	1		100	16	361	962		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		53	53	corruptnum	100		1001	1001	res-fire-max	100		4	5	res-fire	100		15	15																																																																0
item -> added mod 6	1	1		100	16	361	975		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		54	54	corruptnum	100		1001	1001	res-cold-max	100		4	5	res-cold	100		15	15																																																																0
item -> added mod 7	1	1		100	16	361	987		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		55	55	corruptnum	100		1001	1001	res-ltng-max	100		4	5	res-ltng	100		15	15																																																																0
item -> added mod 8	1	1		100	16	361	1000		2	tors,nos	wss,qty=1						useitem			100	corrupt	100		56	56	corruptnum	100		1001	1001	res-pois-max	100		4	5	res-pois	100		15	15																																																																0
HELMS --------------------------------	0																																																																																																							0
Tier 1	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	530		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		33	33	corruptnum	100		1001	1001	ac%	100		50	80																																																																					0
item -> added mod 2	1	1		100	16	361	560		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		34	34	corruptnum	100		1001	1001	regen	100		10	20																																																																					0
item -> added mod 3	1	1		100	16	361	590		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		35	35	corruptnum	100		1001	1001	balance1	100		20	30																																																																					0
item -> added mod 4	1	1		100	16	361	620		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		36	36	corruptnum	100		1001	1001	res-fire	100		30	35																																																																					0
item -> added mod 5	1	1		100	16	361	650		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		37	37	corruptnum	100		1001	1001	res-cold	100		30	35																																																																					0
item -> added mod 6	1	1		100	16	361	680		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		38	38	corruptnum	100		1001	1001	res-ltng	100		30	35																																																																					0
item -> added mod 7	1	1		100	16	361	710		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		39	39	corruptnum	100		1001	1001	res-pois	100		30	35																																																																					0
item -> added mod 8	1	1		100	16	361	740		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		7	7	corruptnum	100		1001	1001	mag%	100		20	30																																																																					0
Tier 2	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	760		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		48	48	corruptnum	100		1001	1001	indestruct	100		1	1	ac%	100		50	80																																																																0
item -> added mod 2	1	1		100	16	361	780		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		57	57	corruptnum	100		1001	1001	lifesteal	100		3	5																																																																					0
item -> added mod 3	1	1		100	16	361	800		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		58	58	corruptnum	100		1001	1001	manasteal	100		3	5																																																																					0
item -> added mod 4	1	1		100	16	361	820		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		43	43	corruptnum	100		1001	1001	hp%	100		4	6																																																																					0
item -> added mod 5	1	1		100	16	361	840		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		45	45	corruptnum	100		1001	1001	nofreeze	100		1	1																																																																					0
item -> added mod 6	1	1		100	16	361	860		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		8	8	corruptnum	100		1001	1001	heal-kill	100		3	4																																																																					0
item -> added mod 7	1	1		100	16	361	880		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		9	9	corruptnum	100		1001	1001	mana-kill	100		3	4																																																																					0
item -> added mod 8	1	1		100	16	361	900		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		59	59	corruptnum	100		1001	1001	att	100		150	250	light	100		2	4																																																																0
Tier 3	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	912		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		49	49	corruptnum	100		1001	1001	curse-effectiveness	100		10	10																																																																					0
item -> added mod 2	1	1		100	16	361	925		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		50	50	corruptnum	100		1001	1001	allskills	100		1	1																																																																					0
item -> added mod 3	1	1		100	16	361	937		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		15	20																																																																					0
item -> added mod 4	1	1		100	16	361	950		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		52	52	corruptnum	100		1001	1001	red-dmg%	100		4	6																																																																					0
item -> added mod 5	1	1		100	16	361	962		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		53	53	corruptnum	100		1001	1001	res-fire-max	100		4	5	res-fire	100		15	15																																																																0
item -> added mod 6	1	1		100	16	361	975		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		54	54	corruptnum	100		1001	1001	res-cold-max	100		4	5	res-cold	100		15	15																																																																0
item -> added mod 7	1	1		100	16	361	987		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		55	55	corruptnum	100		1001	1001	res-ltng-max	100		4	5	res-ltng	100		15	15																																																																0
item -> added mod 8	1	1		100	16	361	1000		2	helm,nos	wss,qty=1						useitem			100	corrupt	100		56	56	corruptnum	100		1001	1001	res-pois-max	100		4	5	res-pois	100		15	15																																																																0
BOOTS -----------------------------	0																																																																																																							0
Tier 1	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	295		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		33	33	corruptnum	100		1001	1001	ac%	100		50	80																																																																					0
item -> added mod 2	1	1		100	16	361	340		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		7	7	corruptnum	100		1001	1001	mag%	100		10	25																																																																					0
item -> added mod 3	1	1		100	16	361	385		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		60	60	corruptnum	100		1001	1001	gold%	100		50	100																																																																					0
item -> added mod 4	1	1		100	16	361	430		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		36	36	corruptnum	100		1001	1001	res-fire	100		15	20																																																																					0
item -> added mod 5	1	1		100	16	361	475		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		37	37	corruptnum	100		1001	1001	res-cold	100		15	20																																																																					0
item -> added mod 6	1	1		100	16	361	520		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		38	38	corruptnum	100		1001	1001	res-ltng	100		15	20																																																																					0
item -> added mod 7	1	1		100	16	361	565		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		39	39	corruptnum	100		1001	1001	res-pois	100		15	20																																																																					0
item -> added mod 8	1	1		100	16	361	610		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		40	40	corruptnum	100		1001	1001	regen-mana	100		10	15																																																																					0
Tier 2	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	640		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		64	64	corruptnum	100		1001	1001	block2			10	10																																																																					0
item -> added mod 2	1	1		100	16	361	670		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		61	61	corruptnum	100		1001	1001	hp	100		20	40																																																																					0
item -> added mod 3	1	1		100	16	361	700		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		48	48	corruptnum	100		1001	1001	indestruct	100		1	1	ac%	100		50	80																																																																0
item -> added mod 4	1	1		100	16	361	730		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		51	51	corruptnum	100		1001	1001	res-all	100		5	8																																																																					0
item -> added mod 5	1	1		100	16	361	760		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		34	34	corruptnum	100		1001	1001	regen	100		15	25																																																																					0
item -> added mod 6	1	1		100	16	361	790		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		8	8	corruptnum	100		1001	1001	heal-kill	100		2	3																																																																					0
item -> added mod 7	1	1		100	16	361	820		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		9	9	corruptnum	100		1001	1001	mana-kill	100		2	3																																																																					0
item -> added mod 8	1	1		100	16	361	850		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		35	35	corruptnum	100		1001	1001	balance1	100		10	10																																																																					0
Tier 3	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	869		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		44	44	corruptnum	100		1001	1001	move1	100		10	10																																																																					0
item -> added mod 2	1	1		100	16	361	888		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		67	67	corruptnum	100		1001	1001	block	100		10	10																																																																					0
item -> added mod 3	1	1		100	16	361	907		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		62	62	corruptnum	100		1001	1001	curse-res	100		10	10																																																																					0
item -> added mod 4	1	1		100	16	361	925		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		52	52	corruptnum	100		1001	1001	red-dmg%	100		2	3																																																																					0
item -> added mod 5	1	1		100	16	361	944		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		53	53	corruptnum	100		1001	1001	res-fire-max	100		2	3	res-fire	100		10	10																																																																0
item -> added mod 6	1	1		100	16	361	963		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		54	54	corruptnum	100		1001	1001	res-cold-max	100		2	3	res-cold	100		10	10																																																																0
item -> added mod 7	1	1		100	16	361	982		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		55	55	corruptnum	100		1001	1001	res-ltng-max	100		2	3	res-ltng	100		10	10																																																																0
item -> added mod 8	1	1		100	16	361	1000		2	boot,nos	wss,qty=1						useitem			100	corrupt	100		56	56	corruptnum	100		1001	1001	res-pois-max	100		2	3	res-pois	100		10	10																																																																0
GLOVES -------------------------------	0																																																																																																							0
Tier 1	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	295		2	glov,nos	wss,qty=1						useitem			100	corrupt	100		33	33	corruptnum	100		1001	1001	ac%	100		50	80																																																																					0
item -> added mod 2	1	1		100	16	361	340		2	glov,nos	wss,qty=1						useitem			100	corrupt	100		7	7	corruptnum	100		1001	1001	mag%	100		10	25																																																																					0
item -> added mod 3	1	1		100	16	361	385		2	glov,nos	wss,qty=1						useitem			100	corrupt	100		60	60	corruptnum	100		1001	1001	gold%	100		50	100																																																																					0
item -> added mod 4	1	1		100	16	361	430		2	glov,nos	wss,qty=1						useitem			100	corrupt	100		36	36	corruptnum	100		1001	1001	res-fire	100		10	15																																																																					0
item -> added mod 5	1	1		100	16	361	475		2	glov,nos	wss,qty=1						useitem			100	corrupt	100		37	37	corruptnum	100		1001	1001	res-cold	100		10	15																																																																					0
item -> added mod 6	1	1		100	16	361	520		2	glov,nos	wss,qty=1						useitem			100	corrupt	100		38	38	corruptnum	100		1001	1001	res-ltng	100		10	15																																																																					0
item -> added mod 7	1	1		100	16	361	565		2	glov,nos	wss,qty=1						useitem			100	corrupt	100		39	39	corruptnum	100		1001	1001	res-pois	100		10	15																																																																					0
item -> added mod 8	1	1		100	16	361	610		2	glov,nos	wss,qty=1						useitem			100	corrupt	100		40	40	corruptnum	100		1001	1001	regen-mana	100		10	15																																																																					0
Tier 2	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	640		2	glov,nos	wss,qty=1						useitem			100	corrupt	100		3	3	corruptnum	100		1001	1001	att	100		100	150																																																																					0
item -> added mod 2	1	1		100	16	361	670		2	glov,nos	wss,qty=1						useitem			100	corrupt	100		61	61	corruptnum	100		1001	1001	hp	100		20	40																																																																					0
item -> added mod 3	1	1		100	16	361	700		2	glov,nos	wss,qty=1						useitem			100	corrupt	100		63	63	corruptnum	100		1001	1001	pierce	100		10	15																																																																					0
item -> added mod 4	1	1		100	16	361	730		2	glov,nos	wss,qty=1						useitem			100	corrupt	100		64	64	corruptnum	100		1001	1001	block1	100		10	20																																																																					0
item -> added mod 5	1	1		100	16	361	760		2	glov,nos	wss,qty=1						useitem			100	corrupt	100		34	34	corruptnum	100		1001	1001	regen	100		15	20																																																																					0
item -> added mod 6	1	1		100	16	361	790		2	glov,nos	wss,qty=1						useitem			100	corrupt	100		57	57	corruptnum	100		1001	1001	lifesteal	100		2	3																																																																					0
item -> added mod 7	1	1		100	16	361	820		2	glov,nos	wss,qty=1						useitem			100	corrupt	100		58	58	corruptnum	100		1001	1001	manasteal	100		2	3																																																																					0
item -> added mod 8	1	1		100	16	361	850		2	glov,nos	wss,qty=1						useitem			100	corrupt	100		65	65	corruptnum	100		1001	1001	all-stats	100		3	6																																																																					0
Tier 3	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	869		2	glov,nos	wss,qty=1						useitem			100	corrupt	100		19	19	corruptnum	100		1001	1001	deadly	100		10	10																																																																					0
item -> added mod 2	1	1		100	16	361	888		2	glov,nos	wss,qty=1						useitem			100	corrupt	100		9	9	corruptnum	100		1001	1001	mana-kill	100		2	4																																																																					0
