index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Pompe's Wrath	100	1		1		53	45	9mp	Crowbill			5	5000	cred	cred		invmpiu				hit-skill	229	8	22	slow		10	10	dmg-fire		60	175	dmg%		170	200	swing2		40	40																									splash	358	100	1	0
Guardian Naga	100	1		1		56	48	9wa	Naga			5	5000								hit-skill	92	5	25	thorns		75	150	res-pois		30	30	dmg%		150	180	dmg-pois	50	1280	1280	dmg-max		20	20																					splash	358	100	1	0
Warlord's Trust	100	1		1		43	35	9la	Military Axe			5	5000	whit	whit						ac		75	75	regen		20	20	vit/lvl	4			res-all		10	10	rep-dur	25			dmg%		175	255	swing2		40	40																	splash	358	100	1	0
Spellsteel	100	1		1		47	39	9ba	Bearded Axe			5	5000	whit	whit						ease		-60	-60	mana		100	100	red-mag		12	15	cast1		30	30	dmg%		165	245	regen-mana		25	25	charged	357	60	1	charged	442	60	18	charged	101	60	10	charged	225	60	12					splash	358	100	1	0
Stormrider	100	1		1		49	41	9bt	Tabar			5	5000	lred	lred		inv9btu				hit-skill	53	10	25	hit-skill	38	25	27	dmg-ltng		1	200	dmg-norm		35	75	dmg%		100	100	dur		50	50	light-thorns		75	150	gethit-skill	38	15	25													splash	358	100	1	0
Boneslayer Blade	100	1		1		50	42	9ga	Gothic Axe			5	5000				invgaxu				att-und/lvl	10			dmg-und/lvl	20			str		8	8	swing2		20	20	att%		35	35	dmg%		180	220	oskill	106	8	12	gethit-skill	101	50	0													splash	358	100	1	0
The Minataur	100	1		1		53	45	9gi	Ancient Axe			5	5000				inv9giu				stupidity		2	2	nofreeze		1	1	str		15	20	slow		10	10	crush		30	30	dmg-norm		40	50	dmg%		200	260																	splash	358	100	1	0
Suicide Branch	100	1		1		41	33	9wn	Burnt Wand			5	5000								skill	367	1	2	cast2		50	50	res-all		10	10	mana%		10	10	hp		40	40	allskills		1	1	blood-warp-life-reduction		2	2																					0
Carin Shard	100	1		1		43	35	9yw	Petrified Wand			5	5000	cblu	cblu						hp/lvl	10			cast2		10	10	mana/lvl	10			balance2		30	30	regen		15	25	nec		1	1	skilltab	8	1	2	skill	75	2	2																	0
Arm of King Leoric	100	1		1		44	36	9bw	Tomb Wand			5	5000				invbwnu				skilltab	8	1	2	mana/lvl	10			regen		14	32	cast1		20	20	skilltab	7	1	2	skill	80	2	2	skill	69	2	3	skill	70	2	3	extra-skele-war		2	2	extra-skele-mage		2	2									0
Blackhand Key	100	1		1		49	41	9gw	Grave Wand			5	5000	blac	blac		inv9gwu				skilltab	6	2	3	dmg-to-mana		20	20	hp		30	60	heal-kill		4	7	cast3		30	30	res-fire		37	37	nec		1	2	charged	150	30	7																	0
Dark Clan Crusher	100	1		1		42	34	9cl	Cudgel			5	5000	dgld	dgld		invclbu				dru		2	2	dmg-demon		200	200	att-demon		200	200	dmg%		195	195	att%		20	25	demon-heal		15	15	swing2		30	40																	splash	358	100	1	0
Zakarum's Hand	100	1		1		45	37	9sc	Rune Scepter			5	5000	lpur	lpur						manasteal		8	8	ignore-ac		1	1	regen-mana		10	10	regen-stam		15	15	hit-skill	59	10	20	dmg%		180	220	swing2		30	30	skill	114	2	3	skill	118	2	3									splash	358	100	1	0
The Fetid Sprinkler	100	1		1		46	38	9qs	Holy Water Sprinkler			5	5000								pal		2	2	hit-skill	Decrepify Proc	15	10	gethit-skill	81	10	10	dmg-pois	100	409	409	dmg%		160	220	att		150	200	dmg-norm		15	25																	splash	358	100	1	0
Hand of Blessed Light	100	1		1		50	42	9ws	Divine Scepter			5	5000	lyel							pal		2	2	dmg%		130	160	att%		100	100	skill	371	2	4	regen-mana		15	15	light		4	4	dmg-norm		20	45	skill	101	2	4	skill	121	2	2	skill	364	2	2					splash	358	100	1	0
Fleshrender	100	1		1		46	38	9sp	Barbed Club			5	5000	blac			invspcu				openwounds		25	25	swing2		30	30	crush		20	20	deadly		20	20	dmg-norm		35	50	dmg%		130	200	dru		1	2	skilltab	16	2	2	dur		20	20									splash	358	100	1	0
Sureshrill Frost	100	1		1		47	39	9ma	Flanged Mace			5	5000								dmg-cold	125	63	112	nofreeze		1	1	dmg%		150	180	dmg-norm		15	30	freeze		3	3	hit-skill	64	10	14	coldskill		2	3																	splash	358	100	1	0
Moonfall	100	1		1		50	42	9mt	Jagged Star			5	5000				invmstu				hit-skill	56	10	26	dmg-fire		55	115	red-mag		9	12	dmg%		140	170	light		2	2	magskill		2	3	dmg-norm		10	15																	splash	358	100	1	0
Baezil's Vortex	100	1		1		53	45	9fl	Knout			5	5000	dblu	dblu						hit-skill	48	20	25	dmg-ltng		1	150	mana		100	100	res-ltng		25	25	dmg%		160	200	swing2		20	20	charged	48	80	25																	splash	358	100	1	0
Earthshaker	100	1		1		51	43	9wh	Battle Hammer			5	5000								hit-skill	234	14	24	swing3		30	30	dmg%		180	230	stupidity		1	1	skilltab	17	3	4	dur		50	50	cast2		20	20																	splash	358	100	1	0
Bloodtree Stump	100	1		1		56	48	9m9	War Club			5	5000	dred							crush		50	50	dmg%		210	260	res-all		20	20	str		25	25	skilltab	13	2	2	skill	128	3	3	dur		40	40	heal-hit		3	5													splash	358	100	1	0
The Gavel of Pain	100	1		1		53	45	9gm	Martel de Fer			5	5000				inv9gmu				hit-skill	442	15	16	gethit-skill	444	5	1	thorns		260	260	rep-charge	16			dmg-norm		12	30	dmg%		215	245	charged	442	3	8																	splash	358	100	1	0
Bloodletter	100	1		1		38	30	9ss	Gladius			5	5000	cred	cred						dmg-norm		12	45	att		90	90	lifesteal		8	8	stamdrain		10	10	swing2		-40	-40	dmg%		280	340	skill	128	2	4	skill	151	2	3	dur		30	30									splash	358	100	1	0
Coldsteel Eye	100	1		1		39	31	9sm	Cutlass			5	5000	dgry			invscmu				stupidity		1	1	freeze		1	1	deadly		50	50	dur		50	50	dmg%		225	275	swing2		20	20	manasteal		6	6																	splash	358	100	1	0
Hexfire	100	1		1		41	33	9sb	Shamshir			5	5000				invsbru				cast2		25	25	ignore-ac		1	1	res-fire		25	25	res-fire-max		5	5	dmg-norm		35	40	dmg%		180	200	fireskill		2	3																	splash	358	100	1	0
Blade of Ali Baba	100	1		1		43	35	9fc	Tulwar			5	5000	cred	cred						sock	3			gold%/lvl	20			mag%/lvl	8			mana		15	15	dmg%		60	120	dex		5	15																					splash	358	100	1	0
Ginther's Rift	100	1		1		45	37	9cr	Dimensional Blade			5	5000	cblu			inv9cru				red-mag		7	12	swing2		30	30	rep-dur	20			dur		40	40	dmg-mag		75	180	dmg%		150	200																					splash	358	100	1	0
Headstriker	100	1		1		47	39	9bs	Battle Sword			5	5000	bwht	bwht						noheal		1	1	str		15	15	deadly/lvl	12			dmg/lvl	8			dmg%		150	150																									splash	358	100	1	0
Plague Bearer	100	1		1		49	41	9ls	Rune Sword			5	5000				inv9lsu				hit-skill	92	5	14	dmg-pois	75	1024	1024	dmg-norm		10	45	dmg%		150	250	res-pois		45	45	skill	238	4	6	swing1		30	30																	splash	358	100	1	0
The Atlantian	100	1		1		50	42	9wd	Ancient Sword			5	5000	lblu	lblu						dur		100	100	ac		75	75	str		16	16	dex		12	12	vit		8	8	dmg%		230	280	pal		2	2	att%		50	50													splash	358	100	1	0
Crainte Vomir	100	1		1		50	42	92h	Espadon			5	5000	lgld			inv2hsu				slow		15	15	dmg-ac		-70	-70	move2		20	20	red-dmg%		10	20	dmg%		250	290	swing3		50	50																					splash	358	100	1	0
Bing Sz Wang	100	1		1		51	43	9cm	Dacian Falx			5	5000								ease		-30	-30	dmg-cold	75	50	140	str		20	20	freeze		2	2	hit-skill	64	33	15	dmg%		180	230	pierce-cold		10	20																	splash	358	100	1	0
The Vile Husk	100	1		1		52	44	9gs	Tusk Sword			5	5000	dgry	dgry		invgisu				hit-skill	442	18	18	dmg-und/lvl	60			res-pois		50	50	dmg-pois	50	1280	1280	dmg%		150	200	att-und/lvl	20			swing2		20	20																	splash	358	100	1	0
Cloudcrack	100	1		1		53	45	9b9	Gothic Sword			5	5000				invbswu				hit-skill	121	12	21	dmg-ltng		1	480	ac		120	120	light		5	5	res-ltng-max		10	10	dmg%		180	230	light-thorns		100	150	skilltab	10	4	6	skilltab	11	4	6									splash	358	100	1	0
Todesfaelle Flamme	100	1		1		54	46	9fb	Zweihander			5	5000				inv9fbu				dmg-fire		50	200	aura	resist fire	6	6	abs-fire		10	10	att-skill	Fire Ball	10	20	dmg%		180	220	charged	52	45	10	charged	51	20	20	att-skill	combustion	2	16													splash	358	100	1	0
Swordguard	100	1		1		55	48	9gd	Executioner Sword			5	5000	bwht	bwht		invgsdu				ease		-50	-50	ac/lvl	40			res-all		10	20	ac-miss		100	100	dmg-to-mana		30	30	dmg%		240	280	ac-hth		200	200	balance2		40	40	block		40	40									splash	358	100	1	0
Spineripper	100	1		1		40	32	9dg	Poignard			5	5000								ignore-ac		1	1	lifesteal		8	8	noheal		1	1	swing3		15	15	dex		10	10	dmg%		200	240	dmg-norm		15	27	allskills		1	1									deadly		20	20	splash	358	100	1	0
Heart Carver	100	1		1		44	36	9di	Rondel			5	5000								deadly		35	35	ignore-ac		1	1	dmg-norm		15	35	dmg%		190	240	skill	131	5	10	skill	142	5	10	skill	150	5	10													deadly		20	20	splash	358	100	1	0
Blackbog's Sharp	100	1		1		46	38	9kr	Cinquedeas			5	5000				invkrsu				slow		20	20	ac		50	150	dmg-norm		15	45	swing3		30	30	dmg-pois	50	512	512	skill	73	2	2	poisskill		2	4													deadly		20	20	splash	358	100	1	0
Stormspike	100	1		1		49	41	9bl	Stilleto			5	5000	cblu	cblu		inv9blu				ltng-min		1	1	ltng-max		240	360	light-thorns		60	120	gethit-skill	38	75	23	dmg%		175	250	pierce-ltng		10	20	extra-ltng		20	20													deadly		20	20	splash	358	100	1	0
The Impaler	100	1		1		39	31	9sr	War Spear			5	5000	lred	lred						ignore-ac		1	1	att		150	150	swing2		20	20	openwounds		40	40	noheal		1	1	dmg%		140	200	oskill	19	4	6	oskill	30	3	4	oskill	10	4	6									splash	358	100	1	0
Kelpie Snare	100	1		1		41	33	9tr	Fuscina			5	5000				invtriu				slow		25	25	res-fire		50	50	hp/lvl	10			dmg-norm		30	50	str		10	10	dmg%		140	180																					splash	358	100	1	0
Soulfeast Tine	100	1		1		43	35	9br	War Fork			5	5000	lyel	lyel		inv9bru				ease		-20	-20	lifesteal		7	7	manasteal		7	7	stamdrain		20	20	dmg%		190	270	att		150	250	dur		15	15																	splash	358	100	1	0
Hone Sundan	100	1		1		45	37	9st	Yari			5	5000								sock	3			dmg-norm		20	40	crush		45	45	rep-dur	10			dmg%		160	200																									splash	358	100	1	0
Spire of Honor	100	1		1		47	39	9p9	Lance			5	5000	lgry	lgry						att%		25	25	light		3	3	regen		20	20	balance2		20	20	dmg-norm		20	40	dmg-dem/lvl	14			dmg%		200	250	skilltab	9	3	3	ac%		25	25									splash	358	100	1	0
The Meat Scraper	100	1		1		49	41	9b7	Lochaber Axe			5	5000	dred	dred						dmg%		200	250	swing2		30	30	lifesteal		10	10	openwounds		50	50	mag%		50	50	skilltab	13	3	3																					splash	358	100	1	0
Blackleach Blade	100	1		1		50	42	9vo	Bill			5	5000	blac	blac						ease		-25	-25	hit-skill	443	5	5	light		-2	-2	lifesteal		8	8	dmg/lvl	16			dmg%		140	180																					splash	358	100	1	0
Athena's Wrath	100	1		1		50	42	9s8	Battle Scythe			5	5000				inv9s8u				dru		2	3	dex		15	15	swing2		50	50	hp/lvl	8			dmg/lvl	12			dmg%		200	230	skilltab	15	2	3																	splash	358	100	1	0
Pierre Tombale Couant	100	1		1		51	43	9pa	Partizan			5	5000	lgld	lgld						deadly		55	55	bar		3	3	balance2		30	30	manasteal		6	6	dmg-min		24	36	dmg-max		40	60	dmg%		160	220	att		100	200													splash	358	100	1	0
Husoldal Evo	100	1		1		52	44	9h9	Bec-de-Corbin			5	5000								regen		40	60	att		200	250	noheal		1	1	dmg-norm		20	32	dmg%		240	280	swing2		20	20																					splash	358	100	1	0
Grim's Burning Dead	100	1		1		52	45	9wc	Grim Scythe			5	5000	cred	cred						dmg-fire		131	232	res-fire		45	45	dmg%		220	260	skill	80	3	5	ease		-50	-50	nec		2	3	reduce-ac		50	50	grims-extra-skele-mage		8	8	att		200	250									splash	358	100	1	0
Razorswitch	100	1		1		36	28	8ss	Jo Stalf			5	5000	lpur							cast3		40	40	thorns		15	15	mana		175	175	hp		80	80	red-mag		15	15	res-all		50	50	allskills		1	1																	splash	358	100	1	0
Ribcracker	100	1		1		39	31	8ls	Quarterstaff			5	5000	lblu	lblu						dmg-norm		30	65	dmg%		200	300	crush		50	50	dex		15	15	ac		100	100	ac%		100	100	balance2		50	50	swing2		50	50	dur		100	100	cast	30	30						splash	358	100	1	0
Chromatic Ire	100	1		1		43	35	8cs	Cedar Staff			5	5000				invcstu				sor		3	3	res-all		20	40	cast1		45	45	light-thorns		20	20	hp%		20	25	skill	61	1	1	skill	63	1	1	skill	65	1	1													splash	358	100	1	0
Warpspear	100	1		1		47	39	8bs	Gothic Staff			5	5000	cblu	cblu						sor		3	3	ignore-ac		1	1	skill	54	3	3	skill	55	1	2	skill	58	3	3	ac-miss		250	250	skill	369	1	2	cast3		55	55													splash	358	100	1	0
Skullcollector	100	1		1		49	41	8ws	Rune Staff			5	5000	blac	blac		inv8wsu				mana%		20	20	mana-kill		10	20	allskills		2	3	mag%/lvl	8			nec		1	2	cast3		60	60																					splash	358	100	1	0
Skystrike	100	1		1		36	28	8sb	Edge Bow			5	5000								dmg-ltng		1	250	att		100	100	enr		10	10	swing3		30	30	dmg%		150	200	hit-skill	56	20	8	ama		1	2																					0
Riphook	100	1		1		39	31	8hb	Razor Bow			5	5000	cred	cred						openwounds		30	30	dmg%		220	260	slow		10	10	mana		35	35	swing2		50	50	lifesteal		7	10	dmg-max		15	15																					0
Kuko Shakaku	100	1		1		41	33	8lb	CedarBow			5	5000	lpur	lpur		inv8lbu				skill	27	3	3	explosivearrow		7	7	dmg%		150	180	pierce		50	50	dmg-fire		40	180	skilltab	0	3	3	mana-kill		2	2																					0
Endlesshail	100	1		1		44	36	8cb	Double Bow			5	5000				invcbwu				res-cold		35	35	mana		40	40	hit-skill	59	15	12	oskill	26	3	5	dmg%		180	220	dmg-cold	75	15	30																									0
Whichwild String	100	1		1		47	39	8s8	Short Siege Bow			5	5000	lblu	lblu		inv8s8u				hit-skill	442	14	18	res-all		20	40	deadly/lvl	4			dmg%		150	190	magicarrow		20	20	sock		2	4																									0
Cliffkiller	100	1		1		49	41	8l8	Long Siege Bow			5	5000	dgld							ama		2	2	dmg%		190	230	ac-miss		80	80	knock		1	1	hp		50	50	dmg-min		5	10	dmg-max		20	30	swing2		60	60																	0
Magewrath	100	1		1		51	43	8sw	Rune Bow			5	5000	oran			invswbu				manasteal		5	15	red-mag		9	13	skill	22	3	4	att		200	250	dex		10	10	stupidity		1	1	dmg-norm		25	50	dmg%		180	210	ama		2	2	skill	6	3	4									0
Godstrike Arch	100	1		1		54	46	8lw	Gothic Bow			5	5000	lgry	lgry						dmg%		200	250	att%		100	150	dmg-undead		200	300	dmg-demon		200	300	hit-skill	121	15	20	swing2		50	50	regen		12	24																					0
Langer Briser	100	1		1		40	32	8lx	Arbalest			5	5000				inv8lxu				knock		1	1	dmg%		170	200	mag%		30	60	hp		30	30	dmg-max		10	30	openwounds		33	33	dmg-ltng		1	312	swing2		20	20													pierce-phys		10	10	0
Pus Spiter	100	1		1		44	36	8mx	Siege Crossbow			5	5000	cgrn	cgrn		inv8mxu				dmg-pois	100	384	384	hit-skill	447	28	18	ease		-60	-60	gethit-skill	92	9	6	swing2		10	10	dmg%		150	220	att/lvl	10			allskills		2	3	heal-hit		20	25									pierce-phys		10	10	0
Buriza-Do Kyanon	100	1		1		59	41	8hx	Balista			5	5000				invhxbu				pierce		100	100	dex		35	35	ac		75	150	dmg/lvl	10			swing2		80	80	dmg%		200	300	freeze		3	3	dmg-cold	200	32	196													pierce-phys		10	10	0
Demon Machine	100	1		1		57	49	8rx	Chu-Ko-Nu			5	5000	blac	blac		invrxbu				ac		333	666	mana		33	66	pierce		33	66	explosivearrow		6	6	dmg-max		33	66	dmg%		200	250	att		333	666	reanimate	492	6	6	hit-skill	Multiple Shot	12	18									pierce-phys		10	10	0
Armor																																																																					0
Peasent Crown	100	1		1		36	28	xap	War Hat			3	5000	lgry							enr		20	20	vit		20	20	allskills		1	1	move2		20	20	regen		6	12	ac%		100	100																									0
Rockstopper	100	1		1		39	31	xkp	Sallet			3	5000				invxkpu				res-ltng		20	40	red-dmg%		10	10	balance2		30	30	ac%		160	220	res-fire		20	50	res-cold		20	40	vit		15	15																					0
Stealskull	100	1		1		43	35	xlm	Casque			3	5000				invhlmu				manasteal		3	5	lifesteal		3	5	balance2		20	20	swing2		20	20	ac%		200	240	mag%		30	50																									0
Darksight Helm	100	1		1		46	38	xhl	Basinet			3	5000	blac	blac		invfhlu				light		-4	-4	ac/lvl	24			nofreeze		1	1	manasteal		5	5	gethit-skill	71	16	3	oskill	264	1	1	res-fire		20	40	stupidity		1	1																	0
Valkiry Wing	100	1		1		52	44	xhm	Winged Helm			3	5000	lgld							ac%		150	200	move2		30	30	balance2		20	20	ama		1	2	mana-kill		3	6	dmg%		20	40																									0
Crown of Thieves	100	1		1		57	49	xrn	Grand Crown			3	5000	dgld	dgld		invxrnu				dex		25	25	lifesteal		5	10	hp		50	50	gold%		80	100	res-fire		33	33	ac%		160	200	mag%		30	65																					0
Blackhorn's Face	100	1		1		49	41	xsk	Death Mask			3	5000	blac	blac						light-thorns		225	325	slow		20	20	noheal		1	1	abs-ltng		10	20	res-ltng		15	15	ac%		180	220	res-ltng-max		5	5																					0
Vampiregaze	100	1		1		49	41	xh9	Grim Helm			3	5000	cgrn	cgrn		invbhmu				manasteal		6	8	lifesteal		6	8	stamdrain		15	15	red-dmg%		15	20	red-mag		10	15	ac%		100	100	dmg-cold	100	6	22																					0
The Spirit Shroud	100	1		1		36	28	xui	Ghost Armor			3	5000								nofreeze		1	1	allskills		1	1	red-mag		11	17	regen		10	20	ac%		150	150	cast2		30	30																									0
Skin of the Vipermagi	100	1		1		37	29	xea	SerpentSkin Armor			3	5000	dblu	dblu						ac%		120	120	res-all		20	30	cast3		30	30	red-mag		5	8	allskills		1	1																													0
Skin of the Flayerd One	100	1		1		39	31	xla	Demonhide Armor			3	5000	lred	lred						rep-dur	25			regen		15	25	dur		30	30	lifesteal		5	7	ac%		150	190	dmg-fire		80	135	res-fire		20	45																					0
Ironpelt	100	1		1		41	33	xtu	Tresllised Armor			3	5000	dgry	dgry		invxtuu				dur		125	125	hp		80	125	red-mag		10	16	red-dmg		15	20	ac/lvl	24			ac%		50	100																									0
Spiritforge	100	1		1		43	35	xng	Linked Mail			3	5000								light		4	4	hp/lvl	10			dmg-fire		20	65	res-fire		10	25	ac%		120	160	str		15	15	sock	2			fireskill		1	2																	0
Crow Caw	100	1		1		45	37	xcl	Tigulated Mail			3	5000								openwounds		35	35	ac%		150	180	dex		15	15	balance2		15	15	swing2		15	15	dmg%		35	50	pierce		20	30																					0
Shaftstop	100	1		1		46	38	xhn	Mesh Armor			3	5000	dgry							ac-miss		250	250	red-dmg%		20	30	hp		80	140	ac%		180	220																																	0
Duriel's Shell	100	1		1		49	41	xrs	Cuirass			3	5000	oran	oran						str		15	15	ac/lvl	10			hp/lvl	8			ac%		160	200	res-fire		20	20	res-ltng		20	20	res-pois		20	20	res-cold		50	50	nofreeze		1	1	dur		100	100									0
Skullder's Ire	100	1		1		50	42	xpl	Russet Armor			3	5000								allskills		1	1	mag%/lvl		8	12	ac%		160	200	dur		60	60	red-mag		10	15	rep-dur	20			*vit		-10	-10	*enr		-10	-10																	0
Guardian Angel	100	1		1		53	45	xlt	Templar Coat			3	5000	lgry	lgry						light		4	4	pal		1	1	ac%		180	200	block2		30	30	block		20	20	att-dem/lvl	28			res-fire-max		4	6	res-cold-max		4	6	res-ltng-max		4	6	res-pois-max		4	6									0
Toothrow	100	1		1		56	48	xld	Sharktooth Armor			3	5000	bwht	whit						thorns		250	400	ac		40	60	str		10	10	openwounds		40	40	res-fire		15	15	ac%		160	220	dur		15	15	deadly		25	35																	0
Atma's Wail	100	1		1		59	51	xth	Embossed Plate			3	5000								dex		15	15	regen		10	20	mana%		15	25	balance2		30	30	ac/lvl	16			dur		50	50	ac%		120	160	mag%		20	20	allskills		1	1	cast2		30	30									0
Black Hades	100	1		1		61	53	xul	Chaos Armor			3	5000								light		-2	-2	att-demon		400	450	half-freeze		1	1	sock		3	4	ac%		140	200	dmg-demon		160	225																									0
Corpsemourn	100	1		1		63	55	xar	Ornate Armor			3	5000	blac	blac		invxaru				str		8	8	vit		10	10	res-cold		35	35	reanimate	1	12	12	ac%		150	180	fire-min		120	160	fire-max		300	340	oskill	74	20	20	ease		-15	-15													0
Que-Hegan's Wisdon	100	1		1		59	51	xtp	Mage Plate			3	5000								cast2		20	20	mana-kill		3	5	red-mag		6	10	enr		15	25	balance2		20	20	ac%		140	160	allskills		1	2																					0
Visceratuant	100	1		1		36	28	xuc	Defender			3	5000	dred			invbucu				sor		1	1	block2		30	30	block		30	30	ac%		100	150	light-thorns		35	50	extra-ltng		5	10																									0
Mosers Blessed Circle	100	1		1		39	31	xml	Round Shield			3	5000				invxmlu				res-all		25	25	block		25	25	sock	2			ac%		180	220	block2		30	30																													0
Stormchaser	100	1		1		43	35	xrg	Scutum			3	5000	cblu	cblu		invxrgu				dmg-ltng		1	270	block		20	20	nofreeze		1	1	res-ltng		50	50	att		150	250	ac%		160	220	move2		20	30	gethit-skill	59	8	9	gethit-skill	245	8	15													0
Tiamat's Rebuke	100	1		1		46	38	xit	Dragon Shield			3	5000	lgry	lgry		invkitu				dmg-cold	150	40	80	dmg-fire		53	142	dmg-ltng		1	180	res-all		25	35	ac%		140	200	gethit-skill	44	15	19	gethit-skill	48	15	17	gethit-skill	62	15	6	dur		40	40													0
Kerke's Sanctuary	100	1		1		52	44	xow	Pavise			3	5000	lgrn	lgrn		invtowu				red-dmg		14	18	red-mag		14	18	regen		25	25	ac%		180	240	dur		100	100	block		30	30	res-all		20	30	allskills		1	1	block2		20	20													0
Radimant's Sphere	100	1		1		58	50	xts	Ancient Shield			3	5000				invgtsu				gethit-skill	92	5	35	res-pois		50	75	ac%		160	200	block		20	20	block2		20	20	poisskill		1	2	dur		20	20	cast2		30	30																	0
Lidless Wall	100	1		1		49	41	xsh	Grim Shield			3	5000	dgld	dgld		invxshu				light		1	1	allskills		1	2	cast2		20	20	mana-kill		4	6	ac%		80	130	enr		10	10	mana%		10	10																					0
Lance Guard	100	1		1		43	35	xpk	Barbed Shield			3	5000				invxpku				hp/lvl	20			balance2		30	30	thorns		147	247	ac%		70	120	deadly		20	35	block2		50	50	dex		12	16																					0
Venom Grip	100	1		1		37	29	xlg	Demonhide Gloves			5	5000	dgrn							res-pois		30	30	res-pois-max		5	5	extra-pois		10	15	crush		5	10	lifesteal		2	4	ac		15	25	ac%		130	160																					0
Gravepalm	100	1		1		39	32	xvg	Sharkskin Gloves			5	5000								enr		10	10	str		10	10	dmg-undead		100	200	att-undead		100	200	ac%		140	180	deadly		10	15	skilltab	8	1	1																					0
Ghoulhide	100	1		1		44	36	xmg	Heavy Bracers			5	5000								att-und/lvl	16			dmg-und/lvl	16			manasteal		4	5	hp		20	40	ac%		150	190	swing2		20	20																									0
Lavagout	100	1		1		50	42	xtg	Battle Guantlets			5	5000	lyel							res-fire		24	36	half-freeze		1	1	hit-skill	52	2	10	swing2		20	20	ac%		150	200	dmg-fire		26	92	dur		20	20	res-fire-max		2	5																	0
Hellmouth	100	1		1		55	47	xhg	War Gauntlets			5	5000								dmg-fire		30	144	ac%		150	200	dur		15	15	hit-skill	56	4	34	hit-skill	229	8	22	thorns		200	350	pierce-fire		5	15																					0
Infernostride	100	1		1		37	29	xlb	Demonhide Boots			5	5000								dmg-fire		24	66	move2		25	25	res-fire-max		5	5	res-fire		30	30	light		2	2	ac%		120	150	gold%		40	70	ac		15	15	gethit-skill	46	10	16													0
Waterwalk	100	1		1		40	32	xvb	Sharkskin Boots			5	5000								block2		20	20	move2		40	40	dex		15	15	ac%		180	210	hp		45	65	stam		40	40	res-fire-max		5	5	regen-stam		50	50																	0
Silkweave	100	1		1		44	36	xmb	Mesh Boots			5	5000								ac%		150	190	mana-kill		5	5	ac-miss		200	200	mana%		10	20	move2		30	30																													0
Wartraveler	100	1		1		50	42	xtb	Battle Boots			5	5000								vit		10	10	str		10	10	mag%		30	50	dur		30	30	move2		25	25	ac%		150	190	dmg-norm		15	25	thorns		5	10	stamdrain		40	40													0
Gorerider	100	1		1		55	47	xhb	War Boots			5	5000	dred							ease		-25	-25	deadly		15	15	move2		30	30	crush		15	15	openwounds		10	10	ac%		160	200	dur		10	10	stam		20	20																	0
String of Ears	100	1		1		37	29	zlb	Demonhide Sash			5	5000	lred							red-mag		10	15	red-dmg%		10	15	lifesteal		6	8	ac%		150	180	ac		15	15	dur		10	10																									0
Razortail	100	1		1		39	32	zvb	Sharkskin Belt			5	5000								thorns/lvl	8			dex		15	15	pierce		33	33	ac		15	15	ac%		120	150	dmg-max		10	10																									0
Gloomstrap	100	1		1		45	36	zmb	Mesh Belt			5	5000								light		-3	-3	mana%		15	15	manasteal		5	5	ac%		120	150	vit		15	15	regen-mana		15	15	cast2		10	10																					0
Snowclash	100	1		1		49	42	ztb	Battle Belt			5	5000								gethit-skill	59	5	0	res-cold-max		5	5	dmg-cold	75	39	63	ac%		130	170	res-cold		20	35	coldskill		1	2																									0
Thudergod's Vigor	100	1		1		55	47	zhb	War Belt			5	5000								gethit-skill	121	5	17	ltng-min		1	1	ltng-max		150	250	res-ltng-max		5	5	abs-ltng		5	10	ac%		160	200	vit		10	15	str		10	15	skill	34	2	2	skill	35	2	2	ltngskill		1	1					0
Elite Uniques																																																																					0
Harlequin Crest	100	1		1		69	62	uap	Shako			3	5000	cgrn	cgrn						allskills		2	2	hp/lvl	8			mana/lvl	8			mag%		25	50	enr		2	2	str		2	2	dex		2	2	vit		2	2	red-dmg%		3	5													0
Veil of Steel	100	1		1		77	73	uhm	Spired Helm			3	5000	lgry	lgry		invvos				res-all		25	40	ac%		160	220	str		15	15	vit		15	15	dmg%		30	60	dur		20	20	ac		140	140	*mana		-30	-30	allskills		1	1													0
The Gladiator's Bane	100	1		1		85	85	utu	Wire Fleece			3	5000	lgry	lgry						ac%		150	200	red-mag		15	25	red-dmg		15	25	thorns		320	640	res-pois-len		50	50	dur		103	103	balance2		30	30	oskill	critical strike	2	2	nofreeze		1	1													0
Arkaine's Valor	100	1		1		85	85	upl	Balrog Skin			3	5000	lred			arkaines				ac%		150	180	balance2		40	40	allskills		1	2	red-dmg		10	15	vit/lvl		4	8																													0
Blackoak Shield	100	1		1		67	61	uml	Luna			3	5000				invsmlu				dex/lvl	4			ac%		160	200	abs-cold/lvl	1			gethit-skill	446	8	15	dur		45	45	hp/lvl	10			block2		50	50	nofreeze		1	1	pierce-cold		10	15													0
Stormshield	100	1		1		77	73	uit	Monarch			3	5000				invkitu				ac/lvl	30			red-dmg%		20	30	str		20	30	indestruct		1	1	block2		35	35	res-ltng		25	25	block		25	25	res-cold		40	50	light-thorns		150	250													0
