skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Golem Mastery	79	nec	golem mastery																																											golem_mastery																																																															1	0		none												SC	SC	xx																										12	20					Clay Golem								1						0	8	0	0	1						1												10	% HP bonus per level	10	% HP bonus per level	0	min velocity increase	40	max velocity increase	25	to hit	25	to hit/lvl					1								8															mag																					512	20000
Raise Skeletal Mage	80	nec	raise skeletal mage	15	31																					armorclass	(lvl+skill('Skeleton Mastery'.lvl))*par5	passive_ltng_mastery	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par3) +stat('passive_ltng_mastery'.accr)	passive_fire_mastery	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par3) +stat('passive_fire_mastery'.accr)	passive_cold_mastery	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par3) +stat('passive_cold_mastery'.accr)	passive_pois_mastery	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par3) +stat('passive_pois_mastery'.accr)													maxhp	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par1) * 256	velocitypercent	10 + "min(skill('Skeleton Mastery'.lvl), 25)"									necromage	skeletonmage	"min((blvl < 4) ?blvl:(2+blvl/3), 8) + stat('extra_skele_mage'.accr) + stat('grims_extra_skele_mage'.accr)"	S1	NecromageMissile	skill('Skeleton Mastery'.lvl) + ((lvl < 4)?0:((lvl-2)/2))											1	necromancer_golem_cast														20	31					corpseexplosion												1	0		none												SC	SC	xx								1		2	1															12	20					Raise Skeleton														1	8	8	1	1										(lvl < 4) ? 0 : (par2 * (lvl - 3))	hp % adjustment									14	hp%/lvl					10	ac/lvl					12	damage synergy	1								8															mag																					512	20000
Confuse	81	nec	confuse		61																2		confuse	ln34	par1 + lvl / 3	attackrate	par5 + par6 * blvl + skill('CurMas'.blvl) * 5																																																		necromancer_curse_cast														18	30					curseconfuse		cursecast										1	0		none												SC	SC	xx					4												1						necromancer_curse_cast			18	20					Terror														1	6	26	1	1																		6	radius	1	radius per level	175	duration	25	additional duration/level	10	% ias	10	% ias per level					1								8															mag																					640	40000
Life Tap	82	nec	life tap		30																3		lifetap	ln34	par1 + lvl / 3 + skill('CurMas'.blvl) / 3													damagedinmelee	5	damagedbymissile	5																																				necromancer_curse_cast									steallife					18	30					cursereversevampire		cursecast										1	4		none												SC	SC	S2					4												1						necromancer_curse_cast			12	20					AmpDmg														1	6	16	1	1										par5 + par6 * blvl + skill('CurMas'.blvl) / 2	hp % returned							6	radius	1	radius per level	175	duration	35	additional duration/level	8	% damage healed	2	% additional heal/level					1								8															mag																					512	20000
Desecrate	83	nec	desecrate		161												poisonexplosioncloud																																												desecrate	50	DD														necromancer_poison_cast															101					poisonexplosioncloud	corpseexplosion	greenlightmissile										1	0		none												SC	SC	xx																	1						necromancer_poison_cast			12	20					Corpse Explosion								1						1	7	24	1	1										5	# summons per cast							10	Max summons													20	damage synergy	1								4															pois	3	1	3	12	21	21	4	1	3	12	21	21	(skill('Poison Dagger'.blvl)+skill('Poison Nova'.blvl))*par8	75	0	0	0				512	20000
Bone Spear	84	nec	bone spear		8												bonespear	bonespear																																																											necromancer_bone_cast														19	17					bonespear	bonespear	bonecast										1	6		none												SC	SC	xx																	1						necromancer_bone_cast			18	20					Teeth								1						1	6	28	1	1										"max(1, 1 + ((lvl<15)?0:1) + ((lvl<25)?0:1) + stat('extra_bonespears'.accr))"	# missiles																			10	Bone Armor Synergy	10	damage synergy	1								8															mag	12	7	9	12	26	46	18	7	9	13	28	50	(skill('Teeth'.blvl)+skill('Bone Spirit'.blvl))*par8+skill('Bone Armor'.blvl)*par7+stat('passive_mag_mastery'.accr)								640	40000
BloodGolem	85	nec	bloodgolem		56																																	domeleedamage	23	damagedinmelee	26	damagedbymissile	26					velocitypercent	skill('Golem Mastery'.dm34)	tohit	skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)	damagepercent	par4 * (lvl - 1) +  (skill('FireGolem'.blvl)+skill('Clay Golem'.blvl)+skill('IronGolem'.blvl)+skill('Golem Mastery'.blvl))*par3	armorclass	skill('IronGolem'.blvl)*skill('IronGolem'.par8)					BloodGolem	golem	1 + (skill('Golem Mastery'.blvl) / 5) + stat('extra_golem'.accr)	S1														necromancer_golem_cast																																1	5		none												SC	SC	xx					4																					18	20					Clay Golem														1	7	25	1	1	1									par7*lvl + skill('Golem Mastery'.ln12)	hp % adjustment	ln12 * 256	life per hit					8	life per hit	1	life per hit per level	20	damage synergy	75	%additional golem damage per level	0	% damage on golem xfered to caster	25	% caster healing xfered to golem	15	hp per level	5	blood golem life synergy	1								8																																				640	40000
Attract	86	nec	attract	18	59																2		attract	ln34	par1 + lvl / 3	armorclass	-(ln56 + skill('CurMas'.blvl)*par8)																																																		necromancer_curse_cast														18	30					curseattract		cursecast										1	0		none												SC	SC	xx					4			1									1									24	20					Confuse														1	8	10	0	1																		4	radius	0	radius per level	200	duration	60	additional duration/level	120	- defense	10	-defense per level			5	-defense synergy	1								8															mag																					768	60000
Decrepify	87	nec	decrepify		30																3		decrepify	ln34	par1 + lvl / 3 + skill('CurMas'.blvl) / 3	velocitypercent	-(par5 + blvl)	attackrate	-"max(par6 + lvl + skill('CurMas'.blvl),60)"	item_fastercastrate	-"max(par6 + lvl + skill('CurMas'.blvl),60)"	item_leap_speed	-(par5 + blvl)																																												necromancer_curse_cast														18	30					cursedecrepify		cursecast										1	9		none												SC	SC	S2					4												1						necromancer_curse_cast			24	20					Weaken														1	6	44	1	1																		6	radius	1	radius per level	100	duration	10	additional duration/level	10	movespeed	9	attack/cast speed					1								8															mag																					768	60000
Bone Prison	88	nec	bone prison	19	62																																																							bonewall	none		NU														necromancer_bone_cast														22																		1	10		none												SC	SC	xx					4			1									1				1		necromancer_bone_cast			24	20					Bone Wall	Bone Spear						125							1	8	27	-1	1										(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Wall'.blvl))*par8)	hp % adjustment							25	% additional HP per level	600	MAX duration											8	life synergy	1								8															mag																					768	60000
Raise Skeleton Archer	89	nec	raise skeleton archer	15	31																					armorclass	(lvl+skill('Skeleton Mastery'.lvl))*par5	tohit	(lvl+skill('Skeleton Mastery'.lvl))*par4																			maxhp	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par1) * 256	velocitypercent	10 + "min(skill('Skeleton Mastery'.lvl), 25)"									necroarcher	skeletonarcher	"min((blvl < 4) ?blvl:(2+blvl/3), 8) + stat('extra_skele_archer'.accr)"	S1	Skeleton Archer Bow	lvl											1	necromancer_golem_cast														20	31					corpseexplosion												1	0		none												SC	SC	xx								1		2	1															24	20					Raise Skeletal Mage														1	8	8	1	1										(lvl < 4) ? 0 : (par2 * (lvl - 3))	hp % adjustment									2	hp%/lvl			90	to hit/lvl	10	ac/lvl					8	damage synergy	1								8	128	15	4	8	18	28	38	20	4	8	18	28	38	(skill('Skeleton Mastery'.blvl) * par8)																						512	20000
IronGolem	90	nec	irongolem	20	57																	thorns				item_attackertakesdamage	ln12	fade	16																			velocitypercent	skill('Golem Mastery'.dm34)	tohit	skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)	armorclass	lvl*par8	damagepercent	(skill('FireGolem'.blvl)+skill('Clay Golem'.blvl)+skill('BloodGolem'.blvl)+skill('Golem Mastery'.blvl))*par6					IronGolem	golem	1 + (skill('Golem Mastery'.blvl) / 5) + stat('extra_golem'.accr)	S1													1	necromancer_golem_cast														23																		1	5		none												SC	SC	xx					4			1						1												24	20					BloodGolem														1	8	35	0	1	1									par7*lvl + skill('Golem Mastery'.ln12) 	hp % adjustment							150	% thorns damage back (level 2)	15	% thorns damage back per level							20	damage synergy	5	hp per level	35	iron golem armor synergy	1								8															mag																					768	60000
LowRes	91	nec	lower resist		30																3		lowerresist	ln34	par1 + lvl / 3 + skill('CurMas'.blvl) / 3	fireresist	-"min(1 * (par5 + par6*lvl + skill('CurMas'.blvl) / 2),65)"	lightresist	-"min(1 * (par5 + par6*lvl + skill('CurMas'.blvl) / 2),65)"	coldresist	-"min(1 * (par5 + par6*lvl + skill('CurMas'.blvl) / 2),65)"	poisonresist	-"min(1 * (par5 + par6*lvl + skill('CurMas'.blvl) / 2),65)"																																												necromancer_curse_cast														18	30					curselowerresist		cursecast										1	8		none												SC	SC	S2					4												1						necromancer_curse_cast			30	20					Weaken														1	6	40	1	1																		10	radius	1	radius per level	200	duration	25	additional duration/level	10	min % resist lower	1	-% per level					1								8															mag																					896	80000
Poison Nova	92	nec	poison nova		22												poisonnova																																																												necromancer_poison_cast															25					poisonnova												1	3		none												SC	SC	xx																	1						necromancer_poison_cast			30	20					Desecrate								1						1	8	20	0	1																																15	damage synergy	1								4															pois	16	5	7	10	12	12	29	5	7	10	12	12	(skill('Poison Dagger'.blvl)+skill('Desecrate'.blvl))*par8	50							896	80000
Bone Spirit	93	nec	bone spirit		10												bonespirit	bonespirit																																																											necromancer_bone_cast															18					bonespirit												1	7		none												SC	SC	xx																	1			4			necromancer_bone_cast			30	20					Bone Spear								1						1	7	24	1	1										0	+ dmg%																			10	Bone Armor synergy	10	damage synergy	1								8															mag	20	16	17	18	30	60	30	17	18	19	31	62	(skill('Teeth'.blvl)+skill('Bone Spear'.blvl))*par8+skill('Bone Armor'.blvl)*par7+stat('passive_mag_mastery'.accr)								896	80000
FireGolem	94	nec	firegolem		56																					fireresist	100 - dm12	item_absorbfire_percent	dm12	firemindam	edmn	firemaxdam	edmx															velocitypercent	skill('Golem Mastery'.dm34)	tohit	skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)	armorclass	skill('IronGolem'.blvl)*skill('IronGolem'.par8)	passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr) / 2			FireGolem	golem	1 + (skill('Golem Mastery'.blvl) / 5) + stat('extra_golem'.accr)	S1	Holy Fire	ln56												necromancer_golem_cast																																1	6		none												SC	SC	xx					4												1									30	20					IronGolem														1	7	28	1	1	1									par7*lvl + skill('Golem Mastery'.ln12) 	hp % adjustment							0	min % fire absorbtion	0	max % fire absorbtion	100	% damage increase	35	% damage increase per level	5	Holy Fire Aura level	12	Plus Holy Fire Aura level	15	hp per level	20	fire golem damage synergy	1								8															fire	10	1	2	3	4	5	27	2	3	4	5	6	(skill('Clay Golem'.blvl)+skill('BloodGolem'.blvl)+skill('IronGolem'.blvl)+skill('Golem Mastery'.blvl))*par8								896	80000
Revive	95	nec	revive	21	58																					damagepercent	lvl*par2 + (skill('Desecrate'.blvl))*par8	passive_ltng_mastery	lvl*par6 + (skill('Desecrate'.blvl))*par8 / 2	passive_fire_mastery	lvl*par6 + (skill('Desecrate'.blvl))*par8 / 2	passive_cold_mastery	lvl*par6 + (skill('Desecrate'.blvl))*par8 / 2	passive_pois_mastery	lvl*par6 + (skill('Desecrate'.blvl))*par8 / 2	item_allskills	blvl	domeleedamage	32									velocitypercent	par5												revive	3 + blvl / 4 + stat('extra_revives'.accr)	NU													1	necromancer_revive_cast								necromancer_revive_target						24						revivemedium	revivesmall	revivelarge										1	6		none												SC	SC	xx					4			1		3	1															30	20					Raise Skeleton Archer														1	8	45	0	1										par1	hp % adjustment	ln34	duration					0	additional hp percent	30	dmg% per level	7500	Duration	250	additional duration/level	50	Velocity bonus for revived	20	ele dmg% per level	5		20	damage synergy	1								8															mag																					896	80000
Sacrifice	96	pal	sacrifice	29	64																																																																								paladin_sacrifice		1													34					blood1				3	blood1-bigblood1							1	7		h2h		mele										A1	A1	xx	2		1	1		1	1								1											1	20													1						0	8	0	0	1										ln12+skill('Redemption'.blvl)*par8+skill('Fanaticism'.blvl)*par7	damage %	"max(par3 - lvl, 3)"	damage self %					180	Percent damage	25	percent damage per level	9	percent damage to self							20	damage synergy	20	damage synergy	1	20	16						8	128																																			256	5000
Smite	97	pal	smite		150																																																																								weapon_2hs_large_1		1																														1	9		h2h	4	shld										S1	S1	xx				1		1	1								1											1	20													1						1	8	2	0											ln34	damage %	"min(250,ln12)"	stunlen					15	Stun Length	5	additional frames/level	20	Percent bonus damage	20	percent damage per level							10	damage synergy	1				8				8																																				256	5000
Might	98	pal	might		65																73731	might	might		ln12	damagepercent	edmn / 3																					damagepercent	edmn																																																											1	1	9		none														xx																										1	20																			1	8	0	0	1	1	1		50														20	radius	3	additional radius per level													1								8																40	25	25	25	25	25															256	5000
Prayer	99	pal	prayer		65																73731	prayer	prayer		ln12	hitpoints	edns	item_healafterhit	1 + lvl / 2																	passive_regen		hpregen	blvl																																																												1	7		none														xx																										1	20																			0	8	0	0	1	1	1		50														20	radius	3	additional radius per level													1								8																4	2	2	4	4	2															256	5000
Resist Fire	100	pal	resist fire		65																73731	resistfire	resistfire		ln12	fireresist	"min(edmn, 100)"	maxfireresist	skill('Resist Fire'.blvl)/2	passive_fire_mastery	edmx															passive_resistfire		maxfireresist	skill('Resist Fire'.blvl)/2																																																											1	1	8		none														xx																										1	20																			0	8	0	0	1	1	1		50														20	radius	2	additional radius per level	25	min % resist	100	max % resist									1								8															fire	25	4	3	2	1	1	5	1	1	1	1	1									256	5000
Holy Bolt	101	pal	holy bolt		8												holybolt																																																												paladin_holybolt_cast											cast_undead				17					holybolt						ln12 * ((100 + skill('Prayer'.blvl) * par7) / 2) / 100	min heal	ln34 * ((100 + skill('Prayer'.blvl) * par7) / 2) / 100	max heal			1	7		none												SC	SC	xx												1	1				1						paladin_holybolt_cast	cast_undead		1	20													1						1	6	8	1	1										"max(1, 1 + ((lvl<15)?0:1) + ((lvl<25)?0:1) + stat('extra_holybolts'.accr))"	# bolts fired							2	min hitpoints healed	1	hitpoints healed per level	4	max hitpoints healed	1	hitpoints healed per level					5	heal synergy	8	damage synergy	1								8															mag	3	1	3	9	15	21	5	2	5	11	17	23	(skill('Holy Light'.blvl)+skill('Holy Nova'.blvl)+skill('Fist of the Heavens'.blvl))*par8+stat('passive_mag_mastery'.accr)								256	5000
Holy Fire	102	pal	holy fire		66																42883	holyfire			ln12																							firemindam	edns*par5/256	firemaxdam	edxs*par5/256																																																										1	0		none														xx																										6	20					Might														0	8	0	0	1	1	1		25														9	radius	0	additional radius per level					4	damage to attack multiplier			20	damage synergy	20	damage synergy	1				16385				6															fire	4	1	3	10	19	23	9	1	3	10	19	23	(skill('Resist Fire'.blvl)+skill('Salvation'.blvl)+skill('Blessed Aim'.blvl))*par8								384	10000
Thorns	103	pal	thorns		65																73731	thorns	thorns		ln12	item_attackertakesdamage	edmx																																																																																		1	9		none														xx																										6	20																			0	8	0	0	1	1	1		50														20	radius	2	additional radius per level	250	% damage bounced back	50	% additional bounce back/level							18	damage synergy	1								8																						3	1	2	8	16	24	(skill('Defiance'.blvl)+skill('Might'.blvl))*par8								384	10000
Defiance	104	pal	defiance		65																73731	defiance	defiance		ln12	skill_armor_percent	edmx	normal_damage_reduction	blvl/2	damageresist	blvl/2															passive_dmgresist																																																														1	1	4		none														xx																										6	20					Prayer														0	8	0	0	1	1	1		50														20	radius	2	additional radius per level	70	% additional AC	10	% additional AC/level	12	min armor	400	max armor					1								8																						70	10	10	10	5	5									384	10000
Resist Cold	105	pal	resist cold		65																73731	resistcold	resistcold		ln12	coldresist	"min(edmn, 100)"	maxcoldresist	skill('Resist Cold'.blvl)/2	passive_cold_mastery	edmx															passive_resistcold		maxcoldresist	skill('Resist Cold'.blvl)/2																																																											1	1	6		none														xx																										1	20																			0	8	0	0	1	1	1		50														20	radius	2	additional radius per level	25	min % resist	100	max % resist	0	?	0	?					1								8															cold	25	4	3	2	1	1	5	1	1	1	1	1									384	10000
Zeal	106	pal	zeal	37	13																																																																							1	paladin_zeal														53	21																	1	2		h2h		mele										A1	A1	xx						1	1								1											6	20					Sacrifice								1						1	8	2	0											"min((par5 + lvl -1), par6)"	max targets	((lvl < 5) ? 0 : ((lvl-4) * par4) )+skill('Sacrifice'.blvl)*par8	damage %							100	% frame rollback	0	% damage percent	20	damage % per level	3	Targets	3	Max targets			20	damage synergy	1	35	25						8	128																																			384	10000
Charge	107	pal	charge	31	67																																																																							1	paladin_charge														25	37																	1	2		none		mele										SQ	A1	xx	4	8	1			1	1								1											12	20					Smite							"min(stat('pvp_cd'.accr), 4)"	1						1	8	9	0											ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8	damage %						elem conversion%	150	percent increase in velocity	0	?	100	plus % damage	30	plus % dam per level	2	Trails	0	?			25	damage synergy	1	75	15						8	128																																			512	20000
Blessed Aim	108	pal	blessed aim		65																73731	blessedaim	blessedaim		ln12	item_tohit_percent	ln34																			penetrate		item_tohit_percent	skill('Blessed Aim'.blvl) * par8																																																											1	1	6		none														xx																										12	20					Might														0	8	0	0	1	1	1		50														20	radius	2	additional radius per level	80	% attack# bonus	20	% additional attack# bonus	0	?	0	?			10	passive to hit bonus	1								8																																				512	20000
Cleansing	109	pal	cleansing		65																73731	cleansing	cleansing		ln12	item_poisonlengthresist	100-edmn																			passive_cleanse		curse_resistance	blvl	item_poisonlengthresist	blvl																																																										1	3		none														xx																										12	20					Prayer														0	8	0	0	1	1	1		50														20	radius	2	additional radius per level	30	min % reduction	90	max % reduction	0	?	0	?					1								8															mag	25	2	2	2	1	1															512	20000
Resist Lightning	110	pal	resist lightning		65																73731	resistlight	resistlight		ln12	lightresist	"min(edmn, 100)"	maxlightresist	skill('Resist Lightning'.blvl)/2	passive_ltng_mastery	edmx															passive_resistltng		maxlightresist	skill('Resist Lightning'.blvl)/2																																																											1	1	6		none														xx																										1	20																			0	8	0	0	1	1	1		50														20	radius	2	additional radius per level	25	min % resist	100	max % resist	0	?	0	?					1								8															ltng	25	4	3	2	1	1	5	1	1	1	1	1									512	20000
Vengeance	111	pal	vengeance	23	174															vengeance_hit					7																																																							1																													1	3		h2h		mele										A1	A1	xx				1		1	1								1											18	20					Zeal								1						1	6	16	1	1										ln12+((skill('Holy Fire'.blvl)+skill('Holy Freeze'.blvl)+skill('Holy Shock'.blvl))*par8+skill('Conviction'.blvl)*par7)	fire damage%	ln12+((skill('Holy Fire'.blvl)+skill('Holy Freeze'.blvl)+skill('Holy Shock'.blvl))*par8+skill('Conviction'.blvl)*par7)	cold damage%	ln12+((skill('Holy Fire'.blvl)+skill('Holy Freeze'.blvl)+skill('Holy Shock'.blvl))*par8+skill('Conviction'.blvl)*par7)	ltng damage%			5	percent damage	3	percent damage per level	0	?	0	?	0	?	0	?	2	damage synergy	2	damage synergy	1	120	18						8	128															12	4	6	10	12	14	16	6	8	12	14	16		80							640	40000
Blessed Hammer	112	pal	blessed hammer		73												blessedhammer																																																												paladin_holybolt_cast															35					blessedhammer												1	2		none												SC	SC	xx																	1						paladin_holybolt_cast			18	20					Holy Light								1						1	6	20	1	1																		4	Concentration influence in 8ths	0	?	0	?	0	?	0	?	0	?			12	damage synergy	1								8															mag	12	8	10	12	13	14	16	8	10	12	13	14	(skill('Vigor'.blvl)+skill('Blessed Aim'.blvl))*par8+stat('passive_mag_mastery'.accr)								640	40000
Concentration	113	pal	concentration		65																73731	concentration	concentration		ln12	damagepercent	ln34	skill_concentration	par5	item_tohit_percent	toht																																																																													1	1	6		none														xx																										18	20					Blessed Aim														0	8	0	0	1	1	1		50														20	radius	3	additional radius per level	60	% additional damage	12	% additional damage/level	20	percent chance that attack will not be interrupted	0	?					1	25	5						8																																				640	40000
Holy Freeze	114	pal	holy freeze		81																303747	holywind	holywindcold		ln12	velocitypercent	-dm34	attackrate	-dm34	other_animrate	-dm34																	coldmindam	edns*par5/256	coldmaxdam	edxs*par5/256																																																										1	8		none														xx																										18	20					Holy Fire														0	8	0	0	1	1	1		25														12	radius	0	additional radius per level	25	min% slowing	60	max% slowing	10	damage to attack multiplier	0	?	12	damage synergy	12	damage synergy	1				16385				7															cold	4	1	1	2	4	5	6	1	2	3	4	5	(skill('Resist Cold'.blvl)+skill('Salvation'.blvl)+skill('Blessed Aim'.blvl))*par8								640	40000
Vigor	115	pal	vigor		65																73731	stamina	stamina		ln12	staminarecoverybonus	ln34	skill_staminapercent	ln34	velocitypercent	dm56															passive_runwalk		item_fastermovevelocity	blvl/2																																																											1	1	1		none														xx																										18	20					Defiance														0	8	0	0	1	1	1		50														26	radius	3	additional radius per level	50	% faster stamina recovery and max stamina	25	% additional stamina recovery and max stamina	7	min % speed increase	50	max % speed increase					1								8																																				640	40000
Conversion	116	pal	conversion	32	79																		conversion	ln12																																																								1																													1	0		h2h		mele										A1	A1	xx				1		1	1								1											18	20					Charge								1						1	8	4	0	1										ln34	chance to convert							200	duration of conversion (frames)	0	additional frames/level	40	min % chance convert	2	% chance convert per level	0	?	0	?					1								8	128																																			640	40000
Holy Shield	117	pal	holy shield	36	18																	holyshield		ln12		toblock	dm56		ln34+skill('Defiance'.blvl)*par8																																																paladin_holyshield																																1	3		none		shld										SC	SC	xx															1											24	20					Conversion														1	8	35	0	1	1									ln34+skill('Defiance'.blvl)*par8	ac bonus to shield							3000	duration of shield	250	duration/level	25	AC bonus	10	AC bonus per level	5	min % ToBlock Add	40	max % ToBlockAdd	4	damage synergy	15	armor synergy	1								8		3	1	2	3	4	5	6	1	2	3	4	5	(skill('Smite'.blvl)+skill('Defiance'.blvl))*par7	mag																					768	60000
Holy Shock	118	pal	holy shock		66																42883	holyshock			ln12																							lightmindam	edns*par5/256	lightmaxdam	edxs*par5/256																																																										1	4		none														xx																										24	20					Holy Freeze														0	8	0	0	1	1	1		25														12	radius	0	additional radius per level					12	damage to attack multiplier	0	?	8	damage synergy	8	damage synergy	1				16385				7															ltng	2						20	6	8	10	13	16	(skill('Resist Lightning'.blvl)+skill('Salvation'.blvl)+skill('Blessed Aim'.blvl))*par8								768	60000
Sanctuary	119	pal	sanctuary		66																42883	sanctuary			ln12	item_undeaddamage_percent	ln34	item_undead_tohit	ln56	skill_bypass_undead	1																	magicmindam	edns*par7/256	magicmaxdam	edxs*par7/256																																					cast_undead									sanctuarybolt												1	0		none														xx																	1									24	20					Thorns	Holy Freeze													0	8	0	0	1	1	1		25														14	radius	0	additional radius per level	0	% damage to undead	0	% damage per level	0	att vs. undead	0	att vs. undead per level	6	damage to attack multiplier	8	damage synergy	1				3		157		7															mag	8	4	5	6	8	12	16	4	5	6	8	12	(skill('Might'.blvl)+skill('Conversion'.blvl)+skill('Blessed Aim'.blvl))*par8+stat('passive_mag_mastery'.accr)								768	60000
Meditation	120	pal	meditation		65																73729	meditation	meditation		ln12	manarecoverybonus	ln34																			passive_meditate		item_manaafterkill	blvl / 2																																																												1	7		none														xx																										24	20					Cleansing														0	8	0	0	1	1	1		50														20	radius	2	additional radius per level	150	% boost to mana recovery	12	% additional boost/level	5	base passive mana recovery	5	passive mana recovery per level					1								8															mag																					768	60000
Fist of the Heavens	121	pal	fist of the heavens		80												fistoftheheavensdelay			handofgod	42371				20																																																				paladin_handofgod_cast															36					fistoftheheavensdelay												1	7		none												SC	SC	xx					4	1		1							1		1			4						24	20					Blessed Hammer								1						1	6	40	1	1										0	min heal	0	max heal			ln12	# bolts	4	holy bolts to release	0	holy bolts per level	0	min hitpoints healed	0	hitpoints healed per level	0	max hitpoints healed	0	hitpoints healed per level			12	damage synergy	1								8															ltng	100	2	5	8	11	14	150	5	11	17	23	29	(skill('Holy Light'.blvl)+skill('Holy Nova'.blvl)+skill('Holy Bolt'.blvl))*par8								768	60000
Fanaticism	122	pal	fanaticism		65																73731	fanaticism	fanaticism		ln12	attackrate	dm34	item_tohit_percent	toht	damagepercent	ln56/2																	damagepercent	ln56																																																											1	1	8		none														S1																										30	20					Concentration														0	8	0	0	1	1	1		50														20	radius	3	additional radius per level	10	min% boost	40	max% boost	50	% damage boost	18	% damage bonus per level					1	40	5						8																																				896	80000
Conviction	123	pal	conviction		66																42371	conviction	conviction		ln12	skill_armor_percent	-dm56	fireresist	"-min(ln34,150)"	coldresist	"-min(ln34,150)"	lightresist	"-min(ln34,150)"																																																																												1	6		none		mele												xx	5		1																							30	20					Sanctuary														0	8	0	0	1	1	1		25														26	radius	1	additional radius per level	12	% resist reduction	2	% resist reduction per level	10	min % AC reduction	75	max % AC reduction					1								8																																				896	80000
Redemption	124	pal	redemption		82																4354	redemption			ln12																																																																								redemption												1	0		none														xx																										30	20					Vigor														0	8	0	0	1	1	1		50						dm34	chance to redeem	5 + (lvl * 2)	hp gain	ln56	mana gain			16	radius	0	additional radius per level	10	min % chance redeem	100	max % chance redeem	25	HP and mana gained	5	HP and mana gained/level					1								8																																				896	80000
