skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
life tap	1	3	2	1	0	32	skillname82	skillsd82	skillld82	skillan82	StrSkill3																	1					12	StrSkill20		"min(ln34, 500)"		19	StrSkill18		par1 + lvl / 3 + skill('CurMas'.blvl) / 3																	2	StrLifeSteal	StrSkill23	par5 + par6 * blvl + skill('CurMas'.blvl) / 2		18	StrLifeTapInc														40	Sksyn	skillname82	2		63	CurseMastery	StrIncLLplev	1		42	CurseMastery	StrIncRadiusplev	0	6																					0
poison explosion	2	3	1	2	0	34	skillname83	skillsd83	skillld83	skillan83	StrSkill3	5																1					14																																													40	Sksyn	skillname83	2		63	skillname73	Poisdplev	par8		63	skillname92	Poisdplev	par8																						0
bone spear	2	4	2	2	0	36	skillname84	skillsd84	skillld84	skillan84	StrSkill3	5																1					11					10					5	StrSkillBoneSpears		"max(1, 1 + ((lvl<15)?0:1) + ((lvl<25)?0:1) + stat('extra_bonespears'.accr))"												18	StrAddBoneSpear																			40	Sksyn	skillname84	2		63	skillname67	Magdplev	par8		63	skillname93	Magdplev	par8		63	skillname68	Magdplev	par7																	0
bloodgolem	3	4	2	3	0	38	skillname85	skillsd85	skillld85	skillan85	StrSkill3																	1					39					6	StrLGOH		ln12		13			par7*lvl + skill('Golem Mastery'.ln12)												5	StrSkill21		120+skill('IronGolem'.lvl)*skill('IronGolem'.par8)		5	StrSkill22		60 + skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)												40	Sksyn	skillname85	2		63	skillname79	Damplev	par3		63	skillname75	Damplev	par3		67	skillname75	AttRateplev	skill('Clay Golem'.par8)		63	skillname90	Damplev	par3		67	skillname90	Defplev	skill('IronGolem'.par8)		63	skillname94	Damplev	par3		0
attract	1	5	3	1	0	40	skillname86	skillsd86	skillxld86	skillan86	StrSkill3																	1					31	StrSkill20		ln34		19	StrSkill18		par1 + lvl / 3		5	StrSkill25		-(ln56 + skill('CurMas'.blvl)*par8)																																40	Sksyn	skillname86	2		67	CurseMastery	StrRedEneDefplev	par8																											0
decrepify	1	5	1	1	0	42	skillname87	skillsd87	skillld87	skillan87	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		par1 + lvl / 3 + skill('CurMas'.blvl) / 3		2	StrAttCastRate	StrSkill23	-"min(par6 + lvl + skill('CurMas'.blvl),60)"		2	StrPhysDmgResist	StrSkill23	-10		2	StrMoveSpeed	StrSkill23	-(par5 + lvl)																						40	Sksyn	skillname87	2		63	CurseMastery	StrAttCastRateplev	1		42	CurseMastery	StrIncRadiusplev	0	6																					0
bone prison	2	5	3	2	0	44	skillname88	skillsd88	skillld88	skillan88	StrSkill3																	1					12	StrSkill20		par2		13			(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Wall'.blvl))*par8)																																					40	Sksyn	skillname88	2		63	skillname68	Hpplev	par8		63	skillname78	Hpplev	par8																						0
summon resist	3	0	0	3	0	26	skillname89	skillsd89	skillld89	skillan89	StrSkill3																	2	StrSkill54	StrSkill23	dm12																																																																																		0
irongolem	3	5	2	3	0	48	skillname90	skillsd90	skillld90	skillan90	StrSkill3																	1					4	StrSkill31		lvl*par8		7	StrSkill55		ln12		18	StrSkill112				13			par7*lvl + skill('Golem Mastery'.ln12) + skill('BloodGolem'.blvl)*skill('BloodGolem'.par8)							5	StrSkill21		140+lvl*par8		5	StrSkill22		80 + skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)		39										40	Sksyn	skillname90	2		63	skillname79	Damplev	par6		67	skillname75	AttRateplev	skill('Clay Golem'.par8)		63	skillname75	Damplev	par6		63	skillname85	Damplev	par6		63	skillname94	Damplev	par6							0
lower resist	1	6	2	1	0	50	skillname91	skillsd91	skillld91	skillan91	StrSkill3																	1										12	StrSkill20		ln34		19	StrSkill18		par1 + lvl / 3 + skill('CurMas'.blvl) / 3		3	StrSkill54	StrSkill23	-"min(1 * (par5 + par6*lvl + skill('CurMas'.blvl) / 2),65)"																											40	Sksyn	skillname91	2		63	CurseMastery	StrLowResRedplev	1		42	CurseMastery	StrIncRadiusplev	0	6																					0
poison nova	2	6	1	2	0	52	skillname92	skillsd92	skillld92	skillan92	StrSkill3	5																1					14																																													40	Sksyn	skillname92	2		63	skillname73	Poisdplev	par8		63	Desecrate	Poisdplev	par8																						0
bone spirit	2	6	2	2	0	54	skillname93	skillsd93	skillld93	skillan93	StrSkill3	5																1					10																																													40	Sksyn	skillname93	2		63	skillname67	Magdplev	par8		63	skillname84	Magdplev	par8		63	skillname68	Magdplev	par7																	0
firegolem	3	6	2	3	0	56	skillname94	skillsd94	skillld94	skillan94	StrSkill3																	1					43	StrHolyFireDmg		(sklvl('Holy Fire Fire Golem'.ln56.edns))+(sklvl('Holy Fire Fire golem'.ln56.edns)*stat('passive_fire_mastery'.accr))/100	(sklvl('Holy Fire Fire Golem'.ln56.edxs))+(sklvl('Holy Fire Fire Golem'.ln56.edxs)*stat('passive_fire_mastery'.accr))/100	43	StrFireDamage		enms	exms	3	StrSkill40	StrSkill103	dm12		13			par7*lvl + skill('Golem Mastery'.ln12) + skill('BloodGolem'.blvl)*skill('BloodGolem'.par8)							5	StrSkill21		200+skill('IronGolem'.lvl)*skill('IronGolem'.par8)		5	StrSkill22		120 + skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)												40	Sksyn	skillname94	2		63	skillname79	Damplev	par8		67	skillname75	AttRateplev	skill('Clay Golem'.par8)		63	skillname75	Damplev	par8		63	skillname85	Damplev	par8		63	skillname90	Damplev	par8							0
revive	3	6	3	3	0	58	skillname95	skillsd95	skillld95	skillan95	StrSkill3																	1					12	StrSkill20		ln34	 	2	StrSkill4	StrSkill23	lvl*par2 + skill('Desecrate'.blvl)*par8		2	StrElemDmg	StrSkill23	lvl*par6 + (skill('Desecrate'.blvl))*par8 / 2												5	StrSkill97		3 + blvl / 4 + stat('extra_revives'.accr)		4	StrMonSkillLevels		blvl												40	Sksyn	skillname95	2		63	Desecrate	Damplev	par8		63	Desecrate	ElemDampLev	par8 / 2																						0
sacrifice	1	1	1	1	0	0	skillname96	skillsd96	skillld96	skillan96	StrSkill3	7	ln12+skill('Redemption'.blvl)*par8+skill('Fanaticism'.blvl)*par7											1				1					2	StrSkill4	StrSkill23	ln12+skill('Redemption'.blvl)*par8+skill('Fanaticism'.blvl)*par7		2	StrSkill10	StrSkill23	toht																	68	StrSkill23	StrSkill47	"max(par3 - lvl + 1, 3)"																	40	Sksyn	skillname96	2		63	skillname124	Damplev	par8		63	skillname122	Damplev	par7																						0
smite	1	1	3	1	0	2	skillname97	skillsd97	skillld97	skillan97	StrSkill3	10																1					12	StrSkill48		"min(250,ln12)"		2	StrSkill4	StrSkill23	ln34																																																																								0
might	2	1	1	2	0	4	skillname98	skillsd98	skillld98	skillan98	StrSkill3																	2	FanYDam	StrSkill23	edmn		2	PartDam	StrSkill23	edmn/3		19	StrSkill18		ln12																																																																								0
prayer	3	1	1	3	0	6	skillname99	skillsd99	skillld99	skillan99	StrSkill3																	1					4	StrSkill50		edmn		6	StrLGOH		1 + lvl / 2		19	StrSkill18		ln12												4	StrPassiveHPRegen		blvl		18	StrGainRegenPassiveBonus																																																	0
resist fire	3	1	3	3	0	8	skillname100	skillsd100	skillld100	skillan100	StrSkill3																	2	StrSkill51	StrSkill23	"min(edmn, 100)"		2	StrSkill5	StrSkill23	edmx		19	StrSkill18		ln12																	2	StrToMaxFireRes	StrSkill23	blvl / 2		18	StrMaxFireResPassive																																																	0
holy bolt	1	1	2	1	0	10	skillname101	skillsd101	skillld101	skillan101	StrSkill3	5																1					47	StrSkill50		ln12 * ((100 + skill('Prayer'.blvl) * par7) / 2) / 100	ln34 * ((100 + skill('Prayer'.blvl) * par7) / 2) / 100	10																																								40	Sksyn	skillname101	2		63	HolyLight	Magdplev	par8		63	skillname121	Magdplev	par8		63	HolyNova	Magdplev	par8		63	skillname99	Healplev	par7												0
holy fire	2	2	2	2	0	12	skillname102	skillsd102	skillld102	skillan102	StrSkill3	5																1					10					38	StrSkill5	strEskilllighttoattack	enms*par5/256	exms*par5/256	19	StrSkill18		ln12																																40	Sksyn	skillname102	2		63	skillname100	Firedplev	par8		63	skillname125	Firedplev	par7		63	skillname108	Firedplev	par7																	0
thorns	2	2	3	2	0	14	skillname103	skillsd103	skillld103	skillan103	StrSkill3																	5	ThornsATD		edmx		19	StrSkill18		ln12																																										40	Sksyn	skillname103	2		63	skillname98	Damplev	par8		63	skillname104	Damplev	par8																						0
defiance	3	2	2	3	0	16	skillname104	skillsd104	skillld104	skillan104	StrSkill3																	2	StrSkill31	StrSkill23	ln34		19	StrSkill18		ln12																						2	StrActiveDR	StrSkill23	blvl / 2		18	StrGainDRPassiveBonus																																																	0
resist cold	3	2	3	3	0	18	skillname105	skillsd105	skillld105	skillan105	StrSkill3																	2	StrSkill52	StrSkill23	"min(edmn, 100)"		2	StrSkill6	StrSkill23	edmx		19	StrSkill18		ln12																	2	StrToMaxColdRes	StrSkill23	blvl / 2		18	StrMaxColdResPassive																																																	0
zeal	1	2	1	1	0	20	skillname106	skillsd106	skillld106	skillan106	StrSkill3	7	((lvl < 5) ? 0 : ((lvl-4) * par4) )+skill('Sacrifice'.blvl)*par8											2				1					7	StrSkill11		"min((par5 + lvl -1), par6)"		2	StrSkill4	StrSkill23	((lvl < 5) ? 0 : ((lvl-4) * par4) )+skill('Sacrifice'.blvl)*par8		2	StrSkill30	StrSkill23	toht																																40	Sksyn	skillname106	2		63	skillname96	Damplev	par8																											0
charge	1	3	3	1	0	22	skillname107	skillsd107	skillld107	skillan107	StrSkill3	7	ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8											2				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8																																					40	Sksyn	skillname107	2		63	skillname115	Damplev	par8		63	skillname98	Damplev	par8																						0
blessed aim	2	3	1	2	0	24	skillname108	skillsd108	skillld108	skillan108	StrSkill3																	2	StrSkill22	StrSkill23	ln34		19	StrSkill18		ln12																						2	StrSkill22	StrSkill23	blvl * par8		18	StrPassiveBlessAim																																																	0
cleansing	3	3	1	3	0	38	skillname109	skillsd109	skillld109	skillan109	StrSkill3																	3	StrSkill85	StrSkill23	edmn		3	StrPoisDurRed	StrSkill23	edmn		19	StrSkill18		ln12																	3	StrSkill85	StrSkill23	blvl 		3	StrPoisDurRed	StrSkill23	blvl 		18	StrDurRedPassive																																												0
resist lightning	3	3	3	3	0	28	skillname110	skillsd110	skillld110	skillan110	StrSkill3																	2	StrSkill53	StrSkill23	"min(edmn, 100)"		2	StrSkill7	StrSkill23	edmx		19	StrSkill18		ln12																	2	StrToMaxLtngRes	StrSkill23	blvl / 2		18	StrMaxLtngResPassive																																																	0
vengeance	1	4	1	1	0	40	skillname111	skillsd111	skillld111	skillan111	StrSkill3	11												1				1					43	AddLtngDmg		edns * (100 + stat('passive_ltng_mastery'.accr))/100	edxs * (100 + stat('passive_ltng_mastery'.accr))/100	43	AddColdDmg		edns * (100 + stat('passive_cold_mastery'.accr))/100	edxs * (100 + stat('passive_cold_mastery'.accr))/100	43	AddFireDmg		edns * (100 + stat('passive_fire_mastery'.accr))/100	edxs * (100 + stat('passive_fire_mastery'.accr))/100	2	StrElemDmg	StrSkill23	ln12+((skill('Holy Fire'.blvl)+skill('Holy Freeze'.blvl)+skill('Holy Shock'.blvl))*par8+skill('Conviction'.blvl)*par7)		2	StrSkill22	StrSkill23	toht		2	StrVengChain	StrSkill23	clc4																	40	Sksyn	skillname111	2		63	skillname102	ElemDampLev	par8		63	skillname114	ElemDampLev	par8		63	skillname118	ElemDampLev	par8		63	skillname123	ElemDampLev	par7												0
blessed hammer	1	4	2	1	0	32	skillname112	skillsd112	skillld112	skillan112	StrSkill3	12																1					48																																													40	Sksyn	skillname112	2		63	skillname108	Magdplev	par8		63	skillname115	Magdplev	par8																						0
concentration	2	4	1	2	0	34	skillname113	skillsd113	skillld113	skillan113	StrSkill3																	1					2	StrSkill4	StrSkill23	ln34		3	StrSkill76	StrSkill23	par5		2	StrSkill22	StrSkill23	toht		19	StrSkill18		ln12																																																														0
holy freeze	2	4	2	2	0	36	skillname114	skillsd114	skillld114	skillan114	StrSkill3	5																3	StrSkill77	StrSkill23	dm34		10					38	StrSkill6	strEskilllighttoattack	enms*par5/256	exms*par5/256	19	StrSkill18		ln12																																40	Sksyn	skillname114	2		63	skillname105	Colddplev	par8		63	skillname125	Colddplev	par7		63	skillname108	Colddplev	par7																	0
vigor	3	4	2	3	0	26	skillname115	skillsd115	skillld115	skillan115	StrSkill3																	2	StrSkill69	StrSkill23	ln34		2	StrSkill71	StrSkill23	ln34		2	StrSkill70	StrSkill23	dm56		19	StrSkill18		ln12												2	StrFRW	StrSkill23	blvl/2		18	StrPassiveMoveSpeed																																																	0
conversion	1	4	3	1	0	30	skillname116	skillsd116	skillld116	skillan116	StrSkill3	5												1				1					12	StrSkill20		ln12		3	StrSkill99	StrSkill23	ln34																																																																								0
holy shield	1	5	3	1	0	42	skillname117	skillsd117	skillld117	skillan117	StrSkill3																	1					2	StrSkill110	StrSkill23	dm56		2	StrSkill31	StrSkill23	ln34+skill('Defiance'.blvl)*par8		12	StrSkill20		ln12		49	ItemStats1o																													40	Sksyn	skillname117	2		63	skillname97	Damplev	par7		63	skillname104	Damplev	par7		63	skillname104	Defplev	par8																	0
holy shock	2	5	2	2	0	44	skillname118	skillsd118	skillxld118	skillan118	StrSkill3	5																10					38	StrSkill7	strEskilllighttoattack	1	exms*par5/256	19	StrSkill18		ln12																																					40	Sksyn	skillname118	2		63	skillname110	Ltngdplev	par8		63	skillname125	Ltngdplev	par7		63	skillname108	Ltngdplev	par7																	0
sanctuary	2	5	3	2	0	46	skillname119	skillsd119	skillld119	skillan119	StrSkill3	5																10					67	ModStr4f	StrSkill23	ln34		19	StrSkill18		ln12		38	StrSkill39	strEskilllighttoattack	edns*par7/256	edxs*par7/256																															40	Sksyn	skillname119	2		63	skillname98	Magdplev	par8		63	skillname108	Magdplev	par8		63	skillname116	Magdplev	par8																	0
meditation	3	5	1	3	0	48	skillname120	skillsd120	skillld120	skillan120	StrSkill3																	2	StrSkill88	StrSkill23	ln34		19	StrSkill18		ln12																						6	StrMPK		blvl / 2		18	StrMedMPK																																																	0
fist of the heavens	1	5	2	1	0	50	skillname121	skillsd121	skillld121	skillan121	StrSkill3	5													fistoftheheavensbolt			1					10					50	StrSkill91																																							40	Sksyn	skillname121	2		63	skillname101	Damplev	par8		63	HolyLight	Damplev	par8		63	HolyNova	Damplev	par8																	0
fanaticism	2	6	1	2	0	52	skillname122	skillxsd122	skillxld122	skillan122	StrSkill3																	1					2	StrSkill22	StrSkill23	toht		2	StrSkill106	StrSkill23	dm34		2	FanYDam	StrSkill23	ln56		2	PartDam	StrSkill23	ln56/2		19	StrSkill18		ln12																																																									0
conviction	2	6	3	2	0	56	skillname123	skillxsd123	skillld123	skillan123	StrSkill3																	3	StrSkill90	StrSkill23	"-min(ln34,150)"		2	StrSkill21	StrSkill23	-dm56		19	StrSkill18		ln12																																																																								0
redemption	3	6	2	3	0	54	skillname124	skillsd124	skillxld124	skillan124	StrSkill3																	3	StrManaHeal	StrSkill108	ln56		3	StrLifeHeal	StrSkill108	5 + (lvl * 2)		3	StrSkill109	StrSkill23	dm34		19	StrSkill18		ln12																																																																			0
salvation	3	6	3	3	0	58	skillname125	skillsd125	skillld125	skillan125	StrSkill3																	2	StrSkill54	StrSkill23	"min(edmn, 75)"		2	StrElemDmg	StrSkill23	edmx / 2		19	StrSkill18		ln12																																																																								0
bash	1	1	1	1	0	0	skillname126	skillsd126	skillld126	skillan126	StrSkill3	7	clc1	ln34										1				1					4	StrSkill4		ln34		2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																																40	Sksyn	skillname126	2		63	skillname139	Damplev	par8		63	skillname144	Damplev	10		63	skillname144	AttRateplev	par7																	0
sword mastery	2	0	0	2	0	2	skillname127	skillsd127	skillld127	skillan127	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
general mastery	2	1	1	2	0	4	skillname128	skillsd128	skillld128	skillan128	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
mace mastery	2	0	0	2	0	6	skillname129	skillsd129	skillld129	skillan129	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
howl	3	1	1	3	0	8	skillname130	skillsd130	skillld130	skillan130	StrSkill3																	1					12	StrSkill59		ln56		19	StrSkill58		ln34																																																																								0
find potion	3	1	3	3	0	10	skillname131	skillsd131	skillld131	skillan131	StrSkill3																	1					7	StrSkill24		dm12																																																																													0
leap	1	3	1	1	0	12	skillname132	skillsd132	skillld132	skillan132	StrSkill3																	1					19	StrLeapDist		dm12																						19	StrLeapKBDist		"min(par3 + blvl * par4, 15)"																																																				0
double swing	1	1	2	1	0	14	skillname133	skillsd133	skillld133	skillan133	StrSkill3	19	clc1											2				5	StrSkill3		usmc/128		2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1																																					40	Sksyn	skillname133	2		63	skillname147	Damplev	par8		63	skillname139	Damplev	par8																						0
pole arm and spear mastery	2	2	2	2	0	16	skillname134	skillsd134	skillld134	skillan134	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
throwing mastery	2	1	3	2	0	18	skillname135	skillsd135	skillld135	skillan135	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm		3	StrPierce	StrSkill23	edln																																																																			0
spear mastery	2	0	0	2	0	20	skillname136	skillsd136	skillld136	skillan136	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
taunt	3	4	2	3	0	22	skillname137	skillsd137	skillld137	skillan137	StrSkill3																	1					3	StrSkill57	StrSkill23	ln12		3	StrSkill38	StrSkill23	ln34																	12	StrSkill20		50 + (25*blvl / 4)		18	TauntDuration																																																	0
shout	3	2	1	3	0	24	skillname138	skillsd138	skillld138	skillan138	StrSkill3																	1					12	StrSkill20		len		2	StrSkill21	StrSkill23	ln12																																																																								0
stun	1	2	1	1	0	26	skillname139	skillsd139	skillld139	skillan139	StrSkill3	7												1				1					12	StrSkill20		"min(250,edln)"		3	StrSkill22	StrSkill23	toht		73	WeapDamsk		1	4	9																														40	Sksyn	skillname139	2		63	skillname144	AttRateplev	par7																											0
double throw	1	3	3	1	0	28	skillname140	skillsd140	skillld140	skillan140	StrSkill3	13												2				5	StrSkill3		usmc/128		8					7	StrBounces		"min(par5 + lvl / par6, 5)"		2	StrSkill4	StrSkill23	ln12 + skill('Double Swing'.blvl)*par8																																40	Sksyn	skillname140	2		63	skillname133	Damplev	par8																											0
combat reflexes	2	3	1	2	0	30	skillname141	skillsd141	skillld141	skillan141	StrSkill3																	2	StrSkill71	StrSkill23	ln12		3	StrSkill100	StrFlatLife	(par5 + par6*lvl)																						2	StrFHR	StrSkill23	blvl * 2		18	CombatReflexesFHR																																																	0
find item	3	3	3	3	0	32	skillname142	skillsd142	skillld142	skillan142	StrSkill3																	1					7	StrSkill24		dm12 + skill('Find Potion'.blvl)*par8																																										40	Sksyn	skillname142	2		63	skillname131	Findplev	par8																											0
leap attack	1	5	1	1	0	34	skillname143	skillsd143	skillld143	skillan143	StrSkill3	7	clc1															1					2	StrSkill4	StrSkill23	clc1																																										40	Sksyn	skillname143	2		63	skillname132	Damplev	par8		63	skillname126	Damplev	par8																						0
concentrate	1	3	2	1	0	36	skillname144	skillsd144	skillld144	skillan144	StrSkill3	7	clc1											1				1					2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht		2	StrSkill31	StrSkill23	ln34												2	StrSkill39	StrSkill23	clc4		18	StrConcMagConvert														40	Sksyn	skillname144	2		63	skillname126	Magdplev	2		63	skillname126	Damplev	par8		63	skillname155	Damplev	par7																	0
iron skin	2	4	3	2	0	38	skillname145	skillsd145	skillld145	skillan145	StrSkill3																	6	StrSkill23		ln12																											3	StrPhysDmgRed	StrSkill23	blvl / 2		18	StrIncPhysDmgRed																																																	0
battle cry	3	6	2	3	0	40	skillname146	skillsd146	skillld146	skillan146	StrSkill3																	1					3	StrPhysDmgResist	StrSkill23	-(par5+(lvl<22)?lvl:(22+((lvl-22)/2)))		3	StrSkill21	StrSkill23	-"min(ln34, 30)"		12	StrSkill20		ln12																																																																			0
frenzy	1	2	3	1	0	42	skillname147	skillsd147	skillld147	skillan147	StrSkill3	19	clc1											2				52	IncSplashRadius	StrSkill23	15*(par4-par3)/100+par3	dm34	52	StrSkill89	StrSkill23	15*(edln-32)/100+32	edln	52	StrSkill106	StrSkill23	15*(par6-par5)/100+par5	dm56	2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1		12	StrSkill20		375		5	StrSkill3		usmc/128																	40	Sksyn	skillname147	2		63	skillname133	Damplev	par8		63	skillname139	Damplev	par8																						0
increased speed	2	5	1	2	0	44	skillname148	skillsd148	skillld148	skillan148	StrSkill3																	2	StrSkill89	StrSkill23	dm12																											2	StrSkill106	StrSkill23	blvl * 2		18	IncreasedSpeedIAS																																																	0
battle orders	3	5	1	3	0	46	skillname149	skillsd149	skillld149	skillan149	StrSkill3																	1					3	StrSkill101	StrFlatMana	ln34 / 2		3	StrSkill100	StrFlatLife	ln34							12	StrSkill20		len																																																														0
grim ward	3	5	3	3	0	48	skillname150	skillsd150	skillld150	skillan150	StrSkill3																	1					19	StrSkill18		ln12		12	StrSkill20		ln34		2	StrSkill4	StrSkill23	ln56		6	StrAttackRating		toht																																																														0
whirlwind	1	6	2	1	0	50	skillname151	skillsd151	skillld151	skillan151	StrSkill3	1	clc1											1				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1		2	StrIncVelocity	StrSkill23	"min(ln56, 65)"																																																																			0
berserk	1	5	2	1	0	52	skillname152	skillsd152	skillld152	skillan152	StrSkill3	19	clc1											2				1					3	StrPhysDmgResist	StrSkill23	-"min(ln34, 20)"		2	StrPhysPierce	StrSkill23	"min(ln56,30)"		2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht							12	StrSkill20		13																	40	Sksyn	skillname152	2		63	skillname137	Damplev	par8		63	skillname141	Damplev	par8																						0
natural resistance	2	6	3	2	0	54	skillname153	skillsd153	skillld153	skillan153	StrSkill3																	2	StrSkill90	StrSkill23	dm12																																																																																		0
war cry	3	2	2	3	0	56	skillname154	skillsd154	skillld154	skillan154	StrSkill3	5																1					19	StrSkill18		7 + lvl / 7		9					10																																			40	Sksyn	skillname154	2		63	skillname130	Damplev	par8		63	skillname146	Damplev	par8		63	skillname137	Damplev	par7		63	skillname138	Damplev	par7		63	skillname155	Damplev	par7		63	skillname149	Damplev	par7		0
battle command	3	6	1	3	0	58	skillname155	skillsd155	skillld155	skillan155	StrSkill3																	1					12	StrSkill20		len							2	StrSkill4	StrSkill23	ln34												5	StrBonusSkills		1+blvl/10		18	StrBCSkills																																																	0
scroll of identify	0	0	0	4	1	14	skillname217	skillsd217	skillld217	skillan217																		53	isc																																																																																				0
book of identify	0	0	0	4	0	14	skillname218	skillsd218	skillld218	skillan218																		55	ibk																																																																																				0
scroll of townportal	0	0	0	4	2	18	skillname219	skillsd219	skillld219	skillan219																		54	tsc																																																																																				0
book of townportal	0	0	0	4	0	18	skillname220	skillsd220	skillld220	skillan220																		56	tbk																																																																																				0
raven	1	1	2	1	0	0	Skillname222	Skillsd222	Skillld222	Skillan222	StrSkill3																	1					5	ESkillHawk		"min(lvl+2,par2)"		7	StrSkill11		ln56		9					38	StrSkill6		edmn + stat('eaglehorn_raven'.accr)	edmx + stat('eaglehorn_raven'.accr)						18	StrExtraRaven																			40	Sksyn	Skillname222	2		63	Skillname228	Damplev	par8		63	Skillname238	Damplev	par8		63	Skillname248	Damplev	par8																	0
plague poppy	1	1	3	1	0	2	Skillname223	Skillsd223	Skillld223	Skillan223	StrSkill3																	1					3	StrEnemyPoisonRes	StrSkill23	-ln56		14					13			(lvl-1)*par3		18	ExtraPlaguePoppy																													40	Sksyn	Skillname223	2		63	Skillname232	Poisdplev	par8		63	Skillname242	Poisdplev	par8		63	Skillname239	Poisdplev	par8																	0
wearwolf	2	1	1	2	0	20	Skillname224	Skillsd224	Skillld224	Skillan224	StrSkill3																	2	StrSkill106	StrSkill23	dm34		2	StrSkill4	StrSkill23	ln56		4	StrPhysDmgRed		1 + lvl / 3		4	StrMagDmgRed		1 + lvl / 3												2	StrSkill10	StrSkill23	skill('Shape Shifting'.ln12)							2	StrSkill42	StrSkill23	skill('Shape Shifting'.ln34)		1					40	Sksyn	Skillname224	2		18	Skillname225																													0
shape shifting	2	1	2	2	0	52	Skillname225	Skillsd225	Skillld225	Skillan225	StrSkill3																	2	StrSkill10	StrSkill23	ln12		2	StrSkill100	StrSkill23	ln34																																																																													0
firestorm	3	1	1	3	0	32	Skillname226	Skillsd226	Skillld226	Skillan226	StrSkill3	9																27																														1																				40	Sksyn	Skillname226	2		63	Skillname230	Firedplev	par8		63	Skillname235	Firedplev	par8																						0
oak sage	1	6	1	1	0	16	Skillname227	Skillsd227	Skillld227	Skillan227	StrSkill3																	1					19	StrSkill18		ln78		3	StrSkill100	StrFlatLife	edmx		4	StrSkill50		(stat('pvp_cd'.accr)>0)?0:(edmn+(skill('Cycle of Life'.blvl)+skill('Vines'.blvl)) * 12)		13			(lvl-1)*(par1+1)/100																											40	Sksyn	Skillname227	2		42	Skillname232	StrHPRegenPerLevel	12	0	42	Skillname242	StrHPRegenPerLevel	12	0																					0
