description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
map-play-mag-gold	1	1		100	16	361	546		2	t2me	"wss,qty=1"						useitem			100	corrupt	100		83	83	corruptnum	100		1001	1001	map-play-mag-gold%	100		75	75	map-glob-monsterrarity	100		15	20																																																																0
map-glob-density	1	1		100	16	361	637		2	t2me	"wss,qty=1"						useitem			100	corrupt	100		84	84	corruptnum	100		1001	1001	map-glob-density	100		80	100																																																																					0
map-glob-arealevel	1	1		100	16	361	728		2	t2me	"wss,qty=1"						useitem			100	corrupt	100		85	85	corruptnum	100		1001	1001	map-glob-arealevel	100		1	1	map-glob-density	100		20	25																																																																0
map-glob-monsterrarity	1	1		100	16	361	819		2	t2me	"wss,qty=1"						useitem			100	corrupt	100		86	86	corruptnum	100		1001	1001	map-glob-monsterrarity	100		40	50																																																																					0
map-play-res-all-max	1	1		100	16	361	910		2	t2me	"wss,qty=1"						useitem			100	corrupt	100		87	87	corruptnum	100		1001	1001	map-play-res-all-max	100		-4	-3	map-glob-density	100		40	50	map-glob-monsterrarity	100		15	20																																																											0
map-mon-dropjewelry	1	1		100	16	361	1000		2	t2me	"wss,qty=1"						useitem			100	corrupt	100		88	88	corruptnum	100		1001	1001	map-mon-dropjewelry	100		1	1																																																																					0
T3																																																																																																								0
Random rare				100	16	361	100		2	t3me	"wss,qty=1"						"usetype,rar"			100																																																																																				0
Random down tier				100	16	361	200		2	t3me	"wss,qty=1"						"t2me,rar"			100	corrupt	100		1	1	corruptnum	100		1001	1001																																																																										0
Random up tier				100	16	361	300		2	t3me	"wss,qty=1"						"t3me,rar"			100	corrupt	100		1	1	corruptnum	100		1001	1001																																																																										0
MOD																																																																																																								0
map-mon-deadlystrike	1	1		100	16	361	91		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		78	78	corruptnum	100		1001	1001	map-mon-deadlystrike	100		15	20	map-glob-density	100		50	60	map-play-addxp	100		8	10																																																											0
map-mon-nofreeze-hp%	1	1		100	16	361	182		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		79	79	corruptnum	100		1001	1001	map-mon-nofreeze-hp%	100		25	35	map-glob-density	100		50	60	map-play-addxp	100		10	12																																																											0
map-play-swing-cast	1	1		100	16	361	273		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		80	80	corruptnum	100		1001	1001	map-play-swing-cast	100		-35	-25	map-glob-density	100		50	60	map-glob-monsterrarity	100		20	25																																																											0
map-play-damageresist	1	1		100	16	361	364		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		81	81	corruptnum	100		1001	1001	map-play-damageresist	100		-20	-15	map-glob-density	100		50	60	map-glob-monsterrarity	100		20	25																																																											0
map-play-speed-all	1	1		100	16	361	455		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		82	82	corruptnum	100		1001	1001	map-play-speed-all	100		40	50	map-glob-monsterrarity	100		20	25																																																																0
map-play-mag-gold	1	1		100	16	361	546		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		83	83	corruptnum	100		1001	1001	map-play-mag-gold%	100		100	100	map-glob-monsterrarity	100		20	25																																																																0
map-glob-density	1	1		100	16	361	637		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		84	84	corruptnum	100		1001	1001	map-glob-density	100		100	120																																																																					0
map-glob-arealevel	1	1		100	16	361	728		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		85	85	corruptnum	100		1001	1001	map-glob-arealevel	100		1	1	map-glob-density	100		25	30																																																																0
map-glob-monsterrarity	1	1		100	16	361	819		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		86	86	corruptnum	100		1001	1001	map-glob-monsterrarity	100		50	60																																																																					0
map-play-res-all-max	1	1		100	16	361	910		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		87	87	corruptnum	100		1001	1001	map-play-res-all-max	100		-5	-4	map-glob-density	100		50	60	map-glob-monsterrarity	100		20	25																																																											0
map-mon-dropjewelry	1	1		100	16	361	1000		2	t3me	"wss,qty=1"						useitem			100	corrupt	100		88	88	corruptnum	100		1001	1001	map-mon-dropjewelry	100		1	1																																																																					0
STACKING	0																																																																																																							0
pop wss	1			100					1	"wss,qty=1"							wss			100																																																																																				0
pop dcbl	1			100					1	"dcbl,qty=1"							dcbl			100																																																																																				0
pop dcho	1			100					1	"dcho,qty=1"							dcho			100																																																																																				0
pop dcso	1			100					1	"dcso,qty=1"							dcso			100																																																																																				0
pop pk1	1			100					1	"pk1,qty=1"							pk1			100																																																																																				0
pop pk2	1			100					1	"pk2,qty=1"							pk2			100																																																																																				0
pop pk3	1			100					1	"pk3,qty=1"							pk3			100																																																																																				0
pop dhn	1			100					1	"dhn,qty=1"							dhn			100																																																																																				0
pop bey	1			100					1	"bey,qty=1"							bey			100																																																																																				0
pop mbr	1			100					1	"mbr,qty=1"							mbr			100																																																																																				0
pop tes	1			100					1	"tes,qty=1"							tes			100																																																																																				0
pop ceh	1			100					1	"ceh,qty=1"							ceh			100																																																																																				0
pop bet	1			100					1	"bet,qty=1"							bet			100																																																																																				0
pop fed	1			100					1	"fed,qty=1"							fed			100																																																																																				0
pop imma	1			100					1	"imma,qty=1"							imma			100																																																																																				0
pop imrn	1			100					1	"imrn,qty=1"							imrn			100																																																																																				0
pop imra	1			100					1	"imra,qty=1"							imra			100																																																																																				0
pop rera	1			100					1	"rera,qty=1"							rera			100																																																																																				0
pop scou	1			100					1	"scou,qty=1"							scou			100																																																																																				0
pop upma	1			100					1	"upma,qty=1"							upma			100																																																																																				0
pop upmp	1			100					1	"upmp,qty=1"							upmp			100																																																																																				0
pop lbox	1			100					1	"lbox,qty=1"							lbox			100																																																																																				0
pop gzvs	1			100					1	"gzvs,qty=1"							gzv			100																																																																																				0
pop gpvs	1			100					1	"gpvs,qty=1"							gpv			100																																																																																				0
pop glys	1			100					1	"glys,qty=1"							gly			100																																																																																				0
pop gpys	1			100					1	"gpys,qty=1"							gpy			100																																																																																				0
pop glbs	1			100					1	"glbs,qty=1"							glb			100																																																																																				0
pop gpbs	1			100					1	"gpbs,qty=1"							gpb			100																																																																																				0
pop glgs	1			100					1	"glgs,qty=1"							glg			100																																																																																				0
pop gpgs	1			100					1	"gpgs,qty=1"							gpg			100																																																																																				0
pop glrs	1			100					1	"glrs,qty=1"							glr			100																																																																																				0
pop gprs	1			100					1	"gprs,qty=1"							gpr			100																																																																																				0
pop glws	1			100					1	"glws,qty=1"							glw			100																																																																																				0
pop gpws	1			100					1	"gpws,qty=1"							gpw			100																																																																																				0
pop skls	1			100					1	"skls,qty=1"							skl			100																																																																																				0
pop skzs	1			100					1	"skzs,qty=1"							skz			100																																																																																				0
pop gzvs	1			100					1	gzv							gzvs			100																																																																																				0
pop gpvs	1			100					1	gpv							gpvs			100																																																																																				0
pop glys	1			100					1	gly							glys			100																																																																																				0
pop gpys	1			100					1	gpy							gpys			100																																																																																				0
pop glbs	1			100					1	glb							glbs			100																																																																																				0
pop gpbs	1			100					1	gpb							gpbs			100																																																																																				0
pop glgs	1			100					1	glg							glgs			100																																																																																				0
pop gpgs	1			100					1	gpg							gpgs			100																																																																																				0
pop glrs	1			100					1	glr							glrs			100																																																																																				0
pop gprs	1			100					1	gpr							gprs			100																																																																																				0
pop glws	1			100					1	glw							glws			100																																																																																				0
pop gpws	1			100					1	gpw							gpws			100																																																																																				0
pop skls	1			100					1	skl							skls			100																																																																																				0
pop skzs	1			100					1	skz							skzs			100																																																																																				0
pop std	1			100					1	"std,qty=1"							std			100																																																																																				0
pop scrb	1			100					1	"scrb,qty=1"							scrb			100																																																																																				0
pop jewf	1			100					1	"jewf,qty=1"							jewf			100																																																																																				0
pop rtmo	1			100					1	"rtmo,qty=1"							rtmo			100																																																																																				0
pop rtmf	1			100					1	"rtmf,qty=1"							rtmf			100																																																																																				0
pop rtmv	1			100					1	"rtmv,qty=1"							rtmv			100																																																																																				0
pop cwss	1			100					1	"cwss,qty=1"							cwss			100																																																																																				0
pop lpp	1			100					1	"lpp,qty=1"							lpp			100																																																																																				0
pop ubaa	1			100					1	"ubaa,qty=1"							ubaa			100																																																																																				0
pop ubab	1			100					1	"ubab,qty=1"							ubab			100																																																																																				0
pop ubac	1			100					1	"ubac,qty=1"							ubac			100																																																																																				0
r01s	1			100					1	"r01s,qty=1"							r01			100																																																																																				0
r02s	1			100					1	"r02s,qty=1"							r02			100																																																																																				0
r03s	1			100					1	"r03s,qty=1"							r03			100																																																																																				0
r04s	1			100					1	"r04s,qty=1"							r04			100																																																																																				0
r05s	1			100					1	"r05s,qty=1"							r05			100																																																																																				0
r06s	1			100					1	"r06s,qty=1"							r06			100																																																																																				0
r07s	1			100					1	"r07s,qty=1"							r07			100																																																																																				0
r08s	1			100					1	"r08s,qty=1"							r08			100																																																																																				0
r09s	1			100					1	"r09s,qty=1"							r09			100																																																																																				0
r10s	1			100					1	"r10s,qty=1"							r10			100																																																																																				0
r11s	1			100					1	"r11s,qty=1"							r11			100																																																																																				0
r12s	1			100					1	"r12s,qty=1"							r12			100																																																																																				0
r13s	1			100					1	"r13s,qty=1"							r13			100																																																																																				0
r14s	1			100					1	"r14s,qty=1"							r14			100																																																																																				0
r15s	1			100					1	"r15s,qty=1"							r15			100																																																																																				0
r16s	1			100					1	"r16s,qty=1"							r16			100																																																																																				0
r17s	1			100					1	"r17s,qty=1"							r17			100																																																																																				0
r18s	1			100					1	"r18s,qty=1"							r18			100																																																																																				0
r19s	1			100					1	"r19s,qty=1"							r19			100																																																																																				0
r20s	1			100					1	"r20s,qty=1"							r20			100																																																																																				0
r21s	1			100					1	"r21s,qty=1"							r21			100																																																																																				0
r22s	1			100					1	"r22s,qty=1"							r22			100																																																																																				0
r23s	1			100					1	"r23s,qty=1"							r23			100																																																																																				0
r24s	1			100					1	"r24s,qty=1"							r24			100																																																																																				0
r25s	1			100					1	"r25s,qty=1"							r25			100																																																																																				0
r26s	1			100					1	"r26s,qty=1"							r26			100																																																																																				0
r27s	1			100					1	"r27s,qty=1"							r27			100																																																																																				0
r28s	1			100					1	"r28s,qty=1"							r28			100																																																																																				0
r29s	1			100					1	"r29s,qty=1"							r29			100																																																																																				0
r30s	1			100					1	"r30s,qty=1"							r30			100																																																																																				0
r31s	1			100					1	"r31s,qty=1"							r31			100																																																																																				0
r32s	1			100					1	"r32s,qty=1"							r32			100																																																																																				0
r33s	1			100					1	"r33s,qty=1"							r33			100																																																																																				0
r01	1			100					1	r01							r01s			100																																																																																				0
r02	1			100					1	r02							r02s			100																																																																																				0
r03	1			100					1	r03							r03s			100																																																																																				0
r04	1			100					1	r04							r04s			100																																																																																				0
r05	1			100					1	r05							r05s			100																																																																																				0
r06	1			100					1	r06							r06s			100																																																																																				0
r07	1			100					1	r07							r07s			100																																																																																				0
r08	1			100					1	r08							r08s			100																																																																																				0
r09	1			100					1	r09							r09s			100																																																																																				0
r10	1			100					1	r10							r10s			100																																																																																				0
r11	1			100					1	r11							r11s			100																																																																																				0
r12	1			100					1	r12							r12s			100																																																																																				0
r13	1			100					1	r13							r13s			100																																																																																				0
r14	1			100					1	r14							r14s			100																																																																																				0
r15	1			100					1	r15							r15s			100																																																																																				0
r16	1			100					1	r16							r16s			100																																																																																				0
r17	1			100					1	r17							r17s			100																																																																																				0
r18	1			100					1	r18							r18s			100																																																																																				0
r19	1			100					1	r19							r19s			100																																																																																				0
r20	1			100					1	r20							r20s			100																																																																																				0
r21	1			100					1	r21							r21s			100																																																																																				0
r22	1			100					1	r22							r22s			100																																																																																				0
r23	1			100					1	r23							r23s			100																																																																																				0
r24	1			100					1	r24							r24s			100																																																																																				0
r25	1			100					1	r25							r25s			100																																																																																				0
r26	1			100					1	r26							r26s			100																																																																																				0
r27	1			100					1	r27							r27s			100																																																																																				0
r28	1			100					1	r28							r28s			100																																																																																				0
r29	1			100					1	r29							r29s			100																																																																																				0
r30	1			100					1	r30							r30s			100																																																																																				0
r31	1			100					1	r31							r31s			100																																																																																				0
r32	1			100					1	r32							r32s			100																																																																																				0
r33	1			100					1	r33							r33s			100																																																																																				0
	0																																																																																																							0
CORRUPT ORB ITEM ROLLING	0																																																																																																							0
	0																																																																																																							0
PHASE 1	0																																																																																																							0
add corrupt factor to weapon	1	2		100	18	361	0		2	"weap,nos"	"wss,qty=1"						useitem			100	corruptnum	100		1	1000																					"wss,qty=1"																																																										0
add corrupt factor to armour	1	2		100	18	361	0		2	"armo,nos"	"wss,qty=1"						useitem			100	corruptnum	100		1	1000																					"wss,qty=1"																																																										0
add corrupt factor to belt (rathma belt)	1	2		100	18	361	0		2	"belt"	"wss,qty=1"						useitem			100	corruptnum	100		1	1000																					"wss,qty=1"																																																										0
add corrupt factor to amulet	1	2		100	18	361	0		2	"amul"	"wss,qty=1"						useitem			100	corruptnum	100		1	1000																					"wss,qty=1"																																																										0
add corrupt factor to ring	1	2		100	18	361	0		2	"ring"	"wss,qty=1"						useitem			100	corruptnum	100		1	1000																					"wss,qty=1"																																																										0
add corrupt factor to arrow	1	2		100	18	361	0		2	"misl"	"wss,qty=1"						useitem			100	corruptnum	100		1	1000																					"wss,qty=1"																																																										0
add corrupt factor to anni	1	2		100	18	361	0		2	"Annihilus"	"cwss,qty=1"						useitem			100	corruptnum	100		1	1000																					"cwss,qty=1"																																																										0
	0																																																																																																							0
PHASE 1 (normal)	0																																																																																																							0
weapon -> destroyed (rare) (25%)	1	3		100	16	361	500		2	"weap,nos,nor"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
weapon -> + sockets  (25%)	1	1		100	16	361	1000		2	"weap,nos,nor"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	6	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
armour -> destroyed (rare) (25%)	1	3		100	16	361	500		2	"armo,nos,nor"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
armour -> + sockets  (25%)	1	1		100	16	361	1000		2	"armo,nos,nor"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	6	corruptnum	100		1001	1001																																																																					0
PHASE 1 (superior)	0																																																																																																							0
weapon -> destroyed (rare) (25%)	1	3		100	16	361	500		2	"weap,nos,hiq"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
weapon -> + sockets  (25%)	1	1		100	16	361	1000		2	"weap,nos,hiq"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	6	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
armour -> destroyed (rare) (25%)	1	3		100	16	361	500		2	"armo,nos,hiq"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
armour -> + sockets  (25%)	1	1		100	16	361	1000		2	"armo,nos,hiq"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	6	corruptnum	100		1001	1001																																																																					0
PHASE 1 (low qual)	0																																																																																																							0
weapon -> destroyed (rare) (25%)	1	3		100	16	361	500		2	"weap,nos,low"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
weapon -> + sockets  (25%)	1	1		100	16	361	1000		2	"weap,nos,low"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	6	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
armour -> destroyed (rare) (25%)	1	3		100	16	361	500		2	"armo,nos,low"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
armour -> + sockets  (25%)	1	1		100	16	361	1000		2	"armo,nos,low"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	6	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
PHASE 2 (outcomes)	0																																																																																																							0
	0																																																																																																							0
weapon -> destroyed (rare) (25%)	1	3		100	16	361	250		2	"weap,nos"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
weapon -> + sockets  (6%) --- bows	1	1		100	16	361	310		2	"bow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	1	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (5.5%)	1	1		100	16	361	365		2	"bow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		2	2	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (4.5%)	1	1		100	16	361	410		2	"bow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		3	3	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (4%)	1	1		100	16	361	450		2	"bow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		4	4	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (3%)	1	1		100	16	361	480		2	"bow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		5	5	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (2%)	1	1		100	16	361	500		2	"bow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		6	6	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (6%) --- xbows	1	1		100	16	361	310		2	"xbow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	1	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (5.5%)	1	1		100	16	361	365		2	"xbow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		2	2	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (4.5%)	1	1		100	16	361	410		2	"xbow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		3	3	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (4%)	1	1		100	16	361	450		2	"xbow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		4	4	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (3%)	1	1		100	16	361	480		2	"xbow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		5	5	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (2%)	1	1		100	16	361	500		2	"xbow,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		6	6	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (6%) --- 2handers	1	1		100	16	361	310		2	"2han,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	1	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (5.5%)	1	1		100	16	361	365		2	"2han,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		2	2	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (4.5%)	1	1		100	16	361	410		2	"2han,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		3	3	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (4%)	1	1		100	16	361	450		2	"2han,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		4	4	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (3%)	1	1		100	16	361	480		2	"2han,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		5	5	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (2%)	1	1		100	16	361	500		2	"2han,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		6	6	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
THROWING WEAPONS (needs to be here before other corruptions) ----------	0																																																																																																							0
Tier 1	0																																																																																																							0
item -> added mod 1	1	1		100	16	361	287		2	thro	"wss,qty=1"						useitem			100	corrupt	100		2	2	corruptnum	100		1001	1001	dmg%	100		40	80																																																																					0
item -> added mod 2	1	1		100	16	361	325		2	thro	"wss,qty=1"						useitem			100	corrupt	100		3	3	corruptnum	100		1001	1001	att	100		100	250																																																																					0
item -> added mod 3	1	1		100	16	361	362		2	thro	"wss,qty=1"						useitem			100	corrupt	100		4	4	corruptnum	100		1001	1001	heal-hit	100		3	6																																																																					0
item -> added mod 4	1	1		100	16	361	400		2	thro	"wss,qty=1"						useitem			100	corrupt	100		5	5	corruptnum	100		1001	1001	att-demon	100		200	200	dmg-demon	100		100	150																																																																0
item -> added mod 5	1	1		100	16	361	437		2	thro	"wss,qty=1"						useitem			100	corrupt	100		6	6	corruptnum	100		1001	1001	ease	100		-25	-50																																																																					0
item -> added mod 6	1	1		100	16	361	475		2	thro	"wss,qty=1"						useitem			100	corrupt	100		7	7	corruptnum	100		1001	1001	mag%	100		20	30																																																																					0
item -> added mod 1	1	1		100	16	361	512		2	thro	"wss,qty=1"						useitem			100	corrupt	100		8	8	corruptnum	100		1001	1001	heal-kill	100		3	5																																																																					0
item -> added mod 2	1	1		100	16	361	550		2	thro	"wss,qty=1"						useitem			100	corrupt	100		9	9	corruptnum	100		1001	1001	mana-kill	100		3	5																																																																					0
item -> added mod 3	1	1		100	16	361	587		2	thro	"wss,qty=1"						useitem			100	corrupt	100		16	16	corruptnum	100		1001	1001	cast2	100		10	10																																																																					0
item -> added mod 4	1	1		100	16	361	625		2	thro	"wss,qty=1"						useitem			100	corrupt	100		77	77	corruptnum	100		1001	1001	att-undead	100		200	200	dmg-undead	100		100	150																																																																0
Tier 2	0																																																																																																							0
item -> added mod 5	1	1		100	16	361	647		2	thro	"wss,qty=1"						useitem			100	corrupt	100		12	12	corruptnum	100		1001	1001	pierce-fire	100		5	10																																																																					0
item -> added mod 6	1	1		100	16	361	670		2	thro	"wss,qty=1"						useitem			100	corrupt	100		13	13	corruptnum	100		1001	1001	pierce-ltng	100		5	10																																																																					0
item -> added mod 1	1	1		100	16	361	692		2	thro	"wss,qty=1"						useitem			100	corrupt	100		14	14	corruptnum	100		1001	1001	pierce-cold	100		5	10																																																																					0
item -> added mod 2	1	1		100	16	361	715		2	thro	"wss,qty=1"						useitem			100	corrupt	100		15	15	corruptnum	100		1001	1001	pierce-pois	100		5	10																																																																					0
item -> added mod 3	1	1		100	16	361	737		2	thro	"wss,qty=1"						useitem			100	corrupt	100		16	16	corruptnum	100		1001	1001	cast2	100		20	20																																																																					0
item -> added mod 4	1	1		100	16	361	760		2	thro	"wss,qty=1"						useitem			100	corrupt	100		17	17	corruptnum	100		1001	1001	lifesteal	100		5	5	dmg%	100		40	60																																																																0
item -> added mod 5	1	1		100	16	361	782		2	thro	"wss,qty=1"						useitem			100	corrupt	100		18	18	corruptnum	100		1001	1001	att	100		200	300																																																																					0
item -> added mod 6	1	1		100	16	361	805		2	thro	"wss,qty=1"						useitem			100	corrupt	100		19	19	corruptnum	100		1001	1001	deadly	100		20	30																																																																					0
item -> added mod 1	1	1		100	16	361	827		2	thro	"wss,qty=1"						useitem			100	corrupt	100		20	20	corruptnum	100		1001	1001	swing1	100		30	40																																																																					0
item -> added mod 2	1	1		100	16	361	850		2	thro	"wss,qty=1"						useitem			100	corrupt	100		21	21	corruptnum	100		1001	1001	crush	100		20	30																																																																					0
Tier 3	0																																																																																																							0
item -> added mod 3	1	1		100	16	361	865		2	thro	"wss,qty=1"						useitem			100	corrupt	100		22	22	corruptnum	100		1001	1001	swing1	100		20	20	dmg%	100		80	120																																																																0
item -> added mod 4	1	1		100	16	361	880		2	thro	"wss,qty=1"						useitem			100	corrupt	100		23	23	corruptnum	100		1001	1001	swing1	100		30	30	crush	100		20	30																																																																0
item -> added mod 5	1	1		100	16	361	895		2	thro	"wss,qty=1"						useitem			100	corrupt	100		24	24	corruptnum	100		1001	1001	ignore-ac	100		1	1	dmg%	100		60	80																																																																0
item -> added mod 6	1	1		100	16	361	910		2	thro	"wss,qty=1"						useitem			100	corrupt	100		25	25	corruptnum	100		1001	1001	deadly	100		25	25	dmg%	100		50	70																																																																0
item -> added mod 1	1	1		100	16	361	925		2	thro	"wss,qty=1"						useitem			100	corrupt	100		26	26	corruptnum	100		1001	1001	att	100		250	250	dmg%	100		80	120																																																																0
item -> added mod 2	1	1		100	16	361	940		2	thro	"wss,qty=1"						useitem			100	corrupt	100		27	27	corruptnum	100		1001	1001	allskills	100		1	1																																																																					0
item -> added mod 3	1	1		100	16	361	955		2	thro	"wss,qty=1"						useitem			100	corrupt	100		28	28	corruptnum	100		1001	1001	extra-fire	100		5	5	cast2	100		10	10																																																																0
item -> added mod 4	1	1		100	16	361	970		2	thro	"wss,qty=1"						useitem			100	corrupt	100		29	29	corruptnum	100		1001	1001	extra-cold	100		5	5	cast2	100		10	10																																																																0
item -> added mod 5	1	1		100	16	361	985		2	thro	"wss,qty=1"						useitem			100	corrupt	100		30	30	corruptnum	100		1001	1001	extra-ltng	100		5	5	cast2	100		10	10																																																																0
item -> added mod 6	1	1		100	16	361	1000		2	thro	"wss,qty=1"						useitem			100	corrupt	100		31	31	corruptnum	100		1001	1001	extra-pois	100		5	5	cast2	100		10	10																																																																0
	0																																																																																																							0
weapon -> + sockets  (10%)	1	1		100	16	361	350		2	"weap,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	1	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (8%)	1	1		100	16	361	430		2	"weap,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		2	2	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (4%)	1	1		100	16	361	470		2	"weap,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		3	3	corruptnum	100		1001	1001																																																																					0
weapon -> + sockets  (3%)	1	1		100	16	361	500		2	"weap,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		4	4	corruptnum	100		1001	1001																																																																					0
	0																																																																																																							0
armour -> destroyed (rare) (25%)	1	3		100	16	361	250		2	"boot"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
armour -> destroyed (rare) (25%)	1	3		100	16	361	250		2	"glov"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
armour -> destroyed (rare) (25%)	1	3		100	16	361	250		2	"belt"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
armour -> destroyed (rare) (25%)	1	3		100	16	361	250		2	"tors,nos"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
armour -> destroyed (rare) (25%)	1	3		100	16	361	250		2	"helm,nos"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
armour -> destroyed (rare) (25%)	1	3		100	16	361	250		2	"shld,nos"	"wss,qty=1"						"usetype,rar"			100																																																																																				0
	0																																																																																																							0
armour -> + 1 sockets  (18%)	1	1		100	16	361	430		2	"tors,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		1	1	corruptnum	100		1001	1001																																																																					0
armour -> + 2 sockets  (5%)	1	1		100	16	361	480		2	"tors,nos"	"wss,qty=1"						useitem			100	corrupt	100		32	32	sock	100		2	2	corruptnum	100		1001	1001																																																																					0
