Stat	ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	*eol
item_dexterity_bytime	275		1	22										4		0	1024		22	0	22	0			6			dexterity											180	17	1	ModStr1b	ModStr1b									0
item_energy_bytime	276		1	22										4		0	1024		22	0	22	0			6			energy											180	17	1	ModStr1d	ModStr1d									0
item_vitality_bytime	277		1	22										4		0	1024		22	0	22	0			6			vitality											180	17	1	ModStr1c	ModStr1c									0
item_tohit_bytime	278		1	22										4		0	1024		22	0	22	0			6			tohit						1					180	17	1	ModStr1h	ModStr1h									0
item_tohitpercent_bytime	279		1	22										4		0	1024		22	0	22	0			6			item_tohit_percent						1					180	18	1	ModStr4c	ModStr4c									0
item_cold_damagemax_bytime	280		1	22										4		0	1024		22	0	22	0			6			coldmaxdam						1					180	17	1	ModStr1s	ModStr1s									0
item_fire_damagemax_bytime	281		1	22										4		0	1024		22	0	22	0			6			firemaxdam						1					180	17	1	ModStr1o	ModStr1o									0
item_ltng_damagemax_bytime	282		1	22										4		0	1024		22	0	22	0			6			lightmaxdam						1					180	17	1	ModStr1q	ModStr1q									0
item_pois_damagemax_bytime	283		1	22										4		0	1024		22	0	22	0			6			poisonmaxdam						1					180	17	1	ModStr4h	ModStr4h									0
item_resist_cold_bytime	284		1	22										4		0	1024		22	0	22	0			6			coldresist											180	18	2	ModStr1k	ModStr1k									0
item_resist_fire_bytime	285		1	22										4		0	1024		22	0	22	0			6			fireresist											180	18	2	ModStr1j	ModStr1j									0
item_resist_ltng_bytime	286		1	22										4		0	1024		22	0	22	0			6			lightresist											180	18	2	ModStr1l	ModStr1l									0
item_resist_pois_bytime	287		1	22										4		0	1024		22	0	22	0			6			poisonresist											180	18	2	ModStr1n	ModStr1n									0
item_absorb_cold_bytime	288		1	22										4		0	1024		22	0	22	0			6			item_absorbcold											180	18	1	ModStre9p	ModStre9p									0
item_absorb_fire_bytime	289		1	22										4		0	1024		22	0	22	0			6			item_absorbfire											180	18	1	ModStre9o	ModStre9o									0
item_absorb_ltng_bytime	290		1	22										4		0	1024		22	0	22	0			6			item_absorblight											180	18	1	ModStre9q	ModStre9q									0
item_absorb_pois_bytime	291		1	22										4		0	1024		22	0	22	0			6			item_absorbmagic																								0
item_find_gold_bytime	292		1	22										4		0	1024		22	0	22	0			6			item_goldbonus											180	18	2	ModStr1w	ModStr1w									0
item_find_magic_bytime	293		1	22										4		0	1024		22	0	22	0			6			item_magicbonus											180	18	1	ModStr1x	ModStr1x									0
item_regenstamina_bytime	294		1	22										4		0	1024		22	0	22	0			6			staminarecoverybonus											180	18	2	ModStr3v	ModStr3v									0
item_stamina_bytime	295		1	22										4		0	1024		22	0	22	0			6			maxstamina											180	17	1	ModStr5d	ModStr5d									0
item_damage_demon_bytime	296		1	22										4		0	1024		22	0	22	0			6			item_demondamage_percent						1					180	18	1	ModStr4e	ModStr4e									0
item_damage_undead_bytime	297		1	22										4		0	1024		22	0	22	0			6			item_undeaddamage_percent						1					180	18	1	ModStr4f	ModStr4f									0
item_tohit_demon_bytime	298		1	22										4		0	1024		22	0	22	0			6			item_demon_tohit						1					180	17	1	ModStr4j	ModStr4j									0
item_tohit_undead_bytime	299		1	22										4		0	1024		22	0	22	0			6			item_undead_tohit						1					180	17	1	ModStr4k	ModStr4k									0
item_crushingblow_bytime	300		1	22										4		0	1024		22	0	22	0			6			item_crushingblow						1					180	18	1	ModStr5c	ModStr5c									0
item_openwounds_bytime	301		1	22										4		0	1024		22	0	22	0			6			item_openwounds						1					180	18	1	ModStr3m	ModStr3m									0
item_kick_damage_bytime	302		1	22										4		0	1024		22	0	22	0			6			item_kickdamage						1					180	17	1	ModStr5e	ModStr5e									0
item_deadlystrike_bytime	303		1	22										4		0	1024		22	0	22	0			6			item_deadlystrike						1					180	18	1	ModStr5q	ModStr5q									0
item_find_gems_bytime	304		1											4		0	1024																																			0
item_pierce_cold	305		1	9											1432	513	1024				6	50																	88	20	1	Moditemenrescoldsk	Moditemenrescoldsk									0
item_pierce_fire	306		1	9											1240	497	1024				6	50																	88	20	1	Moditemenresfiresk	Moditemenresfiresk									0
item_pierce_ltng	307		1	9											1187	481	1024				6	50																	88	20	1	Moditemenresltngsk	Moditemenresltngsk									0
item_pierce_pois	308		1	9											1322	506	1024				6	50																	88	20	1	Moditemenrespoissk	Moditemenrespoissk									0
item_damage_vs_monster	309		1														1024																	1																		0
item_damage_percent_vs_monster	310		1														1024																	1																		0
item_tohit_vs_monster	311		1														1024																	1																		0
item_tohit_percent_vs_monster	312		1														1024																	1																		0
item_ac_vs_monster	313		1														1024																																			0
item_ac_percent_vs_monster	314		1														1024																																			0
firelength	315		1	16													1024																																			0
burningmin	316		1	16													1024																																			0
burningmax	317		1	16													1024																																			0
progressive_damage	318		1	3													1024																																			0
progressive_steal	319		1	3													1024																																			0
progressive_other	320		1	3													1024																																			0
progressive_fire	321		1	3													1024																																			0
progressive_cold	322		1	3													1024																																			0
progressive_lightning	323		1	3													1024																																			0
item_extra_charges	324		1	6													1024		6	0	6	0											1	1																		0
progressive_tohit	325		1	16													1024																																			0
poison_count	326		1	5													1024																	1																		0
damage_framerate	327		1	8													1024																																			0
pierce_idx	328		1	6													1024																																			0
passive_fire_mastery	329		1	12											1117	415	1024		8	0	9	50																	88	4	1	ModitemdamFiresk	ModitemdamFiresk									0
passive_ltng_mastery	330		1	12											1054	408	1024		8	0	9	50																	88	4	1	ModitemdamLtngsk	ModitemdamLtngsk									0
passive_cold_mastery	331		1	12											1295	379	1024		8	0	9	50																	88	4	1	ModitemdamColdsk	ModitemdamColdsk									0
passive_pois_mastery	332		1	12											978	394	1024		8	0	9	50																	88	4	1	ModitemdamPoissk	ModitemdamPoissk									0
passive_fire_pierce	333		1	9												2578	1024		8	0	8	0																	88	20	1	Moditemenresfiresk	Moditemenresfiresk									0
passive_ltng_pierce	334		1	9												2493	1024		8	0	8	0																	88	20	1	Moditemenresltngsk	Moditemenresltngsk									0
passive_cold_pierce	335		1	9												1984	1024		8	0	8	0																	88	20	1	Moditemenrescoldsk	Moditemenrescoldsk									0
passive_pois_pierce	336		1	9												2345	1024		8	0	8	0																	88	20	1	Moditemenrespoissk	Moditemenrespoissk									0
passive_critical_strike	337		1	9													1024		8	0	8	0																														0
passive_dodge	338		1	9													1024		7	0	7	0																														0
passive_avoid	339		1	9													1024		7	0	7	0																														0
passive_evade	340		1	9													1024		7	0	7	0																														0
passive_warmth	341		1	9													1024		8	0	8	0																														0
passive_mastery_melee_th	342		1	11	8												1024		8	0	8	0																														0
passive_mastery_melee_dmg	343		1	11	8												1024		8	0	8	0																														0
passive_mastery_melee_crit	344		1	9	8												1024		8	0	8	0																														0
passive_mastery_throw_th	345		1	11	8												1024		8	0	8	0																														0
passive_mastery_throw_dmg	346		1	11	8												1024		8	0	8	0																														0
passive_mastery_throw_crit	347		1	9	8												1024		8	0	8	0																														0
passive_weaponblock	348		1	9	8												1024		8	0	8	0																														0
passive_summon_resist	349		1	9													1024		8	0	8	0																														0
modifierlist_skill	350			9													1024																																			0
modifierlist_level	351			8													1024																																			0
last_sent_hp_pct	352		1	8													1024																																			0
source_unit_type	353			5													1024																																			0
source_unit_id	354			32													1024																																			0
shortparam1	355			16													1024																																			0
questitemdifficulty	356																1024				2	0																														0
passive_mag_mastery	357		1	12											1211	431	1024		8	0	9	50																	88	4	1	ModitemdamMagisk	ModitemdamMagisk									0
passive_mag_pierce	358		1	9												2812	1024		8	0	8	0																														0
item_splashonhit	359		1	7	16						1			2	190	256	1024		21	0	7	0	16											1	domeleedamage	20			160	15	0	splash3	splash3									0
corrupted	360			10	10										54	204	1024		8	0	10	0	10																246	3	0	StrCorrupted	StrCorrupted									0
corruptor	361			1	16											54	1024				12	0																	245	0	0	StrCorruptNum	StrCorruptNum									0
item_elemskill_cold	362		1	3	3						1				76	1024	1024		4	0	3	0	3																157	1	1	ModStrColdskills	ModStrColdskills									0
item_elemskill_fire	363		1	3	3						1				76	1024	1024		4	0	3	0	3																157	1	1	ModStrFireskills	ModStrFireskills									0
item_elemskill_lightning	364		1	3	3						1				76	1024	1024		4	0	3	0	3																157	1	1	ModStrLightningskills	ModStrLightningskills									0
item_elemskill_poison	365		1	3	3						1				76	1024	1024		4	0	3	0	3																157	1	1	ModStrPoisonskills	ModStrPoisonskills									0
item_elemskill_magic	366		1	3	3						1				76	1024	1024		4	0	3	0	3																157	1	1	ModStrMagicskills	ModStrMagicskills									0
skill_cold_enchant	367		1	12													1024																																			0
max_curses	368		1	3													1024		3		3																		160	3	0	StrToMaxCurses	StrToMaxCurses									0
map_defense	369			1	16												1024				12	0																	244	2	1	StrCorruptNum	StrCorruptNum									0
map_play_magicbonus	370		1	9											577	102	1080		8	100	8	100																	210	4	2	MapGlobMF	MapGlobMF		6	4	2	MapGlobMFGF	MapGlobMFGF			0
map_play_goldbonus	371		1	10											187	34	1079		9	100	9	100																	210	4	2	MapGlobGF	MapGlobGF		6	4	2	MapGlobMFGF	MapGlobMFGF			0
map_glob_density	372			1	16											54	2000				12	0																	211	4	2	MapGlobDensity	MapGlobDensity									0
map_play_addexperience	373		1	9											36015	519	1085		3	0	9	50																	213	4	2	MapGlobExp	MapGlobExp									0
map_glob_arealevel	374			1	16											54	2001				12	0																	205	1	1	MapGlobLevel	MapGlobLevel									0
map_glob_monsterrarity	375			1	16											54	2002				12	0																	212	4	2	MapGlobMonRarity	MapGlobMonRarity									0
map_mon_firemindam	376		1	16											11	10	0048		8	0	8	0												1					102	6	2	MapMonHave	MapMonHave	ModStr1p								0
map_mon_firemaxdam	377		1	16											19	10	0049		8	0	9	0												1					101	6	2	MapMonHave	MapMonHave	ModStr1o								0
map_mon_lightmindam	378		1	16											12	10	0050		6	0	6	0												1					99	6	2	MapMonHave	MapMonHave	ModStr1r								0
map_mon_lightmaxdam	379		1	16											17	10	0051		9	0	10	0												1					98	6	2	MapMonHave	MapMonHave	ModStr1q								0
map_mon_magicmindam	380		1	16											196	20	0052		6	0	8	0												1					104	6	2	MapMonHave	MapMonHave	strModMagicDamage								0
map_mon_magicmaxdam	381		1	16											183	20	0053		7	0	9	0												1					103	6	2	MapMonHave	MapMonHave	strModMagicDamage								0
map_mon_coldmindam	382		1	16											451	512	0054		6	0	8	0												1					96	6	2	MapMonHave	MapMonHave	ModStr1t								0
map_mon_coldmaxdam	383		1	16											128	340	0055		8	0	9	0												1					95	6	2	MapMonHave	MapMonHave	ModStr1s								0
map_mon_coldlength	384		1	16											77	4	0056		8	0	8	0												1																		0
map_mon_poisonmindam	385		1	19											12	28	0057		9	0	10	0												1					92	6	2	MapMonHave	MapMonHave	ModStr4i								0
map_mon_poisonmaxdam	386		1	19											11	34	0058		9	0	10	0												1					91	6	2	MapMonHave	MapMonHave	ModStr4h								0
map_mon_poisonlength	387		1	16											0	4	0059		8	0	9	0												1																		0
map_mon_passive_fire_mastery	388		1	12											1117	415	0329		8	0	9	50																	88	8	2	MapMonHave	MapMonHave	ModitemdamFiresk								0
map_mon_passive_ltng_mastery	389		1	12											1054	408	0330		8	0	9	50																	88	8	2	MapMonHave	MapMonHave	ModitemdamLtngsk								0
map_mon_passive_cold_mastery	390		1	12											1295	379	0331		8	0	9	50																	88	8	2	MapMonHave	MapMonHave	ModitemdamColdsk								0
map_mon_passive_pois_mastery	391		1	12											978	394	0332		8	0	9	50																	88	8	2	MapMonHave	MapMonHave	ModitemdamPoissk								0
map_mon_fasterattackrate	392	1	1	9											1042	156	0093		7	20	7	20												1					145	8	2	MapMonHave	MapMonHave	ModStr4m	4	8	2	MapMonHave	MapMonHave	MapAtkCastRate		0
map_mon_fastercastrate	393	1	1	9											3876	156	0105		7	20	7	20																	142	8	2	MapMonHave	MapMonHave	ModStr4v	4	8	2	MapMonHave	MapMonHave	MapAtkCastRate		0
map_mon_tohit	394		1	16											15	10	0119		10		10													1					115	8	2	MapMonHave	MapMonHave	ModStr1h	5	8	2	MapMonHave	MapMonHave	MapPierceAR		0
map_mon_ac%	395		1	11											47	20	0016		9	0	9	0			13			armorclass											114	8	2	MapMonHave	MapMonHave	Modstr2v								0
map_mon_absorbcold_percent	396		1	7											5486	102	0148		7	0	7	0																	25	7	2	MapMonHave	MapMonHave	ModStr5m								0
map_mon_absorbmagic_percent	397		1	7											5486	102	0146		7	0	7	0																	26	7	2	MapMonHave	MapMonHave	ModStr5k								0
map_mon_absorblight_percent	398		1	7											5486	102	0144		7	0	7	0																	24	7	2	MapMonHave	MapMonHave	ModStr5i								0
map_mon_absorbfire_percent	399		1	7											5486	102	0142		7	0	7	0																	23	7	2	MapMonHave	MapMonHave	ModStr5g								0
map_mon_normal_damage_reduction	400		1	10											188	200	0034		10	0	10	0																	22	9	2	MapMonTake	MapMonTake	MapFlatPhysRed								0
map_mon_velocitypercent	401	1	1	10		1									5486	102	0067		7	30	7	30																	155	7	2	MapMonHave	MapMonHave	MapMonVelocity								0
map_mon_hpregen	402		1	10											451	410	0074		12	30	12	30																	56	6	2	MapMonHave	MapMonHave	ModStr2l								0
map_mon_lifedrainmindam	403		1	16											1044	341	0060		7	0	7	0												1					88	7	2	MapMonHave	MapMonHave	ModStr2z								0
map_mon_fastergethitrate	404	1	1	9											1065	72	0099		7	20	7	20																	139	8	2	MapMonHave	MapMonHave	ModStr4p								0
map_mon_maxhp_percent	405		1	16											32093	204	0076		6	10	6	10			11			maxhp											58	7	2	MapMonHave	MapMonHave	MapMaxHP								0
map_mon_pierce	406		1	7											1924	2048	0156		7	0	7	0												1					132	8	2	MapMonHave	MapMonHave	ModPierceChance	5	8	2	MapMonHave	MapMonHave	MapPierceAR		0
map_mon_openwounds	407		1	7							1				23	10	0135		7	0	7	0												1	domeleedamage	15	domissiledamage	15	83	7	2	MapMonHave	MapMonHave	ModStr3m								0
map_mon_crushingblow	408		1	7							1				98	40	0136		7	0	7	0												1	domeleedamage	16	domissiledamage	16	87	7	2	MapMonHave	MapMonHave	ModStr5c								0
map_mon_curse_resistance	409			9											159	33	0109		14	0	9	0																	55	7	2	MapMonHave	MapMonHave	MapMonCurse								0
map_play_ac%	410		1	16											47	20	1016		14	60	14	60			13			armorclass											198	7	2	MapPlayHave	MapPlayHave	Modstr2v								0
map_play_fastergethitrate	411	1	1	9											1065	72	1099		14	60	14	60																	204	8	2	MapPlayHave	MapPlayHave	ModStr4p								0
map_play_toblock	412		1	10											89	204	1020		14	60	14	60																	199	7	2	MapPlayHave	MapPlayHave	MapPlayBlock								0
map_play_hpregen	413			10											451	410	1074		14	60	14	60																	205	6	2	MapPlayHave	MapPlayHave	ModStr2w								0
map_mon_passive_fire_pierce	414		1	9												2578	0333		8	0	8	0																	200	7	2	MapMonIgnore	MapMonHave	MapMonFirePierce								0
map_mon_passive_ltng_pierce	415		1	9												2493	0334		8	0	8	0																	200	7	2	MapMonIgnore	MapMonHave	MapMonLtngPierce								0
map_mon_passive_cold_pierce	416		1	9												1984	0335		8	0	8	0																	200	7	2	MapMonIgnore	MapMonHave	MapMonColdPierce								0
map_mon_passive_pois_pierce	417		1	9												2345	0336		8	0	8	0																	200	7	2	MapMonIgnore	MapMonHave	MapMonPoisPierce								0
map_play_maxfireresist	418		1	9											584	256	1040		5	0	5	0																	204	8	2	MapPlayHave	MapPlayHave	ModStr5u								0
map_play_maxlightresist	419		1	9											584	256	1042		5	0	5	0																	203	8	2	MapPlayHave	MapPlayHave	ModStr5w								0
map_play_maxcoldresist	420		1	9											584	256	1044		5	0	5	0																	202	8	2	MapPlayHave	MapPlayHave	ModStr5v								0
map_play_maxpoisonresist	421		1	9											526	256	1046		5	0	5	0																	201	8	2	MapPlayHave	MapPlayHave	ModStr5y								0
item_replenish_charges	422		1	5											106	256	1024		5	0	6	0																	1	3	0	ModStrRepCharge1	ModStrRepCharge1	ModStrRepCharge2								0
item_leap_speed	423		1	5													1024		5		5																		120	4	1	ModLeapSpeed	ModLeapSpeed									0
item_healafterhit	424		1	7							1				30	101	1024		3	0	7	0													domeleedamage	28	domissiledamage	28	16	1	1	ModItemHPaH	ModItemHPaH									0
passive_phys_pierce	425		1	9													1024		8	0	8	0																	158	20	1	ModPhysPierce	ModPhysPierce									0
map_mon_ed%	426		1	16											15	10	0025		10		10													1					115	8	2	MapMonHave	MapMonHave	MapEnhancedDmg								0
map_mon_splash	427		1	7	16						1			2	190	256	0359		21	0	7	0	16											1	domeleedamage	20			160	9	0	MapMon	MapMon	MapMonSplash								0
map_play_fireresist	428		1	9											584	256	1039		14	60	14	60																	204	7	2	MapPlayHave	MapPlayHave	ModStr1j	3	7	2	MapPlayHave	MapPlayHave	MapPlayAllRes		0
map_play_lightresist	429		1	9											584	256	1041		14	60	14	60																	203	7	2	MapPlayHave	MapPlayHave	ModStr1l	3	7	2	MapPlayHave	MapPlayHave	MapPlayAllRes		0
map_play_coldresist	430		1	9											584	256	1043		14	60	14	60																	202	7	2	MapPlayHave	MapPlayHave	ModStr1k	3	7	2	MapPlayHave	MapPlayHave	MapPlayAllRes		0
map_play_poisonresist	431		1	9											526	256	1045		14	60	14	60																	201	7	2	MapPlayHave	MapPlayHave	ModStr1n	3	7	2	MapPlayHave	MapPlayHave	MapPlayAllRes		0
map_mon_phys_as_extra_ltng	432		1	16												2578	3000		8	0	12	0																	200	8	2	MapMonHave	MapMonHave	MapPhysExtraLtng								0
map_mon_phys_as_extra_cold	433		1	16												2578	3000		8	0	12	0																	200	8	2	MapMonHave	MapMonHave	MapPhysExtraCold								0
map_mon_phys_as_extra_fire	434		1	16												2578	3000		8	0	12	0																	200	8	2	MapMonHave	MapMonHave	MapPhysExtraFire								0
map_mon_phys_as_extra_pois	435		1	16												2578	3000		8	0	12	0																	200	8	2	MapMonHave	MapMonHave	MapPhysExtraPois								0
map_mon_phys_as_extra_mag	436		1	16												2578	3000		8	0	12	0																	200	8	2	MapMonHave	MapMonHave	MapPhysExtraMag								0
map_glob_add_mon_doll	437			1	16											54	2003				12	0																	160	3	0	MapAddMonDoll	MapAddMonDoll									0
map_glob_add_mon_succ	438			1	16											54	2003				12	0																	160	3	0	MapAddMonSucc	MapAddMonSucc									0
map_glob_add_mon_vamp	439			1	16											54	2003				12	0																	160	3	0	MapAddMonVamp	MapAddMonVamp									0
map_glob_add_mon_cow	440			1	16											54	2003				12	0																	160	3	0	MapAddMonCow	MapAddMonCow									0
map_glob_add_mon_horde	441			1	16											54	2003				12	0																	160	3	0	MapAddMonHorde	MapAddMonHorde									0
map_glob_add_mon_ghost	442			1	16											54	2003				12	0																	160	3	0	MapAddMonGhost	MapAddMonGhost									0
extra_bonespears	443		1	5													1024		5		5																		120	9	2	StrExtraBonespear	StrExtraBonespear	StrExtraBonespear2								0
extra_revives	444		1	5													1024		5		5																		68	9	2	StrExtraRevives	StrExtraRevives	StrExtraRevives2								0
immune_stat	445		1	12											1117	415	1024		8	0	9	50																	88	4	1	ModitemdamFiresk	ModitemdamFiresk									0
mon_cooldown1	446		1	12											1117	415	1024		8	0	9	50																	88	4	1	ModitemdamFiresk	ModitemdamFiresk									0
mon_cooldown2	447		1	12											1117	415	1024		8	0	9	50																	88	4	1	ModitemdamFiresk	ModitemdamFiresk									0
mon_cooldown3	448		1	12											1117	415	1024		8	0	9	50																	88	4	1	ModitemdamFiresk	ModitemdamFiresk									0
map_mon_deadlystrike	449		1	7											31	25	0141		7	0	7	0												1					85	7	2	MapMonHave	MapMonHave	ModStr5q								0
map_mon_cannotbefrozen	450		1	2											15011	2048	0153		1		1																		20	9	0	MapMonHave	MapMonHave	ModStr5z								0
map_play_fasterattackrate	451	1	1	9											1042	156	1093		7	20	7	20												1					145	7	2	MapPlayHave	MapPlayHave	ModStr4m	7	7	2	MapPlayHave	MapPlayHave	MapAtkCastSpeed		0
map_play_fastercastrate	452	1	1	9											3876	156	1105		7	20	7	20																	142	7	2	MapPlayHave	MapPlayHave	ModStr4v	7	7	2	MapPlayHave	MapPlayHave	MapAtkCastSpeed		0
map_mon_skillondeath	453		1	7	16						1			2	11	9	0197		21	0	7	0	16												killed	30			160	15		Moditemskondeath	Moditemskondeath									0
map_play_maxhp_percent	454		1	16											32093	204	1076		6	10	6	10			11			maxhp											58	7	2	MapPlayHave	MapPlayHave	ModStr2g								0
map_play_maxmana_percent	455		1	16											56452	204	1077		6	10	6	10			11			maxmana											54	7	2	MapPlayHave	MapPlayHave	ModStr2h								0
map_play_damageresist	456		1	9											152	68	1036		8	0	8	0																	22	7	2	MapPlayHave	MapPlayHave	ModStr2u								0
map_play_velocitypercent	457	1	1	10		1											1067		7	30	7	30																		7	2	MapPlayHave	MapPlayHave	ModVelocity								0
heroic	458			3											54	204	1024		8	0	3	0																	249	3	0	StrHeroic	StrHeroic									0
extra_spirits	459		1	5													1024		5		5																		68	9	2	StrExtraRevives	StrExtraRevives	StrExtraSpirits								0
gustreduction	460		1	5													1024		6		6																		150	3	0	GustReduction	GustReduction									0
extra_skele_war	461		1	5													1024		6		5																		150	9	2	YouMaySummon	YouMaySummon	ExtraSkeleWar								0
extra_skele_mage	462		1	5													1024		6		5																		150	9	2	YouMaySummon	YouMaySummon	ExtraSkeleMage								0
extra_hydra	463		1	5													1024		6		5																		240	9	2	YouMaySummon	YouMaySummon	ExtraHydra								0
extra_valk	464		1	5													1024		6		5																		240	9	2	YouMaySummon	YouMaySummon	ExtraValk								0
joustreduction	465		1	5													1024		6		6																		150	3	0	joustreduction	joustreduction									0
grims_extra_skele_mage	466		1	5													1024		6		5																		150	3	0	ExtraSkeleMageGrim	ExtraSkeleMageGrim									0
map_play_lightradius	467		1	10											451	410	1089		14	120	14	120																	196	9	2	MapPlayHave	MapPlayHave	StrMapLightRadius								0
blood_warp_life_reduction	468		1	5													1024		5		5																		150	3	0	bloodwarplifereduction	bloodwarplifereduction									0
pierce_count	469		1	5													1024		5		5																															0
map_glob_add_mon_souls	470			1	16											54	2003				12	0																	160	3	0	MapAddMonSouls	MapAddMonSouls									0
map_glob_add_mon_fetish	471			1	16											54	2003				12	0																	160	3	0	MapAddMonFetish	MapAddMonFetish									0
dclone_clout	472			3											54	204	1024		8	0	3	0																	255	3	0	DcloneClout	DcloneClout									0
maxlevel_clout	473			3											54	204	1024		8	0	3	0																	255	3	0	MaxlevelClout	MaxlevelClout									0
dev_clout	474			3											54	204	1024		8	0	3	0																	255	3	0	DevClout	DevClout									0
extra_skele_archer	475		1	5													1024		6		5																		150	9	2	YouMaySummon	YouMaySummon	ExtraSkeleArcher								0
extra_golem	476		1	5													1024		6		5																		150	9	2	YouMaySummon	YouMaySummon	ExtraGolem								0
transform_dye	477		1	24													1024		5	0	24	0																														0
inc_splash_radius	478		1	5													1024		6		5																		159	3	0	IncSplash	IncSplash									0
item_numsockets_textonly	479		1	4													1024		4	0	4	0																	1	3		SocketedTextOnly	SocketedTextOnly									0
rathma_clout	480			3											54	204	1024		8	0	3	0																	255	3	0	RathmaClout	RathmaClout									0
extra_holybolts	481		1	5													1024		5		5																															0
pvp_cd	482		1	5													1024		5		5																															0
dragonflightreduction	483		1	5													1024		6		6																		159	3	0	dragonflightreduction	dragonflightreduction									0
item_dmgpercent_pereth	484		1	6													1024		6	0	6	0			4	0	equipped_eth	item_maxdamage_percent	item_mindamage_percent					1					158	8	1	ModStrEnhancedDamage	ModStrEnhancedDamage	increaseswithequippedeth								0
corpseexplosionradius	485		1	5													1024		6		6																		159	3	0	corpseexplosionradius	corpseexplosionradius									0
mirrored	486			10	10												1024		8	0	10	0	10																250	3	0	StrMirrored	StrMirrored									0
item_dmgpercent_permissinghppercent	487		1	6													1024		6		6				4	0	missing_hp	item_maxdamage_percent	item_mindamage_percent					1					158	8	1	ModStrEnhancedDamage	ModStrEnhancedDamage	increaseswithmissinghp								0
lifedrain_percentcap	488		1	7													1024		7		7																		159	7	2	ModStrLifeStealCap	ModStrLifeStealCap	ofmaximumhp								0
inc_splash_radius_permissinghp	489		1	6													1024		6		6																		158	8	1	ModStrIncSplashRadius	ModStrIncSplashRadius	incsplashwithmissinghp								0
eaglehorn_raven	490			11													1024		6		11																		160	3	0	EaglehornRaven	EaglehornRaven									0
pvp_disable	491		1	5													1024		5		5																															0
pvp_lld_cd	492		1	5													1024		5		5																															0
