Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Eastern Sorceror	Fire-Hell	100	21	359	3	3	79	252	merca222	merca241	21000	130	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	fire	0	Cleansing	1	0	0	18	0	A3 Merc Fire Ball	7	70	0	16	5	A3 Mastery Fire	1	0	0	27	13	A3 Merc Meteor	7	30	0	19	5													2	2	2	1
Eastern Sorceror	Cold-Hell	100	22	359	3	3	79	252	merca222	merca241	27000	130	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	cold	0	Prayer	1	0	0	18	0	A3 Merc Ice Blast	7	70	0	22	5	A3 Mastery Cold	1	0	0	27	13	A3 Merc Blizzard	7	30	0	19	5													2	2	2	1
Eastern Sorceror	Ltng-Hell	100	23	359	3	3	79	252	merca222	merca241	21000	130	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	ltng	0	Holy Shock	1	0	0	20	0	A3 Merc Lightning	7	75	0	24	5	A3 Mastery Ltng	1	0	0	27	13	Merc Static Field	7	25	0	18	7													2	2	2	1
Barbarian	1hs-Normal	0	24	561	5	1	28	515	MercX101	MercX167	9000	120	288	14	180	7	101	15	63	10	150	17	1	16	20	6	56	7	swor		mght	50	Bash	5	15	0	4	10	Concentrate	5	15	0	3	8																									0	0	0	0
Barbarian	1hs-Normal	0	24	561	5	1	42	515	MercX101	MercX167	9000	120	484	21	278	20	128	15	81	10	388	27	1	27	31	8	81	7	swor		mght	50	Bash	5	50	0	9	10	Concentrate	5	50	0	7	8																									0	0	0	0
Barbarian	1hs-Normal	0	24	561	5	1	75	515	MercX101	MercX167	9000	120	1177	35	938	40	190	15	123	10	1279	37	1	60	64	8	139	4	swor		mght	50	Bash	5	75	0	20	0	Concentrate	5	75	0	16	0																									0	0	0	0
Barbarian	2hs-Normal	0	25	561	5	1	28	515	MercX101	MercX167	9000	120	288	14	180	7	101	15	63	10	150	17	1	16	20	6	56	7	swor		mght	50	Bash	5	15	0	4	10	Concentrate	5	15	0	3	8																									0	0	0	0
Barbarian	2hs-Normal	0	25	561	5	1	42	515	MercX101	MercX167	9000	120	484	21	278	20	128	15	81	10	388	27	1	27	31	8	81	7	swor		mght	50	Bash	5	50	0	9	10	Concentrate	5	50	0	7	8																									0	0	0	0
Barbarian	2hs-Normal	0	25	561	5	1	75	515	MercX101	MercX167	9000	120	1177	35	938	40	190	15	123	10	1279	37	1	60	64	8	139	4	swor		mght	50	Bash	5	75	0	20	0	Concentrate	5	75	0	16	0																									0	0	0	0
Barbarian	1hs-Nightmare	0	26	561	5	2	42	515	MercX101	MercX167	18000	130	436	21	250	20	125	15	76	10	349	27	4	25	29	8	78	7	swor		mght	50	Bash	5	50	0	8	10	Concentrate	5	50	0	6	8																									0	0	0	0
Barbarian	1hs-Nightmare	0	26	561	5	2	75	515	MercX101	MercX167	18000	130	1129	35	910	40	187	15	118	10	1240	37	4	58	62	8	136	4	swor		mght	50	Bash	5	75	0	19	0	Concentrate	5	75	0	15	0																									0	0	0	0
Barbarian	1hs-Nightmare	0	27	561	5	2	42	515	MercX101	MercX167	18000	130	436	21	250	20	125	15	76	10	349	27	4	25	29	8	78	7	swor		mght	50	Bash	5	50	0	8	10	Concentrate	5	50	0	6	8																									0	0	0	0
Barbarian	1hs-Nightmare	0	27	561	5	2	75	515	MercX101	MercX167	18000	130	1129	35	910	40	187	15	118	10	1240	37	4	58	62	8	136	4	swor		mght	50	Bash	5	75	0	19	0	Concentrate	5	75	0	15	0																									0	0	0	0
Barbarian	1hs-Hell	0	28	561	5	3	75	515	MercX101	MercX167	32000	140	1016	35	819	40	184	15	113	10	1116	37	6	56	60	8	133	4	swor		mght	50	Bash	5	70	0	18	0	Concentrate	5	70	0	14	0																									0	0	0	0
Barbarian	1hs-Hell	0	29	561	5	3	75	515	MercX101	MercX167	32000	140	1016	35	819	40	184	15	113	10	1116	37	6	56	60	8	133	4	swor		mght	50	Bash	5	70	0	18	0	Concentrate	5	70	0	14	0																									0	0	0	0
Barbarian	Mght-Normal	100	24	561	5	1	28	515	MercX101	MercX167	9000	120	288	18	180	10	101	15	63	10	150	20	1	15	19	4	56	7	swor		mght	20	Might	1	0	0	3	7	Concentrate	5	40	0	3	8	Bash	5	40	0	4	10																			0	0	0	0
Barbarian	Mght-Normal	100	24	561	5	1	58	515	MercX101	MercX167	9000	120	828	27	480	35	158	15	101	10	750	35	1	36	40	5	109	7	swor		mght	20	Might	1	0	0	11	7	Concentrate	5	40	0	11	8	Bash	5	40	0	14	10																			0	0	0	0
Barbarian	Mght-Normal	100	24	561	5	1	80	515	MercX101	MercX167	9000	120	1422	45	1250	50	200	15	129	10	1520	45	1	56	60	5	148	4	swor		mght	20	Might	1	0	0	18	0	Concentrate	5	40	0	17	0	Bash	5	40	0	21	0																			0	0	0	0
Barbarian	Wwnd-Normal	100	25	561	5	1	28	515	MercX101	MercX167	9000	120	288	18	180	10	101	15	63	10	150	20	1	15	19	4	56	7	swor		wwnd	20	Battle Orders	5	5	0	4	10	Battle Cry	5	15	0	4	10	MonWhirlwind	14	60	0	4	10																			0	0	0	0
Barbarian	Wwnd-Normal	100	25	561	5	1	58	515	MercX101	MercX167	9000	120	828	27	480	35	158	15	101	10	750	35	1	36	40	5	109	7	swor		wwnd	20	Battle Orders	5	5	0	14	10	Battle Cry	5	15	0	14	10	MonWhirlwind	14	60	0	14	10																			0	0	0	0
Barbarian	Wwnd-Normal	100	25	561	5	1	80	515	MercX101	MercX167	9000	120	1422	45	1250	50	200	15	129	10	1520	45	1	56	60	5	148	4	swor		wwnd	20	Battle Orders	5	5	0	21	0	Battle Cry	5	15	0	21	0	MonWhirlwind	14	60	0	21	0																			0	0	0	0
Barbarian	Mght-Nightmare	100	26	561	5	2	58	515	MercX101	MercX167	18000	130	828	27	480	35	158	15	101	10	750	35	4	36	40	5	109	7	swor		mght	20	Might	1	0	0	11	7	Concentrate	5	40	0	11	8	Bash	5	40	0	14	10																			0	0	0	0
Barbarian	Mght-Nightmare	100	26	561	5	2	80	515	MercX101	MercX167	18000	130	1422	45	1250	50	200	15	129	10	1520	45	4	56	60	5	148	4	swor		mght	20	Might	1	0	0	18	0	Concentrate	5	40	0	17	0	Bash	5	40	0	21	0																			0	0	0	0
Barbarian	Wwnd-Nightmare	100	27	561	5	2	58	515	MercX101	MercX167	18000	130	828	27	480	35	158	15	101	10	750	35	4	36	40	5	109	7	swor		wwnd	20	Battle Orders	5	5	0	14	10	Battle Cry	5	15	0	14	10	MonWhirlwind	14	60	0	14	10																			0	0	0	0
Barbarian	Wwnd-Nightmare	100	27	561	5	2	80	515	MercX101	MercX167	18000	130	1422	45	1250	50	200	15	129	10	1520	45	4	56	60	5	148	4	swor		wwnd	20	Battle Orders	5	5	0	21	0	Battle Cry	5	15	0	21	0	MonWhirlwind	14	60	0	21	0																			0	0	0	0
Barbarian	Mght-Hell	100	28	561	5	3	80	515	MercX101	MercX167	32000	140	1422	45	1250	50	200	15	129	10	1520	45	6	56	60	5	148	4	swor		mght	20	Might	1	0	0	18	0	Concentrate	5	40	0	17	0	Bash	5	40	0	21	0																			0	0	0	0
Barbarian	Wwnd-Hell	100	29	561	5	3	80	515	MercX101	MercX167	32000	140	1422	45	1250	50	200	15	129	10	1520	45	6	56	60	5	148	4	swor		wwnd	20	Battle Orders	5	5	0	21	0	Battle Cry	5	15	0	21	0	MonWhirlwind	14	60	0	21	0																			0	0	0	0
Ascendant	Dark - Normal	0	30	1056	4	1	3	367	MercX401	MercX420	100	100	45	8	15	6	35	10	45	16	10	10		1	3	2	0	8	staf		farw	75	Inner Sight	4	10	0	1	10	Fire Arrow	4	25	8	1	10																									0	0	0	0
Ascendant	Dark - Normal	0	30	1056	4	1	25	367	MercX401	MercX420	100	100	221	13	147	12	63	10	89	16	230	20	1	7	9	4	44	7	staf		farw	75	Inner Sight	4	10	0	8	10	Fire Arrow	4	69	0	8	10																									0	0	0	0
Ascendant	Dark - Normal	0	30	1056	4	1	49	367	MercX401	MercX420	100	100	533	25	435	18	93	10	137	16	710	30	2	19	21	6	86	5	staf		farw	75	Inner Sight	4	10	0	16	10	Fire Arrow	4	69	0	16	10																									0	0	0	0
Ascendant	Light - Normal	0	31	1056	4	1	3	367	MercX401	MercX420	150	105	45	8	15	6	35	10	45	16	10	10		1	3	2	0	8	staf		carw	75	Inner Sight	4	10	0	1	10	Cold Arrow	4	25	2	1	10																									0	0	0	0
Ascendant	Light - Normal	0	31	1056	4	1	25	367	MercX401	MercX420	150	105	221	12	147	12	63	10	89	16	230	20	1	7	9	4	44	7	staf		carw	75	Inner Sight	4	10	0	8	10	Cold Arrow	4	36	0	8	10																									0	0	0	0
Ascendant	Light - Normal	0	31	1056	4	1	49	367	MercX401	MercX420	150	105	509	16	435	18	93	10	137	16	710	30	2	19	21	6	86	5	staf		carw	75	Inner Sight	4	10	0	16	10	Cold Arrow	4	36	0	16	10																									0	0	0	0
Ascendant	Dark - Nightmare	0	32	1056	4	2	25	367	MercX401	MercX420	6000	110	199	12	132	12	60	10	84	16	207	20	1	6	8	4	41	7	staf		farw	75	Inner Sight	4	10	0	7	10	Fire Arrow	4	69	0	7	10																									0	0	0	0
Ascendant	Dark - Nightmare	0	32	1056	4	2	49	367	MercX401	MercX420	6000	110	487	16	420	18	90	10	132	16	687	30	2	18	20	6	83	5	staf		farw	75	Inner Sight	4	10	0	15	10	Fire Arrow	4	69	0	15	10																									0	0	0	0
Ascendant	Light - Nightmare	0	33	1056	4	2	25	367	MercX401	MercX420	7500	115	199	12	132	12	60	10	84	16	207	20	1	6	8	4	41	7	staf		carw	75	Inner Sight	4	10	0	7	10	Cold Arrow	4	69	0	7	10																									0	0	0	0
Ascendant	Light - Nightmare	0	33	1056	4	2	49	367	MercX401	MercX420	7500	115	487	16	420	18	90	10	132	16	687	30	2	18	20	6	83	5	staf		carw	75	Inner Sight	4	10	0	15	10	Cold Arrow	4	69	0	15	10																									0	0	0	0
Ascendant	Dark - Hell	0	34	1056	4	3	49	367	MercX401	MercX420	12500	120	438	16	378	18	87	10	127	16	618	30	2	17	19	6	80	5	staf		farw	75	Inner Sight	4	10	0	14	10	Fire Arrow	4	69	0	14	10																									0	0	0	0
Ascendant	Light - Hell	0	35	1056	4	3	49	367	MercX401	MercX420	14000	125	438	16	378	18	87	10	127	16	618	30	2	17	19	6	80	5	staf		carw	75	Inner Sight	4	35	0	14	10	Cold Arrow	4	69	0	14	10																									0	0	0	0
Ascendant	Dark - Normal	100	30	1056	4	1	21	367	MercX401	MercX420	100	100	214	10	110	6	56	10	46	8	10	12		1	3	2	35	7	staf		ascd	0	A4 AmpDmg	7	8	0	4	10	Bone Spear	7	40	0	4	8	Bone Armor	7	12	0	5	9	Teeth	7	40	0	4	8	A4 Mastery	1	0	0	1	13	CurMas	1	0	0	11	0	0	0	0	0
Ascendant	Dark - Normal	100	30	1056	4	1	54	367	MercX401	MercX420	100	100	556	18	315	13	98	10	79	8	406	24	1	9	11	4	93	7	staf		ascd	0	A4 AmpDmg	7	8	0	14	8	Bone Spear	7	40	0	12	8	Bone Armor	7	12	0	14	10	Teeth	7	40	0	12	8	A4 Mastery	1	0	0	15	13	CurMas	1	0	0	11	0	0	0	0	0
Ascendant	Dark - Normal	100	30	1056	4	1	79	367	MercX401	MercX420	100	100	1006	27	640	25	130	10	104	8	1150	36	2	25	27	6	135	5	staf		ascd	0	A4 AmpDmg	7	8	0	21	0	Bone Spear	7	40	0	18	5	Bone Armor	7	12	0	21	0	Teeth	7	40	0	18	5	A4 Mastery	1	0	0	27	13	CurMas	1	0	0	11	0	0	0	0	0
Ascendant	Light - Normal	100	31	1056	4	1	21	367	MercX401	MercX420	150	100	214	10	110	6	56	10	46	8	10	12		1	3	2	35	7	staf		ascl	0	Sanctuary	1	0	0	4	10	Holy Bolt	7	65	0	4	8	Holy Nova	7	10	0	4	8	Fist of the Heavens	7	25	0	4	8	A4 Mastery	1	0	0	1	13							0	0	0	0
Ascendant	Light - Normal	100	31	1056	4	1	54	367	MercX401	MercX420	150	100	556	18	315	13	98	10	79	8	406	24	1	9	11	4	93	7	staf		ascl	0	Sanctuary	1	0	0	14	8	Holy Bolt	7	65	0	12	8	Holy Nova	7	10	0	12	8	Fist of the Heavens	7	25	0	12	8	A4 Mastery	1	0	0	15	13							0	0	0	0
Ascendant	Light - Normal	100	31	1056	4	1	79	367	MercX401	MercX420	150	100	1006	27	640	25	130	10	104	8	1150	36	2	25	27	6	135	5	staf		ascl	0	Sanctuary	1	0	0	21	0	Holy Bolt	7	65	0	18	5	Holy Nova	7	10	0	18	5	Fist of the Heavens	7	25	0	18	5	A4 Mastery	1	0	0	27	13							0	0	0	0
Ascendant	Dark - Nightmare	100	32	1056	4	2	54	367	MercX401	MercX420	6000	110	556	18	315	13	98	10	79	8	406	24	1	9	11	4	93	7	staf		ascd	0	A4 AmpDmg	7	8	0	14	8	Bone Spear	7	40	0	12	8	Bone Armor	7	12	0	14	10	Teeth	7	40	0	12	8	A4 Mastery	1	0	0	15	13	CurMas	1	0	0	11	0	0	0	0	0
Ascendant	Dark - Nightmare	100	32	1056	4	2	79	367	MercX401	MercX420	6000	110	1006	27	640	25	130	10	104	8	1150	36	2	25	27	6	135	5	staf		ascd	0	A4 AmpDmg	7	8	0	21	0	Bone Spear	7	40	0	18	5	Bone Armor	7	12	0	21	0	Teeth	7	40	0	18	5	A4 Mastery	1	0	0	27	13	CurMas	1	0	0	11	0	0	0	0	0
Ascendant	Light - Nightmare	100	33	1056	4	2	54	367	MercX401	MercX420	7500	110	556	18	315	13	98	10	79	8	406	24	1	9	11	4	93	7	staf		ascl	0	Sanctuary	1	0	0	14	8	Holy Bolt	7	65	0	12	8	Holy Nova	7	10	0	12	8	Fist of the Heavens	7	25	0	12	8	A4 Mastery	1	0	0	15	13							0	0	0	0
Ascendant	Light - Nightmare	100	33	1056	4	2	79	367	MercX401	MercX420	7500	110	1006	27	640	25	130	10	104	8	1150	36	2	25	27	6	135	5	staf		ascl	0	Sanctuary	1	0	0	21	0	Holy Bolt	7	65	0	18	5	Holy Nova	7	10	0	18	5	Fist of the Heavens	7	25	0	18	5	A4 Mastery	1	0	0	27	13							0	0	0	0
Ascendant	Dark - Hell	100	34	1056	4	3	79	367	MercX401	MercX420	12500	120	1006	27	640	25	130	10	104	8	1150	36	2	25	27	6	135	5	staf		ascd	0	A4 AmpDmg	7	8	0	21	0	Bone Spear	7	40	0	18	5	Bone Armor	7	12	0	21	0	Teeth	7	40	0	18	5	A4 Mastery	1	0	0	27	13	CurMas	1	0	0	11	0	0	0	0	0
Ascendant	Light - Hell	100	35	1056	4	3	79	367	MercX401	MercX420	14000	120	1006	27	640	25	130	10	104	8	1150	36	2	25	27	6	135	5	staf		ascl	0	Sanctuary	1	0	0	21	0	Holy Bolt	7	65	0	18	5	Holy Nova	7	10	0	18	5	Fist of the Heavens	7	25	0	18	5	A4 Mastery	1	0	0	27	13							0	0	0	0
Rogue Scout	Phys - Normal	0	36	271	1	1	3	150	merc01	merc41	100	100	45	8	15	6	35	10	45	16	10	10		1	3	2	0	8	bow		parw	15	Slow Movement	4	15	0	1	10	Merc Magic Arrow	4	45	0	1	10	Strafe	4	25	0	1	10																			2	1	2	0
Rogue Scout	Phys - Normal	0	36	271	1	1	25	150	merc01	merc41	100	100	221	13	147	12	63	10	89	16	230	20	1	7	9	4	44	7	bow		parw	15	Slow Movement	4	15	0	8	10	Merc Magic Arrow	4	45	0	8	10	Strafe	4	25	0	12	10																			2	1	2	0
Rogue Scout	Phys - Normal	0	36	271	1	1	49	150	merc01	merc41	100	100	533	25	435	18	93	10	137	16	710	30	2	19	21	6	86	5	bow		parw	15	Slow Movement	4	15	0	16	10	Merc Magic Arrow	4	45	0	16	10	Strafe	4	25	0	22	10																			2	1	2	0
Rogue Scout	Phys - Nightmare	0	37	271	1	2	25	150	merc01	merc41	6000	110	199	12	132	12	60	10	84	16	207	20	1	6	8	4	41	7	bow		parw	15	Slow Movement	4	15	0	7	10	Merc Magic Arrow	4	45	0	7	10	Strafe	4	25	0	12	10																			2	1	2	0
Rogue Scout	Phys - Nightmare	0	37	271	1	2	49	150	merc01	merc41	6000	110	487	16	420	18	90	10	132	16	687	30	2	18	20	6	83	5	bow		parw	15	Slow Movement	4	15	0	15	10	Merc Magic Arrow	4	45	0	15	10	Strafe	4	25	0	22	10																			2	1	2	0
Rogue Scout	Phys - Hell	0	38	271	1	3	49	150	merc01	merc41	12500	120	438	16	378	18	87	10	127	16	618	30	2	17	19	6	80	5	bow		parw	15	Slow Movement	4	15	0	14	10	Merc Magic Arrow	4	45	0	14	10	Strafe	4	25	0	22	10																			2	1	2	0
Rogue Scout	Phys - Normal	100	36	271	1	1	3	150	merc01	merc41	100	100	45	9	15	8	35	10	45	16	10	12		1	3	2	0	8	bow		parw	15	Slow Movement	4	15	0	1	7	Merc Magic Arrow	4	45	0	1	10	Strafe	4	25	0	1	10																			2	1	2	0
Rogue Scout	Phys - Normal	100	36	271	1	1	36	150	merc01	merc41	100	100	342	18	279	15	77	10	111	16	406	24	1	9	11	4	66	7	bow		parw	15	Slow Movement	4	15	0	8	8	Merc Magic Arrow	4	45	0	12	10	Strafe	4	25	0	12	10																			2	1	2	0
Rogue Scout	Phys - Normal	100	36	271	1	1	67	150	merc01	merc41	100	100	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		parw	15	Slow Movement	4	15	0	16	10	Merc Magic Arrow	4	45	0	22	10	Strafe	4	25	0	22	10																			2	1	2	0
Rogue Scout	Phys - Nightmare	100	37	271	1	2	36	150	merc01	merc41	6000	110	342	18	279	15	77	10	111	16	406	24	1	9	11	4	66	7	bow		parw	15	Slow Movement	4	15	0	8	8	Merc Magic Arrow	4	45	0	12	10	Strafe	4	25	0	12	10																			2	1	2	0
Rogue Scout	Phys - Nightmare	100	37	271	1	2	67	150	merc01	merc41	6000	110	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		parw	15	Slow Movement	4	15	0	16	10	Merc Magic Arrow	4	45	0	22	10	Strafe	4	25	0	22	10																			2	1	2	0
Rogue Scout	Phys - Hell	100	38	271	1	3	67	150	merc01	merc41	12500	120	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		parw	15	Slow Movement	4	15	0	16	10	Merc Magic Arrow	4	45	0	22	10	Strafe	4	25	0	22	10																			2	1	2	0
