name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
Spear	spea	2han	spr	spr	spr	0		4	1				1	3	15			15	3	-10	75	75		20	60		5	0	300	6500		308	spr	spr	9sr	7sr	2ht	2ht	5	2ht	2	4					flpspr	invspr			1	3	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8	0	spt	pik	1	0
Trident	spea	2han	tri	tri	tri	0		4	1				1	9	15			15	3		75	75	38	24	70		9	0	683	13147		308	spr	tri	9tr	7tr	2ht	2ht	5	2ht	2	4					flptri	invtri	invtriu	invtriu	1	4	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255	1	1	1	1	20					255	1	1			20					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			5	8	0	spt	pik	1	0
Brandistock	spea	2han	brn	brn	brn	0		4	1				1	7	17			15	4	-20	75	75	40	50	56		16	0	1162	29092		308	spr	brn	9br	7br	2ht	2ht	5	2ht	2	4					flpbrn	invbrn			1	5	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255			5	8	0	xxx	pik	1	0
Spetum	spea	2han	spt	tri	spt	0		4	1				1	15	23			15	4		75	75	54	35	56		20	0	1672	45940		308	spr	spt	9st	7st	2ht	2ht	5	2ht	2	4					flpspt	invspt			1	6	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1		1	1	2	20					255					255					255					255			5	8	0	xxx	xxx	1	0
Pike	spea	2han	pik	pik	pik	0		4	1				1	14	63			15	4	20	75	75	60	45	50		24	0	2023	63052		308	spr	pik	9p9	7p7	2ht	2ht	5	2ht	2	4					flppik	invpik			1	6	0	3 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255			1	1	30					255					255					255					255					255					255		1			255		1			255	1	1	1	2	20					255	1	1	1	2	20					255					255			5	8	0	xxx	xxx	1	0
Bardiche	pole	2han	bar	hal	bar	0		4	1				1	1	27				3	10	75	75	40		100		5	0	302	6510		308	hal	bar	9b7	7o7	stf	stf	5	2hsl	2	4					flpbar	invbar			1	3	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			2	2	0	hal	wsc	1	0
Voulge	pole	2han	vou	hal	vou	0		4	1				1	6	21				3		75	75	50		100		11	0	611	14721		308	hal	vou	9vo	7vo	stf	stf	5	2hsl	2	4					flpvou	invvou			1	4	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255		1		1	20					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	hal	wsc	1	0
Scythe	sc9	2han	scy	scy	scy	0		4	1				1	8	20				3	-10	75	75	41	41	130		15	0	848	22720		308	hal	scy	9s8	7s8	stf	stf	5	2hsl	2	4					flpscy	invscy	invscyu	invscyu	1	5	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255		1		1	20					255				1	255			1	1	20					255				1	1					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255			2	2	0	hal	wsc	1	0
Poleaxe	pole	2han	pax	hal	pax	0		4	1				1	18	39				3	10	75	75	62		130		21	0	1701	48721		308	hal	pax	9pa	7pa	stf	stf	5	2hsl	2	4					flppax	invpax			1	5	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255		1	1	1	20					255					255					255					255			2	2	0	xxx	xxx	1	0
Halberd	pole	2han	hal	pax	hal	0		4	1				1	12	45				4		75	75	75	47	110		29	0	2706	95474		308	hal	hal	9h9	7h7	stf	stf	5	2hsl	2	4					flphal	invhal			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	20					255	1	1	1	1	20					255					255			2	2	0	xxx	xxx	1	0
War Scythe	sc9	2han	wsc	scy	wsc	0		3	1				1	15	36				4	-10	75	75	80	80	110		34	0	3388	134692		308	hal	wsc	9wc	7wc	stf	stf	5	2hsl	2	4					flpwsc	invwsc			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					20					255					255					255					255					255			1	2	20					255			1	1	20					255					255			2	2	0	xxx	xxx	1	0
Short Staff	staf	2han	sst	bst	sst	0		2	1				1	1	5				2	-10	110				40		1	0	168	3168	1	312	bst	sst	8ss	6ss	stf	stf	5	club	1	3					flpsst	invsst			1	2	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255	5	9	5	9	1					255					255					255					255					255					1					255					255					255					255					255					255					255					255			5	8	0	cst	bst	1	0
Long Staff	staf	2han	lst	sst	lst	0		2	1				1	2	8				3		110				60		8	0	463	10204	1	312	bst	lst	8ls	6ls	stf	stf	5	staf	1	4					flplst	invlst			1	3	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255	2	3	1	2	1					255					255	1	2		2	1					255					255	1	1		1	1					255					255					255					255					255					255					255					255			5	8	0	cst	wst	1	0
Gnarled Staff	staf	2han	cst	cst	cst	0		2	1				1	4	12				3	10	110				70		12	0	766	17692	1	312	bst	cst	8cs	6cs	stf	stf	5	staf	1	4					flpcst	invcst	invcstu	invcstu	1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255	3	5	5	9	1					255					255	2	3	2	5	1					255					255					255					255					255					255					255					255			5	8	0	xxx	wst	1	0
Battle Staff	staf	2han	bst	sst	bst	0		2	1				1	6	13				3		110				80		17	0	1223	31791	1	312	bst	bst	8bs	6bs	stf	stf	5	staf	1	4					flpbst	invbst			1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255	1	3	1	3	1					255					255	2	3	2	5	1					255					255					255					255	2	3	1	3	20					255					255	2	3	1	4	20			5	8	0	xxx	xxx	1	0
War Staff	staf	2han	wst	lst	wst	0		2	1				1	12	28				3	20	110				100		24	0	1985	62140	1	312	bst	wst	8ws	6ws	stf	stf	5	staf	2	4					flpwst	invwst			1	6	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255	1	2	1	2	20					255					255	1	3	1	4	20			5	8	0	xxx	xxx	1	0
Short Bow	bow		sbw	sbw	sbw	0		2	1				1	1	4			13		5		50		15	20	1	1	0	100	3100			sbw	sbw	8sb	6sb	bow	bow	6	bow	2	3					flpsbw	invsbw			1	3	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1	1	1	1	1	1					255					255					255					255					255					255					255					255					1					255					255					255					255					255					255					255			5	8	0	hbw	cbw	1	0
Hunter's Bow	bow		hbw	sbw	hbw	0		2	1				1	2	6			13		-10		50		28	32	1	5	0	350	6750			sbw	hbw	8hb	6hb	bow	bow	6	bow	2	3					flphbw	invhbw			1	4	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1	1	1	1	1	1		1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8	0	lbw	sbb	1	0
Long Bow	bow		lbw	lbw	lbw	0		2	1				1	5	10			13				50	22	19	28	1	8	0	490	10420			sbw	lbw	8lb	6lb	bow	bow	6	bow	2	4					flplbw	invlbw			1	5	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255	1	1	1	1	20					255			1	1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8	0	cbw	lbb	1	0
Composite Bow	bow		cbw	lbw	cbw	0		2	1				1	5	9			13		-10		50	25	35	36	1	12	0	727	17224			sbw	cbw	8cb	6cb	bow	bow	6	bow	2	3					flpcbw	invcbw	invcbwu	invcbwu	1	4	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255	1	1	1	2	20					255					255					255					255					255		1			255		1			255		1			255					255					255					255					255					255			5	8	0	sbb	swb	1	0
Short Battle Bow	bow		sbb	sbb	sbb	0		2	1				1	6	12			13				50	30	40	40	1	18	0	1045	30310			sbw	sbb	8s8	6s7	bow	bow	6	bow	2	3					flpsbb	invsbb	invsbbu	invsbbu	1	5	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255	1	1	1	2	20					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					20					255					255					255			5	8	0	lbb	lwb	1	0
Long Battle Bow	bow		lbb	lbb	lbb	0		2	1				1	7	18			13		10		50	40	50	44	1	23	0	1545	49535			sbw	lbb	8l8	6l7	bow	bow	6	bow	2	4					flplbb	invlbb			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					20					255					255					255			5	8	0	swb	lwb	1	0
Short War Bow	bow		swb	sbb	swb	0		2	1				1	6	14			13				50	35	55	48	1	27	0	2500	83500			sbw	swb	8sw	6sw	bow	bow	6	bow	2	3					flpswb	invswb	invswbu	invswbu	1	5	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255		1		1	1		1		1	1					255	1	1	1	1	20	1	1	1	2	20					255					255			5	8	0	lwb	xxx	1	0
Long War Bow	bow		lwb	lbb	lwb	0		2	1				1	3	23			13		10		50	50	65	55	1	31	0	3575	128825			sbw	lwb	8lw	6lw	bow	bow	6	bow	2	4					flplwb	invlwb			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20	1	1	1	2	20					255					255			5	8	0	xxx	xxx	1	0
Light Crossbow	xbow		lxb	lxb	lxb	0		2	1				1	8	11					-10		50	21	27	30	1	6	0	803	10318		310	lxb	lxb	8lx	6lx	xbw	xbw	5	xbow	2	3					flplxb	invlxb	invlxbu	invlxbu	1	3	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1		1		1	1					255					255					255					255					255					255					255					255	1	1	1	1	255					255					255					255					255					255					255					255			5	8	0	mxb	rxb	1	0
Crossbow	xbow		mxb	lxb	mxb	0		2	1				1	11	19							50	40	33	40	1	15	0	2345	45175		310	lxb	mxb	8mx	6mx	xbw	xbw	5	xbow	2	3					flpmxb	invmxb	invmxbu	invmxbu	1	4	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255	1	1	1	1	20					255					255					255					255					255					1	1	1		1	1	1	1		1	1					255					255					255					255					255			5	8	0	hxb	hxb	1	0
Heavy Crossbow	xbow		hxb	hxb	hxb	0		2	1				1	20	33					10		50	60	40	50	1	24	0	4096	112804		310	lxb	hxb	8hx	6hx	xbw	xbw	5	xbow	2	4					flphxb	invhxb	invhxbu	invhxbu	1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255		1		1	1		1		1	1					255	1	1	1	1	20		1	1	1	20					255					255			5	8	0	xxx	xxx	1	0
Repeating Crossbow	xbow		rxb	hxb	rxb	0		2	1				1	9	18					-40		50	40	50	40	1	33	0	2739	109387		310	lxb	rxb	8rx	6rx	xbw	xbw	5	xbow	2	3					flprxb	invrxb	invrxbu	invrxbu	1	5	0	fires 5 shots before reload	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	20		1	1	2	20					255					255			5	8	0	xxx	xxx	1	0
Rancid Gas Potion	tpot		gps	gpl	gps	0			1	0	1														2	1	32	24	200	0			gpl	gps			1ht	1ht	5	hth	1	1	1	3	25	6	flpgpl	invgpl					0		0	item_potion	14	item_potion	0	0	5	0	1	0			49	7	0	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx	0	1
Oil Potion	tpot		ops	opl	ops	0			1	0	1														2	1	28	20	150	0			opl	ops			1ht	1ht	5	hth	1	1	1	3	25	6	flpopl	invopl					0		0	item_potion	14	item_potion	0	0	5	0	1	0			46	7	0	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx	0	1
Choking Gas Potion	tpot		gpm	gps	gpm	0			1	0	1														2	1	20	16	120	0			gps	gpm			1ht	1ht	5	hth	1	1	1	3	25	6	flpgps	invgpm					0		0	item_potion	14	item_potion	0	0	5	0	1	0			48	7	0	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx	0	1
Exploding Potion	tpot		opm	opl	opm	0			1	0	1														2	1	16	12	80	0			opl	opm			1ht	1ht	5	hth	1	1	1	3	25	6	flpops	invopm					0		0	item_potion	14	item_potion	0	0	5	0	1	0			45	7	0	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx	0	1
Strangling Gas Potion	tpot		gpl	gps	gpl	0			1	0	1														2	1	8	6	40	0			gps	gpl			1ht	1ht	5	hth	1	1	1	3	25	6	flpgps	invgps					0		0	item_potion	14	item_potion	0	0	5	0	1	0			47	7	0	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx	0	1
Fulminating Potion	tpot		opl	ops	opl	0			1	0	1														2	1	4	0	24	0			ops	opl			1ht	1ht	5	hth	1	1	1	3	25	6	flpops	invops					0		0	item_potion	14	item_potion	0	0	5	0	1	0			44	7	0	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx	0	1
decoy dagger	knif		d33	dgr	d33	0				1	2									-20	100		15	20	10		0	0	666	0			dgr	d33			1ht	1ht	5	1ht	1	2					flpd33	invd33					0		0	item_smallmetalweapon	12	item_smallmetalweapon	1	0	5	0	0	0	18	1	0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	0	0
Gidbinn	knif		g33	dgr	g33	0				3	7								1	-20	75	75	15	25	30		0	0	666	0			dgr	g33	9dg	7dg	1ht	1ht	5	1ht	1	2					flpg33	invg33			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	1	0	5	0	0	0	18	1	0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	0	0
Wirt's Leg	club		leg	clb	leg	0				2	8								2	-10	100				66		0	0	20	0		308	clb	leg	9cl	7cl	1hs	1hs	5	1hsl	1	3					flpleg	invleg			1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0		1	0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Horadric Malus	hamm		hdm	whm	hdm	0				6	15								2	20	110		15	15	55		0	0	600	0			whm	hdm	9wh	7wh	1hs	1hs	5	1hsl	1	2					flphmr	invhmr			1	2	0		0	item_sword	12	item_sword	1	0	5	0	0	0	4	1	0	7	0	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	0	0
Hellforge Hammer	hamm		hfh	whm	hfh	0				6	15								2		110				55		0	0	600	0			whm	hfh	9wh	7wh	1hs	1hs	5	1hsl	2	3					flphmr	invhfh			1	5	0		0	item_sword	12	item_sword	1	0	5	0	0	0	25	1	0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	1	xxx	xxx	0	0
Horadric Staff	staf	2han	hst	bst	hst	0							1	12	20				3		110		30		50		0	0	1223	0			bst	hst	8bs	6bs	stf	stf	5	staf	1	4					flphst	invhst			1	4	0	magically charged	0	item_staff	12	item_staff	1	0	5	0	0	0	10	1	0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	1	xxx	xxx	0	0
Staff of the Kings	staf	2han	msf	bst	msf	0							1	10	15				3		110		25		45		0	0	1223	0			bst	msf	8bs	6bs	stf	stf	5	staf	1	3					flpmsf	invmsf			1	3	0	magically charged	0	item_staff	12	item_staff	1	0	5	0	0	0	10	1	0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	1	xxx	xxx	0	0
Hatchet	axe		9ha	hax	9ha	0		3	1	15	30								2		100		25	25	56		31	19	810	43110		308	hax	hax	9ha	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
Cleaver	axe		9ax	axe	9ax	0		4	1	14	47								2	10	100		68		48		34	22	1509	70806		308	axe	axe	9ax	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
Twin Axe	axe		92a	axe	92a	0		4	1	18	54								2	10	100		85		48		39	25	2919	135841		308	axe	2ax	92a	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
Crowbill	axe		9mp	axe	9mp	0		4	1	21	48								2	-10	100		94	70	52		43	25	4563	220209		308	axe	mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Naga	axe		9wa	hax	9wa	0		4	1	23	64								2		100		121		52		48	25	6669	346612		308	hax	wax	9wa	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Military Axe	axe	2han	9la	lax	9la	0		4	1				1	21	61				3	-10	110		73		60		34	22	1362	65808		308	lax	lax	9la	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Bearded Axe	axe	2han	9ba	lax	9ba	0		4	1				1	30	70				3		110		92		70		38	25	2718	124784		308	lax	bax	9ba	7ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Tabar	axe	2han	9bt	btx	9bt	0		4	1				1	35	99				3	10	110		101		80		42	25	4086	195112		308	btx	btx	9bt	7bt	stf	stf	5	2hsl	2	3					flpbtx	invbtx	inv9btu	inv9btu	1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
Gothic Axe	axe	2han	9ga	btx	9ga	0		4	1				1	23	100				4	-10	110		115	79	100		46	25	6048	303708		308	btx	gax	9ga	7ga	stf	stf	5	2hsl	2	4					flpgax	invgax	invgaxu	invgaxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Ancient Axe	axe	2han	9gi	gix	9gi	0		4	1				1	62	122				3	10	110		125		100		51	25	7530	412030		308	gix	gix	9gi	7gi	stf	stf	5	2hsl	2	3					flpgix	invgix	inv9giu	inv9giu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Burnt Wand	wand		9wn	wnd	9wn	0		1	1	8	18										100		25		30		31	19	915	46365	1		wnd	wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd			1	1	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Petrified Wand	wand		9yw	ywn	9yw	0		1	1	8	24									10	100		25		30		38	25	2535	117830	1		ywn	ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Tomb Wand	wand		9bw	bwn	9bw	0		1	1	10	22									-20	100		25		30		43	25	4188	204084	1		bwn	bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
Grave Wand	wand		9gw	bwn	9gw	0		1	1	13	29										100		25		30		49	25	6594	350106	1		bwn	gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn	inv9gwu	inv9gwu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
Cudgel	club		9cl	clb	9cl	0		1	1	10	30								2	-10	100		25		48		30	18	439	31380		308	clb	clb	9cl	7cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
Rune Scepter	scep		9sc	mac	9sc	0		2	1	18	35								2		100		58		100		31	19	1350	59850		308	mac	scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Holy Water Sprinkler	scep		9qs	mac	9qs	0		4	1	20	52								2	10	100		76		120		40	25	3627	167580		308	mac	gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Divine Scepter	scep		9ws	whm	9ws	0		4	1	24	46								2	-10	100		103		140		45	25	7269	352105		308	whm	wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	5	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Barbed Club	club		9sp	clb	9sp	0		3	1	18	36								2		100		30		72		32	20	590	49700		308	clb	spc	9sp	7sp	1hs	1hs	5	1hsl	1	3					flpspc	invspc	invspcu	invspcu	1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Flanged Mace	mace		9ma	mac	9ma	0		4	1	22	33								2		100		61		120		35	23	1689	79115		308	mac	mac	9ma	7ma	1hs	1hs	5	1hsl	1	3					flpmac	invmac			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Jagged Star	mace		9mt	mac	9mt	0		4	1	29	45								2	10	100		74		144		39	25	2832	132448		308	mac	mst	9mt	7mt	1hs	1hs	5	1hsl	1	3					flpmst	invmst	invmstu	invmstu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
